InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;Accelerometer RUA^ accX;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RLA gyroY
4;-15;-56.0;-264;-20;4;-45.0;20;-356.0;82.0;-15;-39.0
32;-4;220.0;-282;-2;-1;128.0;2;-273.0;-200.0;-4;-29.0
0;-15;-26.0;-275;-51;3;-40.0;51;-166.0;-167.0;-15;18.0
0;2;9.0;-236;36;-2;-13.0;-36;-435.0;-270.0;2;17.0
3;-4;-1.0;-234;-18;3;24.0;18;-435.0;-246.0;-4;25.0
4;-31;-2.0;-289;-12;-1;-28.0;12;-325.0;-176.0;-31;1.0
0;27;14.0;-315;75;-2;20.0;-75;-220.0;-22.0;27;55.0
6;-4;7.0;-285;27;2;-19.0;-27;-274.0;-170.0;-4;4.0
4;12;-12.0;-287;-40;-2;-31.0;40;-284.0;-170.0;12;0.0
1;-1;-2.0;-280;-25;7;-34.0;25;-283.0;-165.0;-1;-40.0
4;-25;-35.0;-289;-45;-3;-48.0;45;-272.0;-179.0;-25;-71.0
2;-20;-40.0;-289;13;-4;-50.0;-13;-272.0;-188.0;-20;-90.0
2;-30;85.0;-313;26;7;-89.0;-26;-218.0;-27.0;-30;43.0
7;-36;-17.0;-286;29;1;-43.0;-29;-281.0;-171.0;-36;-57.0
6;-1;-18.0;-289;12;-2;-34.0;-12;-297.0;-171.0;-1;6.0
1;-32;-15.0;-276;12;-2;-56.0;-12;-217.0;-146.0;-32;9.0
5;16;-51.0;-229;6;1;20.0;-6;-329.0;-253.0;16;59.0
8;-28;-36.0;-278;-17;-6;-54.0;17;-236.0;-152.0;-28;35.0
-4;17;-4.0;-271;27;1;-41.0;-27;-234.0;-139.0;17;13.0
-124;76;29.0;-609;-357;-31;27.0;357;-279.0;152.0;76;-246.0
0;5;-101.0;-318;-13;-3;-76.0;13;-225.0;-49.0;5;-77.0
-1;17;12.0;-317;9;-1;-22.0;-9;-225.0;-16.0;17;14.0
3;-14;-66.0;-315;12;3;-69.0;-12;-216.0;-19.0;-14;-60.0
-5;23;4.0;-270;33;2;1.0;-33;-224.0;-139.0;23;20.0
-1;-11;3.0;-271;-3;2;-22.0;3;-228.0;-166.0;-11;9.0
1;-1;13.0;-266;-20;8;-39.0;20;-221.0;-164.0;-1;1.0
-2;20;41.0;-230;55;2;3.0;-55;-254.0;-231.0;20;77.0
1;-9;31.0;-278;16;-7;-23.0;-16;-216.0;-141.0;-9;4.0
8;0;-76.0;-318;-14;-5;-64.0;14;-263.0;-31.0;0;50.0
