InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX
-12.0;-813;27.0;378;-71.0;46.0;37.0
-32.0;-788;-11.0;426;-44.0;9.0;92.0
-25.0;-787;17.0;424;-30.0;33.0;26.0
-16.0;-785;28.0;424;23.0;24.0;-95.0
31.0;-785;57.0;428;15.0;62.0;41.0
54.0;-782;35.0;427;27.0;93.0;-30.0
-7.0;-789;-58.0;429;34.0;43.0;-69.0
27.0;-783;28.0;427;-12.0;48.0;83.0
-13.0;-778;5.0;423;-46.0;60.0;109.0
47.0;-783;22.0;430;-37.0;46.0;111.0
60.0;-783;29.0;428;-52.0;31.0;85.0
5.0;-778;8.0;427;-47.0;12.0;1.0
42.0;-784;40.0;427;-1.0;26.0;61.0
-7.0;-787;-14.0;429;-11.0;30.0;80.0
-66.0;-783;42.0;429;-47.0;29.0;3.0
-28.0;-768;99.0;424;-30.0;41.0;146.0
35.0;-788;53.0;415;16.0;60.0;63.0
-10.0;-789;31.0;423;4.0;45.0;49.0
69.0;-820;-40.0;371;22.0;0.0;21.0
131.0;-807;-86.0;383;17.0;-115.0;21.0
6.0;-738;4.0;433;-12.0;46.0;-55.0
12.0;-752;6.0;420;14.0;31.0;-22.0
8.0;-747;-33.0;428;51.0;59.0;-10.0
34.0;-749;-7.0;432;11.0;42.0;0.0
-6.0;-807;-31.0;376;39.0;6.0;83.0
26.0;-751;-18.0;429;-29.0;49.0;60.0
29.0;-750;5.0;432;-39.0;86.0;50.0
-16.0;-744;-26.0;429;3.0;111.0;59.0
17.0;-749;-53.0;428;13.0;65.0;52.0
94.0;-750;-69.0;434;-38.0;65.0;16.0
24.0;-818;6.0;372;-24.0;47.0;119.0
31.0;-823;18.0;364;-11.0;47.0;18.0
1.0;-822;-41.0;359;26.0;-52.0;63.0
72.0;-820;-30.0;360;-37.0;81.0;32.0
61.0;-825;-52.0;359;-73.0;60.0;4.0
69.0;-822;-76.0;364;-3.0;96.0;0.0
52.0;-818;-43.0;358;-9.0;38.0;17.0
51.0;-819;-43.0;364;-12.0;71.0;1.0
52.0;-820;-46.0;371;37.0;81.0;-32.0
64.0;-820;-37.0;369;4.0;43.0;-8.0
-19.0;-761;12.0;412;99.0;29.0;20.0
53.0;-823;-26.0;360;-8.0;65.0;-6.0
61.0;-823;-26.0;364;-16.0;71.0;-9.0
63.0;-824;-21.0;365;-35.0;71.0;-27.0
100.0;-820;-31.0;365;-10.0;101.0;-12.0
61.0;-823;-47.0;368;6.0;89.0;-7.0
24.0;-757;-11.0;411;97.0;-5.0;3.0
12.0;-759;3.0;414;118.0;3.0;17.0
90.0;-818;-22.0;367;-21.0;89.0;-26.0
78.0;-827;-20.0;357;-39.0;55.0;-35.0
82.0;-826;-18.0;364;2.0;72.0;-42.0
29.0;-826;-35.0;363;-47.0;41.0;-80.0
53.0;-825;6.0;366;6.0;19.0;3.0
57.0;-821;16.0;361;39.0;29.0;-31.0
24.0;-821;-28.0;368;33.0;-5.0;7.0
78.0;-823;-20.0;361;45.0;116.0;59.0
44.0;-821;-46.0;360;22.0;52.0;77.0
44.0;-821;-58.0;363;30.0;79.0;102.0
15.0;-820;-50.0;356;-10.0;84.0;56.0
27.0;-820;-9.0;363;17.0;28.0;52.0
-5.0;-822;6.0;361;27.0;33.0;71.0
37.0;-824;64.0;359;30.0;69.0;14.0
8.0;-820;74.0;364;-2.0;23.0;33.0
4.0;-824;28.0;365;-41.0;2.0;-42.0
36.0;-812;3.0;357;-1.0;10.0;-100.0
11.0;-791;0.0;427;34.0;63.0;-66.0
1.0;-799;17.0;414;16.0;41.0;103.0
14.0;-762;-13.0;408;6.0;141.0;-6.0
79.0;-761;-19.0;412;36.0;102.0;-42.0
-12.0;-758;25.0;408;99.0;55.0;70.0
4.0;-759;-9.0;404;51.0;22.0;122.0
0.0;-776;-43.0;431;-17.0;16.0;39.0
31.0;-787;-13.0;422;-7.0;-4.0;28.0
13.0;-767;4.0;408;9.0;51.0;-83.0
0.0;-762;-34.0;407;38.0;2.0;-52.0
20.0;-763;-9.0;403;78.0;15.0;37.0
35.0;-765;-30.0;403;55.0;62.0;17.0
55.0;-762;-42.0;405;26.0;100.0;10.0
67.0;-763;-32.0;405;76.0;122.0;28.0
47.0;-763;-3.0;404;59.0;82.0;-10.0
15.0;-795;0.0;418;-53.0;13.0;-79.0
-37.0;-778;68.0;434;-10.0;46.0;-5.0
33.0;-796;-17.0;417;54.0;-20.0;-57.0
-136.0;-756;7.0;416;99.0;13.0;126.0
1.0;-775;-3.0;414;199.0;74.0;9.0
9.0;-786;14.0;433;-9.0;-39.0;-67.0
22.0;-806;1.0;404;60.0;46.0;-82.0
45.0;-788;-42.0;413;74.0;51.0;52.0
66.0;-794;-80.0;418;-32.0;-15.0;-1.0
35.0;-803;-30.0;410;18.0;32.0;-66.0
78.0;-837;-18.0;346;28.0;58.0;53.0
93.0;-838;-57.0;343;54.0;32.0;34.0
7.0;-748;-20.0;467;56.0;2.0;47.0
57.0;-755;-52.0;453;77.0;-28.0;33.0
-48.0;-767;36.0;407;75.0;-18.0;12.0
-8.0;-754;6.0;460;-45.0;37.0;24.0
6.0;-783;14.0;429;-3.0;16.0;104.0
18.0;-790;10.0;418;25.0;70.0;-54.0
52.0;-839;-37.0;345;71.0;85.0;61.0
32.0;-838;-22.0;347;61.0;88.0;37.0
15.0;-771;-4.0;434;-4.0;30.0;-3.0
