InertialMeasurementUnit RLA Quaternion1;Accelerometer RWR accZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit RLA accY;Accelerometer RUA_ accZ
-107.0;125.0;246.0;-121.0;422.0;491.0;367.0
-151.0;0.0;463.0;134.0;603.0;463.0;441.0
-73.0;-57.0;326.0;66.0;321.0;284.0;430.0
-25.0;-111.0;327.0;127.0;412.0;305.0;438.0
-19.0;-78.0;327.0;46.0;448.0;341.0;424.0
-17.0;-44.0;331.0;-7.0;446.0;359.0;425.0
171.0;31.0;301.0;328.0;293.0;294.0;400.0
188.0;-38.0;675.0;12.0;616.0;379.0;255.0
-61.0;-108.0;401.0;-290.0;439.0;334.0;375.0
-20.0;-58.0;278.0;-53.0;380.0;382.0;448.0
-9.0;-39.0;335.0;12.0;446.0;430.0;416.0
11.0;-25.0;350.0;9.0;430.0;406.0;430.0
21.0;-98.0;327.0;13.0;414.0;407.0;408.0
384.0;-93.0;251.0;-565.0;417.0;396.0;503.0
63.0;-129.0;348.0;-14.0;458.0;372.0;490.0
52.0;-80.0;314.0;64.0;444.0;332.0;484.0
33.0;-140.0;272.0;58.0;452.0;368.0;485.0
-7.0;-166.0;330.0;-7.0;443.0;523.0;485.0
-17.0;-162.0;340.0;9.0;451.0;483.0;496.0
-43.0;-301.0;453.0;-82.0;442.0;686.0;668.0
-20.0;-147.0;326.0;11.0;473.0;427.0;510.0
-20.0;-183.0;338.0;-39.0;476.0;430.0;500.0
-10.0;-245.0;320.0;50.0;451.0;465.0;491.0
-18.0;-69.0;331.0;23.0;459.0;440.0;503.0
-17.0;-129.0;321.0;44.0;450.0;432.0;496.0
-16.0;-20.0;313.0;40.0;441.0;434.0;508.0
181.0;-562.0;351.0;27.0;270.0;284.0;220.0
183.0;-677.0;406.0;70.0;215.0;419.0;200.0
373.0;-785.0;464.0;1038.0;564.0;258.0;527.0
15.0;-160.0;308.0;-167.0;459.0;423.0;460.0
25.0;-129.0;313.0;-99.0;443.0;423.0;476.0
29.0;-138.0;319.0;-37.0;432.0;420.0;465.0
30.0;-89.0;295.0;-30.0;435.0;419.0;455.0
31.0;-154.0;306.0;29.0;432.0;450.0;470.0
32.0;-153.0;302.0;11.0;437.0;443.0;470.0
32.0;-163.0;304.0;-2.0;434.0;439.0;445.0
33.0;-91.0;304.0;-55.0;433.0;439.0;442.0
34.0;-142.0;300.0;-31.0;422.0;434.0;465.0
34.0;-33.0;298.0;-45.0;423.0;436.0;459.0
35.0;-88.0;306.0;9.0;423.0;447.0;535.0
-155.0;-31.0;217.0;-25.0;319.0;340.0;379.0
228.0;-189.0;338.0;68.0;503.0;687.0;737.0
-11.0;-953.0;719.0;-20.0;971.0;-40.0;928.0
266.0;-56.0;270.0;-8.0;459.0;396.0;536.0
-104.0;0.0;265.0;-14.0;393.0;300.0;353.0
-128.0;-53.0;238.0;28.0;313.0;354.0;339.0
-181.0;-105.0;180.0;-145.0;369.0;682.0;757.0
98.0;487.0;-27.0;664.0;163.0;674.0;243.0
-301.0;-388.0;175.0;4.0;479.0;713.0;684.0
-273.0;-67.0;309.0;-82.0;380.0;691.0;499.0
-61.0;10.0;409.0;9.0;553.0;830.0;800.0
-644.0;-135.0;254.0;-349.0;464.0;447.0;463.0
-131.0;-40.0;231.0;22.0;329.0;310.0;356.0
-136.0;-18.0;234.0;-10.0;318.0;328.0;365.0
-152.0;-9.0;234.0;-1.0;358.0;347.0;343.0
296.0;-361.0;118.0;87.0;436.0;739.0;578.0
80.0;-149.0;151.0;218.0;380.0;521.0;546.0
-292.0;-623.0;219.0;-10.0;508.0;699.0;709.0
-28.0;-59.0;278.0;-70.0;447.0;331.0;507.0
-55.0;-71.0;136.0;108.0;412.0;490.0;581.0
-217.0;-50.0;210.0;218.0;338.0;521.0;621.0
29.0;-166.0;154.0;86.0;597.0;493.0;716.0
-71.0;202.0;261.0;350.0;482.0;848.0;721.0
-506.0;-360.0;293.0;-48.0;701.0;251.0;742.0
-23.0;-3.0;204.0;-104.0;346.0;351.0;361.0
-13.0;-10.0;245.0;-181.0;380.0;388.0;352.0
58.0;16.0;244.0;-45.0;382.0;328.0;346.0
-11.0;-19.0;202.0;-78.0;302.0;341.0;353.0
-14.0;17.0;211.0;6.0;339.0;349.0;320.0
-154.0;-13.0;227.0;-74.0;382.0;330.0;390.0
-301.0;-51.0;325.0;10.0;641.0;546.0;790.0
200.0;-37.0;132.0;1.0;335.0;728.0;667.0
799.0;148.0;326.0;301.0;335.0;289.0;293.0
57.0;345.0;63.0;-15.0;244.0;635.0;478.0
142.0;61.0;363.0;-125.0;273.0;546.0;399.0
31.0;-9.0;271.0;-88.0;299.0;491.0;466.0
-48.0;41.0;277.0;-103.0;282.0;424.0;477.0
-185.0;-270.0;409.0;429.0;597.0;573.0;482.0
-230.0;-274.0;324.0;248.0;660.0;662.0;871.0
-13.0;3.0;204.0;-64.0;312.0;343.0;323.0
12.0;-23.0;215.0;-140.0;148.0;263.0;587.0
598.0;74.0;343.0;-148.0;646.0;422.0;545.0
-106.0;-29.0;259.0;-34.0;396.0;318.0;307.0
-141.0;9.0;256.0;-8.0;333.0;343.0;330.0
-144.0;-68.0;261.0;3.0;336.0;339.0;308.0
-173.0;-25.0;231.0;-1.0;356.0;337.0;358.0
-141.0;-61.0;256.0;-66.0;338.0;319.0;358.0
344.0;-355.0;416.0;401.0;667.0;620.0;810.0
-138.0;-83.0;265.0;1.0;339.0;304.0;342.0
-138.0;-40.0;269.0;26.0;335.0;292.0;347.0
4.0;-244.0;60.0;401.0;373.0;864.0;665.0
-778.0;-236.0;113.0;117.0;375.0;701.0;467.0
-33.0;-52.0;187.0;91.0;293.0;305.0;375.0
-27.0;-147.0;191.0;-107.0;340.0;339.0;356.0
19.0;74.0;197.0;-291.0;333.0;340.0;321.0
96.0;166.0;267.0;-24.0;389.0;376.0;379.0
-265.0;-350.0;337.0;-8.0;728.0;657.0;847.0
157.0;36.0;119.0;77.0;291.0;381.0;308.0
-13.0;38.0;211.0;40.0;362.0;337.0;325.0
-22.0;51.0;230.0;89.0;344.0;321.0;349.0
-16.0;37.0;206.0;66.0;350.0;340.0;316.0
-118.0;-34.0;409.0;-67.0;433.0;211.0;604.0
