ced1;arnd;amud;asin1;asin2;bso1;bfo2;bso3;cso1;adbr;bfo1;cfo1
299.6497230442289;11.253658783629971;?;-0.5733818719904229;-0.1759865990365776;26.51861849649057;45.48381373442056;0.3272219120775689;72.10291149484188;1.0;10.744219936960084;20.45626084430472
298.9338666926015;11.3119374349325;27.0;?;-0.1757897170057224;26.53408059751792;45.55845164954923;0.3279318798114274;72.18979423317748;?;?;20.418974160485217
298.21832698185386;11.244320974409158;27.0;-0.573414643061519;-0.1755928279431666;26.549391576185123;45.6329073335203;?;72.2758223523451;1.0;10.765141789822792;20.38302099473008
297.5031212713452;11.434847137690976;27.0;-0.5734310282530275;-0.1753959318570097;26.56453365619193;45.7071812302645;0.3293495684596054;72.36108568852252;1.0;10.778402966163892;20.348265597830704
296.7882666852637;?;27.0;-0.5734474132151518;-0.1751990287549035;?;45.781273782631146;?;72.44566781165688;1.0;10.789697813303697;20.314723312856653
296.07378011516306;11.34544383931507;?;-0.5734637979479088;-0.1750021186449482;26.594244813399484;45.85518543239072;0.3307642666037791;?;1.0;?;20.2823639572772
?;11.374588929794728;?;-0.5734801824512687;?;26.608783100978;45.92891662023754;0.3314704962056323;72.61308855974332;1.0;10.81206627108766;?
294.6459774409849;11.371594663231424;27.0;-0.5734965667252482;-0.1746082774325481;26.62309088489983;46.00246778579239;0.3321759805427905;?;?;10.82314579300583;20.22102370546488
?;11.44071465122996;27.0;-0.5735129507698173;-0.174411346345857;26.637155074738228;46.07583936760507;0.3328807204010195;72.7786119218912;?;10.835374596354924;20.1919469066674
293.21984382331215;11.404856361684056;27.0;-0.5735293345849929;-0.174214408282824;26.650963475111883;46.14903180315709;0.3335847165653857;72.86079388915587;1.0;10.846651209057992;20.163900683979183
292.50744273852365;11.40565837513811;?;-0.5735457181707568;-0.1740174632512147;26.66450477003951;46.2220455288642;?;72.94264430408754;?;10.857720410227364;20.136855767631985
291.7955062725227;11.412125397273106;27.0;?;-0.1738205112587949;26.67776850606011;46.29488098007904;?;73.024194825965;1.0;10.868698481953734;20.110780289149886
291.0840497572976;?;27.0;-0.5735784846540115;-0.1736235523136667;26.69074507482718;46.36753859109368;0.3356922507350127;73.10546967327737;?;10.87806702739126;20.085683462422573
290.37308831158225;11.426023524732797;27.0;-0.5735948675514893;-0.1734265864234844;26.70342569500032;46.44001879514227;0.3363932799598654;73.18648586676439;1.0;10.888917410141849;20.061491589342424
289.66263684316846;11.460751837560304;27.0;-0.5736112502195407;-0.1732296135963507;26.715802393576265;46.51232202440356;0.3370935694050134;73.2672535432333;1.0;10.90024060923722;20.03815963036641
288.95271005119474;11.473484732922444;27.0;-0.573627632658136;-0.1730326338399205;26.72786798687969;46.58444871000347;0.3377931198509656;73.34777633002174;1.0;10.91159172229742;20.01565541901303
288.2433224284114;11.4846023025734;27.0;-0.5736440148672919;-0.1728356471622969;26.739616060527045;46.6563992820177;0.3384919320774373;73.42805177694328;?;?;19.9939483435049
287.53448826342265;11.433007971973998;27.0;-0.5736603968469784;-0.1726386535711355;26.751040949656748;46.72817416947424;0.3391900068633464;73.5080718358716;1.0;?;19.97304156768949
