bed1;bed2;aimp;adfl;bso2
0.1849422399042937;2.748616771548492e-06;0.0;1.0;0.9321449768970166
0.1830928175052508;?;0.0;1.0;?
0.1812618893301983;?;0.0;1.0;0.9971674689754174
?;2.356595304506388e-06;0.0;1.0;1.027974369229113
0.1776547777325273;2.2387655392810685e-06;0.0;1.0;1.0572993198735174
0.1758782299552021;2.126827262317015e-06;0.0;1.0;1.084913218451162
0.1741194476556501;2.020485899201164e-06;0.0;1.0;?
?;1.919461604241106e-06;0.0;1.0;1.1342210408308886
0.1706544706473027;1.8234885240290503e-06;0.0;?;1.155589086030211
0.1689479259408296;1.732314097827598e-06;0.0;1.0;1.1745953573196988
?;1.6456983929362182e-06;0.0;1.0;1.1911463058494305
0.1655858622146071;1.5634134732894072e-06;0.0;1.0;1.2051761035069908
0.1639300035924611;1.4852427996249368e-06;0.0;1.0;1.2166461992493771
0.1622907035565365;1.41098065964369e-06;0.0;1.0;1.22554461675198
0.1606677965209711;1.3404316266615057e-06;0.0;1.0;?
0.1590611185557614;1.27341004532843e-06;0.0;?;1.2357056613141455
0.1574705073702038;1.2097395430620083e-06;0.0;1.0;1.2370678535175
0.1558958022965017;1.1492525659089082e-06;0.0;1.0;1.2360546660314176
?;1.0917899376134629e-06;0.0;1.0;1.2327691612368157
?;1.0372004407327897e-06;0.0;1.0;?
0.1512655410724933;9.8534041869615e-07;0.0;0.0;1.2149527754723806
0.1497528856617684;9.360733977613426e-07;0.0;0.0;1.1911585067696175
0.1482553568051507;8.892697278732755e-07;0.0;0.0;1.156630444318626
?;8.448062414796117e-07;0.0;0.0;1.1121276505400377
0.1453050752047282;8.025659294056311e-07;0.0;0.0;1.0584771216917024
0.1438520244526809;7.624376329353495e-07;0.0;0.0;0.9965630777572474
0.1424135042081541;7.243157512885821e-07;0.0;?;0.9273159077712302
0.1409893691660726;6.880999637241529e-07;?;0.0;0.8517013867927444
0.1395794754744118;6.536949655379453e-07;0.0;0.0;0.7707097864218174
0.1381836807196677;6.21010217261048e-07;0.0;?;0.6853452148433655
0.1368018439124711;5.899597063979956e-07;0.0;0.0;0.5966152369416163
0.1354338254733464;5.604617210780958e-07;0.0;0.0;0.5055208761920379
0.1340794872186129;5.32438635024191e-07;0.0;0.0;0.4130470628909471
0.1327386923464268;5.058167032729815e-07;0.0;0.0;?
0.1314113054229625;4.805258681093324e-07;0.0;0.0;0.2277668483116427
0.1300971923687329;4.564995747038658e-07;0.0;0.0;0.1367717533634862
0.1287962204450455;4.336745959686725e-07;0.0;0.0;0.0480049872942031
0.1275082582405951;4.119908661702389e-07;0.0;?;-0.037751365649749
0.1262331756581891;3.913913228617269e-07;0.0;0.0;-0.1197754117383879
?;3.718217567186406e-07;0.0;0.0;-0.1974101121373257
0.1237211354625912;3.5323066888270853e-07;0.0;0.0;-0.270067184482758
?;3.355691354385731e-07;0.0;0.0;?
0.1212590848668856;?;?;0.0;-0.3984566665861786
0.1200464940182167;3.028511447333122e-07;0.0;0.0;-0.4533797626097953
0.1188460290780346;2.877085874966466e-07;0.0;0.0;-0.5017086801901717
0.1176575687872542;2.733231581218143e-07;0.0;0.0;-0.5432286142953094
0.1164809930993817;2.596570002157236e-07;0.0;?;-0.5777998869302758
?;2.466741502049374e-07;0.0;0.0;-0.6053563617632167
0.114163021336704;2.343404426946905e-07;?;0.0;?
