InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
337.0;219.0;-27;528.0;582.0;1128.0;402.0;-736.0;-33.0
297.0;368.0;16;536.0;-521.0;753.0;-370.0;-785.0;-154.0
634.0;-675.0;-32;551.0;102.0;658.0;21.0;241.0;470.0
453.0;-26.0;-145;419.0;271.0;731.0;78.0;8.0;504.0
491.0;-104.0;-3;439.0;303.0;255.0;95.0;-89.0;393.0
408.0;-265.0;5;569.0;-279.0;842.0;-131.0;492.0;378.0
457.0;16.0;67;288.0;362.0;231.0;173.0;-177.0;304.0
371.0;189.0;63;105.0;457.0;177.0;281.0;-317.0;140.0
344.0;314.0;53;-63.0;555.0;330.0;330.0;-433.0;-13.0
-428.0;633.0;27;-707.0;-656.0;-261.0;-591.0;-555.0;-486.0
301.0;523.0;16;351.0;-688.0;-58.0;-583.0;-853.0;-595.0
427.0;-320.0;183;406.0;-976.0;-343.0;-61.0;-775.0;-676.0
379.0;372.0;16;425.0;584.0;-155.0;327.0;-553.0;-558.0
263.0;144.0;80;483.0;848.0;11.0;258.0;-814.0;-595.0
269.0;150.0;81;479.0;845.0;-27.0;265.0;-814.0;-589.0
224.0;224.0;39;443.0;792.0;181.0;324.0;-849.0;-511.0
223.0;217.0;39;450.0;794.0;-37.0;308.0;-847.0;-510.0
672.0;-231.0;-96;149.0;755.0;147.0;580.0;-665.0;-303.0
727.0;-254.0;-100;222.0;732.0;31.0;572.0;-621.0;-249.0
737.0;-273.0;-99;238.0;728.0;68.0;571.0;-613.0;-240.0
773.0;-323.0;-99;278.0;714.0;296.0;571.0;-579.0;-197.0
212.0;239.0;39;431.0;782.0;-16.0;319.0;-852.0;-495.0
241.0;271.0;39;427.0;727.0;284.0;348.0;-795.0;-319.0
249.0;269.0;37;453.0;669.0;343.0;346.0;-712.0;-139.0
246.0;263.0;37;462.0;656.0;347.0;344.0;-703.0;-120.0
227.0;247.0;12;488.0;598.0;296.0;334.0;-695.0;-29.0
292.0;90.0;15;630.0;405.0;235.0;263.0;-576.0;215.0
363.0;-32.0;47;613.0;374.0;-218.0;164.0;-510.0;349.0
370.0;-48.0;47;616.0;375.0;-42.0;171.0;-500.0;352.0
387.0;-244.0;55;565.0;371.0;114.0;211.0;-490.0;317.0
291.0;525.0;16;359.0;-682.0;48.0;-570.0;-855.0;-566.0
-171.0;40.0;27;-150.0;-669.0;-74.0;-573.0;-864.0;-674.0
908.0;-546.0;-155;982.0;225.0;130.0;258.0;-648.0;54.0
808.0;-446.0;-85;952.0;169.0;13.0;191.0;-351.0;101.0
249.0;601.0;27;213.0;672.0;-112.0;516.0;-852.0;-510.0
801.0;-446.0;-79;970.0;163.0;90.0;185.0;-332.0;119.0
337.0;503.0;27;380.0;573.0;30.0;430.0;-751.0;-271.0
847.0;-683.0;-173;527.0;440.0;370.0;267.0;-490.0;137.0
221.0;395.0;71;285.0;771.0;57.0;509.0;-767.0;-513.0
212.0;400.0;71;309.0;768.0;96.0;516.0;-780.0;-516.0
411.0;-382.0;168;132.0;673.0;-47.0;603.0;662.0;-444.0
542.0;-489.0;-11;610.0;84.0;537.0;-46.0;-286.0;625.0
707.0;-497.0;134;736.0;12.0;2.0;-202.0;333.0;637.0
427.0;-36.0;15;847.0;391.0;-125.0;234.0;-718.0;69.0
545.0;-284.0;12;17.0;737.0;318.0;399.0;-530.0;-232.0
541.0;-278.0;11;10.0;744.0;206.0;402.0;-549.0;-256.0
419.0;-15.0;15;793.0;410.0;286.0;244.0;-715.0;70.0
518.0;-74.0;3;1045.0;381.0;655.0;215.0;-658.0;21.0
563.0;-25.0;172;208.0;820.0;196.0;546.0;-589.0;-382.0
864.0;-553.0;4;865.0;73.0;-28.0;-57.0;-133.0;313.0
362.0;-349.0;-152;310.0;655.0;-259.0;613.0;-579.0;-564.0
512.0;-553.0;-22;242.0;530.0;-295.0;511.0;-373.0;-92.0
16.0;374.0;12;-151.0;848.0;-609.0;448.0;-768.0;-490.0
-150.0;325.0;31;401.0;543.0;53.0;243.0;-758.0;-401.0
841.0;84.0;154;119.0;784.0;-694.0;603.0;-813.0;-469.0
56.0;249.0;58;429.0;734.0;25.0;301.0;-590.0;-154.0
913.0;75.0;8;823.0;741.0;-1143.0;541.0;-845.0;-364.0
87.0;255.0;52;428.0;731.0;39.0;305.0;-587.0;-113.0
133.0;263.0;45;418.0;724.0;129.0;317.0;-593.0;-87.0
72.0;102.0;26;602.0;596.0;116.0;365.0;-568.0;73.0
59.0;395.0;72;348.0;737.0;31.0;456.0;-784.0;-401.0
111.0;90.0;128;123.0;746.0;39.0;628.0;-812.0;-600.0
163.0;373.0;140;244.0;845.0;119.0;370.0;-755.0;-395.0
588.0;-398.0;-181;123.0;638.0;-146.0;562.0;-580.0;-230.0
40.0;485.0;113;254.0;724.0;-159.0;491.0;-593.0;-283.0
313.0;211.0;-7;82.0;596.0;293.0;420.0;-793.0;-57.0
1006.0;47.0;-2;773.0;733.0;-280.0;553.0;-761.0;-335.0
472.0;36.0;-22;489.0;660.0;-329.0;482.0;-764.0;-164.0
45.0;479.0;113;252.0;736.0;-64.0;493.0;-612.0;-290.0
38.0;471.0;113;252.0;741.0;-8.0;492.0;-608.0;-292.0
-170.0;261.0;168;123.0;750.0;-69.0;658.0;891.0;-822.0
25.0;469.0;113;244.0;749.0;99.0;501.0;-636.0;-327.0
-531.0;109.0;139;21.0;712.0;22.0;672.0;-450.0;-342.0
853.0;-352.0;6;511.0;320.0;175.0;-251.0;-233.0;266.0
844.0;-353.0;6;476.0;317.0;34.0;-220.0;-257.0;287.0
41.0;471.0;113;236.0;754.0;69.0;509.0;-657.0;-393.0
572.0;-325.0;8;507.0;243.0;-264.0;168.0;-373.0;246.0
543.0;-347.0;18;634.0;258.0;-35.0;203.0;-485.0;210.0
555.0;-316.0;13;710.0;247.0;184.0;180.0;-548.0;253.0
553.0;-302.0;10;726.0;239.0;111.0;168.0;-537.0;284.0
549.0;-289.0;8;740.0;237.0;79.0;159.0;-541.0;303.0
546.0;-285.0;8;748.0;237.0;112.0;157.0;-543.0;310.0
337.0;126.0;16;575.0;-498.0;468.0;-314.0;-718.0;-8.0
553.0;-251.0;1;742.0;206.0;168.0;101.0;-452.0;379.0
45.0;470.0;113;230.0;754.0;77.0;510.0;-661.0;-399.0
52.0;472.0;113;226.0;754.0;71.0;510.0;-666.0;-409.0
52.0;473.0;113;225.0;754.0;26.0;511.0;-667.0;-409.0
55.0;472.0;113;229.0;754.0;26.0;512.0;-667.0;-414.0
54.0;472.0;113;232.0;754.0;4.0;512.0;-666.0;-414.0
588.0;-422.0;-172;437.0;621.0;582.0;573.0;-843.0;-629.0
58.0;470.0;113;240.0;756.0;-53.0;512.0;-663.0;-419.0
691.0;-92.0;157;763.0;379.0;-52.0;238.0;-682.0;223.0
73.0;462.0;113;252.0;760.0;24.0;507.0;-669.0;-454.0
50.0;429.0;113;255.0;776.0;48.0;487.0;-705.0;-502.0
47.0;427.0;113;255.0;779.0;25.0;484.0;-711.0;-505.0
662.0;-140.0;175;691.0;284.0;167.0;173.0;-581.0;380.0
631.0;-132.0;174;644.0;282.0;-6.0;164.0;-605.0;381.0
584.0;-142.0;149;551.0;335.0;56.0;146.0;-599.0;377.0
166.0;326.0;31;402.0;580.0;-657.0;417.0;-694.0;-54.0
-350.0;392.0;81;287.0;685.0;-77.0;586.0;-293.0;-389.0
462.0;-322.0;-65;642.0;-40.0;-192.0;57.0;-73.0;522.0
148.0;403.0;122;199.0;777.0;-148.0;577.0;-789.0;-580.0
20.0;-45.0;3;255.0;928.0;310.0;259.0;-867.0;-669.0
900.0;-588.0;-176;505.0;552.0;-209.0;441.0;-280.0;-135.0
914.0;-652.0;-10;566.0;369.0;-120.0;454.0;-257.0;63.0
742.0;-559.0;-25;733.0;504.0;-1225.0;438.0;323.0;98.0
694.0;-612.0;-55;954.0;290.0;226.0;306.0;15.0;419.0
654.0;-71.0;-165;-89.0;763.0;343.0;637.0;-924.0;-452.0
558.0;186.0;131;352.0;728.0;-148.0;542.0;-851.0;-471.0
152.0;621.0;-13;116.0;683.0;244.0;591.0;-869.0;-813.0
469.0;-70.0;14;782.0;645.0;-168.0;135.0;-603.0;303.0
46.0;499.0;109;203.0;744.0;136.0;544.0;-788.0;-500.0
60.0;506.0;109;218.0;734.0;-34.0;551.0;-763.0;-405.0
-335.0;474.0;143;119.0;719.0;407.0;636.0;-597.0;-512.0
1036.0;-200.0;-15;1126.0;676.0;116.0;518.0;-762.0;-329.0
581.0;-538.0;-176;369.0;-543.0;-383.0;-534.0;811.0;-293.0
18.0;495.0;53;282.0;629.0;535.0;426.0;-774.0;-629.0
-192.0;593.0;25;284.0;613.0;49.0;447.0;-764.0;-298.0
49.0;493.0;83;326.0;728.0;-122.0;527.0;-736.0;-331.0
108.0;440.0;103;399.0;750.0;-97.0;547.0;-775.0;-438.0
108.0;441.0;103;396.0;749.0;-19.0;550.0;-779.0;-446.0
100.0;448.0;103;385.0;749.0;-17.0;554.0;-783.0;-459.0
819.0;-280.0;-26;684.0;363.0;154.0;-277.0;-230.0;414.0
93.0;456.0;106;341.0;745.0;105.0;568.0;-795.0;-481.0
102.0;459.0;107;292.0;752.0;-22.0;576.0;-803.0;-504.0
104.0;459.0;107;283.0;752.0;-41.0;579.0;-804.0;-510.0
114.0;453.0;107;278.0;753.0;-28.0;583.0;-802.0;-517.0
247.0;460.0;41;382.0;644.0;306.0;508.0;-793.0;-452.0
120.0;450.0;108;291.0;755.0;-11.0;583.0;-807.0;-523.0
128.0;176.0;20;261.0;-470.0;766.0;-239.0;464.0;256.0
121.0;449.0;108;295.0;755.0;16.0;584.0;-805.0;-527.0
117.0;447.0;108;301.0;756.0;23.0;585.0;-803.0;-534.0
119.0;450.0;110;310.0;751.0;-11.0;591.0;-788.0;-539.0
148.0;441.0;110;305.0;755.0;-27.0;589.0;-788.0;-543.0
157.0;430.0;112;315.0;758.0;29.0;595.0;-792.0;-558.0
181.0;408.0;112;326.0;763.0;-103.0;607.0;-796.0;-578.0
157.0;317.0;119;273.0;766.0;-207.0;627.0;-820.0;-645.0
867.0;-658.0;-147;960.0;282.0;71.0;369.0;-810.0;-334.0
130.0;383.0;179;77.0;843.0;-767.0;505.0;-835.0;-560.0
-134.0;252.0;167;95.0;709.0;-90.0;696.0;-911.0;-778.0
