InertialMeasurementUnit BACK accY;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-250.0;-111.0;-3;18;657;-60.0;429.0;-3;-351.0;8;-42
102.0;-21.0;37;20;672;-99.0;551.0;37;-651.0;47;-29
-61.0;-213.0;10;18;740;118.0;595.0;10;-179.0;17;-50
-37.0;-124.0;-13;15;743;-95.0;601.0;-13;-172.0;22;-50
-39.0;-255.0;-11;17;744;-56.0;604.0;-11;-203.0;19;-50
-37.0;427.0;-11;12;744;-13.0;612.0;-11;-265.0;19;-50
-42.0;-222.0;-21;11;750;-109.0;604.0;-21;-211.0;21;-50
-62.0;-76.0;-10;17;747;-24.0;605.0;-10;-157.0;24;-50
-63.0;-43.0;-10;16;741;12.0;608.0;-10;-154.0;26;-50
-60.0;-227.0;11;11;748;-191.0;606.0;11;-182.0;19;-50
-60.0;-58.0;-46;11;749;-90.0;615.0;-46;-220.0;25;-50
-222.0;-177.0;26;18;664;-162.0;428.0;26;-627.0;8;-55
-53.0;27.0;-27;14;742;101.0;609.0;-27;-274.0;24;-50
-379.0;-513.0;39;22;661;-210.0;472.0;39;-457.0;36;-17
-53.0;56.0;10;13;746;-33.0;605.0;10;-273.0;23;-50
-40.0;118.0;10;12;750;-146.0;607.0;10;-272.0;17;-50
-39.0;-149.0;0;17;744;131.0;605.0;0;-272.0;20;-50
-46.0;67.0;3;12;753;-270.0;605.0;3;-281.0;21;-50
-12.0;-23.0;22;11;749;-83.0;600.0;22;-262.0;23;-50
-46.0;-55.0;-44;14;745;17.0;593.0;-44;-206.0;22;-50
-168.0;-119.0;11;22;664;14.0;555.0;11;-869.0;-4;-26
-80.0;-58.0;4;13;749;-18.0;619.0;4;-216.0;24;-50
-69.0;-36.0;-55;14;742;-30.0;619.0;-55;-217.0;19;-50
-54.0;-58.0;-22;10;750;-47.0;580.0;-22;-217.0;22;-50
-48.0;-102.0;4;18;744;-102.0;574.0;4;-204.0;23;-50
12.0;629.0;-1248;125;548;705.0;467.0;-1248;32.0;346;-41
-14.0;-63.0;10;16;743;-54.0;556.0;10;-182.0;26;-50
-57.0;-115.0;14;15;743;-83.0;547.0;14;-93.0;23;-50
-49.0;-93.0;-4;15;745;-3.0;553.0;-4;-64.0;23;-50
-24.0;-74.0;-5;14;750;-56.0;545.0;-5;20.0;23;-50
-22.0;-62.0;0;14;751;-37.0;544.0;0;29.0;24;-50
-29.0;-68.0;0;13;750;-54.0;544.0;0;29.0;21;-50
-30.0;-60.0;-27;15;747;-21.0;550.0;-27;-28.0;25;-50
-31.0;-91.0;-19;13;750;-117.0;559.0;-19;-109.0;26;-50
-120.0;-123.0;28;13;657;-106.0;524.0;28;-873.0;1;-41
-522.0;0.0;-22;25;681;-312.0;570.0;-22;-286.0;38;-35
-304.0;-450.0;-28;8;659;-285.0;419.0;-28;-407.0;-8;-55
-312.0;-339.0;73;30;650;-261.0;421.0;73;-410.0;-1;-55
-224.0;487.0;-29;15;680;241.0;588.0;-29;-822.0;36;-43
-92.0;-211.0;27;24;652;-219.0;530.0;27;-724.0;7;-41
-25.0;-16.0;23;16;746;-62.0;563.0;23;-148.0;19;-50
-237.0;-186.0;15;16;672;-165.0;500.0;15;-396.0;-7;-39
-310.0;-156.0;-4;25;665;-178.0;515.0;-4;-580.0;1;-39
-277.0;-242.0;26;18;669;-239.0;520.0;26;-578.0;-4;-39
-45.0;-8.0;-7;11;747;-35.0;577.0;-7;-244.0;23;-50
-125.0;11.0;-12;14;655;54.0;482.0;-12;-565.0;-12;-45
-120.0;-62.0;3;25;654;-11.0;508.0;3;-857.0;14;-41
-150.0;-42.0;30;18;652;-37.0;482.0;30;-563.0;-12;-45
-153.0;62.0;-20;21;649;49.0;480.0;-20;-553.0;-2;-45
-157.0;-16.0;2;20;652;18.0;480.0;2;-565.0;-7;-45
-173.0;44.0;20;64;681;163.0;596.0;20;-344.0;31;-59
-148.0;-82.0;-4;18;653;-20.0;510.0;-4;-870.0;12;-41
-104.0;-101.0;-87;25;745;-177.0;508.0;-87;-919.0;-253;-47
-104.0;-93.0;29;22;654;-111.0;509.0;29;-870.0;14;-41
-151.0;-112.0;-16;18;653;-58.0;508.0;-16;-868.0;16;-41
-44.0;-16.0;11;11;746;-47.0;577.0;11;-250.0;23;-50
-376.0;-266.0;-100;4;653;-172.0;496.0;-100;-710.0;-8;-44
-120.0;22.0;24;22;653;7.0;515.0;24;-824.0;12;-41
-142.0;-193.0;7;16;657;-163.0;513.0;7;-824.0;12;-41
-114.0;-119.0;-2;17;655;-146.0;514.0;-2;-826.0;17;-41
-163.0;-157.0;0;22;651;-157.0;517.0;0;-845.0;13;-41
-168.0;-146.0;20;34;638;-149.0;512.0;20;-853.0;23;-41
-25.0;5.0;13;59;185;12.0;538.0;13;-881.0;68;-14
-137.0;-150.0;-8;15;654;-80.0;502.0;-8;-872.0;8;-41
