InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
2;-80;-110;260.0;64.0;92;23;393;-23;-80
-1;-13;4;-44.0;85.0;128;-2;842;2;-13
1;-16;-6;272.0;262.0;70;-12;386;12;-16
-45;211;-141;-242.0;-182.0;248;130;354;-130;211
5;-50;-16;247.0;196.0;70;13;387;-13;-50
-26;45;-73;-18.0;171.0;93;-16;395;16;45
-3;4;7;-92.0;-307.0;68;-34;366;34;4
5;9;1;205.0;35.0;72;-12;367;12;9
-6;40;4;207.0;-116.0;66;44;390;-44;40
-6;34;9;261.0;-283.0;78;20;355;-20;34
4;28;-9;143.0;-113.0;56;30;379;-30;28
6;23;-6;-16.0;40.0;57;37;376;-37;23
17;35;14;-365.0;7.0;47;-25;356;25;35
-8;-24;-12;-217.0;-104.0;74;-203;384;203;-24
0;21;2;51.0;118.0;80;-22;386;22;21
17;-64;-18;-267.0;-314.0;74;-78;382;78;-64
-11;-9;-33;-301.0;-8.0;82;-28;403;28;-9
-3;-9;-1;270.0;-422.0;62;26;373;-26;-9
-181;99;-150;127.0;-245.0;43;-62;439;62;99
0;24;0;335.0;-396.0;61;11;370;-11;24
-111;100;-161;207.0;-344.0;81;-48;385;48;100
0;23;0;166.0;-396.0;67;15;369;-15;23
-137;143;153;-114.0;373.0;61;-37;400;37;143
246;-39;62;307.0;-97.0;116;59;478;-59;-39
-1;-48;5;94.0;-316.0;63;38;366;-38;-48
4;-3;7;-17.0;-99.0;62;30;361;-30;-3
2;43;4;-110.0;197.0;65;-8;363;8;43
60;61;70;-185.0;374.0;72;81;377;-81;61
-10;14;3;344.0;-196.0;75;42;370;-42;14
0;-26;1;-87.0;162.0;73;-14;368;14;-26
30;103;-34;15.0;165.0;51;-4;414;4;103
-8;91;18;295.0;139.0;84;-160;539;160;91
2;15;2;278.0;138.0;72;-14;374;14;15
-8;-8;2;150.0;178.0;72;-3;377;3;-8
1;-10;3;-195.0;93.0;68;6;377;-6;-10
9;77;17;49.0;176.0;86;-62;532;62;77
6;0;41;-134.0;-139.0;81;13;550;-13;0
-4;-28;7;160.0;-182.0;73;-7;381;7;-28
2;-33;1;83.0;95.0;63;3;365;-3;-33
-1;12;4;198.0;12.0;66;28;360;-28;12
4;-23;-4;-61.0;-155.0;67;2;369;-2;-23
3;2;2;1.0;-203.0;66;16;365;-16;2
-3;5;3;-110.0;5.0;64;-14;366;14;5
1;3;-3;32.0;-9.0;67;2;373;-2;3
0;3;0;127.0;64.0;69;-54;371;54;3
1;17;-1;273.0;161.0;68;-43;376;43;17
5;-23;2;138.0;-30.0;67;-40;374;40;-23
-1;-34;-3;32.0;125.0;69;14;378;-14;-34
-1;22;4;77.0;38.0;65;19;372;-19;22
2;-19;7;38.0;109.0;68;27;362;-27;-19
6;13;0;-6.0;84.0;63;26;368;-26;13
-5;-47;-1;2.0;78.0;58;-27;374;27;-47
-1;-9;3;23.0;-55.0;71;35;361;-35;-9
-1;17;-4;92.0;27.0;57;26;374;-26;17
2;-17;4;122.0;24.0;70;-62;360;62;-17
3;1;-2;88.0;13.0;65;-8;369;8;1
3;34;6;25.0;24.0;61;2;362;-2;34
0;0;-3;60.0;39.0;65;-23;371;23;0
0;7;2;17.0;111.0;66;-32;369;32;7
-1;35;4;31.0;-41.0;69;-23;370;23;35
2;2;2;126.0;77.0;68;0;373;0;2
2;-16;0;77.0;91.0;67;-29;371;29;-16
-1;-33;-1;24.0;36.0;65;37;372;-37;-33
3;25;-5;22.0;99.0;68;36;372;-36;25
1;21;4;-57.0;121.0;65;-5;363;5;21
7;30;0;-1.0;153.0;64;4;366;-4;30
1;15;4;-39.0;60.0;67;-8;362;8;15
3;18;0;-34.0;-159.0;62;19;367;-19;18
-2;36;4;32.0;-122.0;65;-4;364;4;36
-1;25;0;9.0;2.0;66;6;368;-6;25
2;21;1;50.0;40.0;66;-19;365;19;21
3;15;-4;65.0;81.0;72;-3;368;3;15
-3;4;-3;-22.0;42.0;64;14;370;-14;4
3;17;2;22.0;-9.0;69;-26;362;26;17
2;6;-6;-28.0;69.0;68;-20;370;20;6
-4;0;13;8.0;91.0;69;60;353;-60;0
0;-46;0;82.0;23.0;68;-4;364;4;-46
5;16;0;71.0;15.0;64;18;369;-18;16
-2;14;-1;102.0;168.0;62;41;370;-41;14
6;4;3;44.0;220.0;70;21;361;-21;4
10;1;1;-8.0;184.0;71;9;361;-9;1
4;21;0;87.0;-11.0;69;-34;365;34;21
1;-32;-4;4.0;59.0;66;-22;369;22;-32
2;11;3;39.0;85.0;69;12;360;-12;11
0;35;-2;19.0;64.0;67;-5;365;5;35
-5;3;1;69.0;38.0;66;-4;366;4;3
-4;3;-5;31.0;90.0;71;0;369;0;3
-1;-28;4;61.0;73.0;69;-33;365;33;-28
1;39;4;76.0;-147.0;64;-9;368;9;39
7;14;-3;7.0;34.0;68;-32;372;32;14
-9;-27;4;-9.0;-27.0;65;-28;373;28;-27
-7;4;-3;86.0;108.0;68;10;375;-10;4
4;12;-4;27.0;55.0;68;6;374;-6;12
2;-23;0;16.0;107.0;71;-27;369;27;-23
6;-2;-6;37.0;-91.0;69;-23;374;23;-2
4;-22;5;-153.0;215.0;64;28;364;-28;-22
-2;-1;0;36.0;51.0;64;15;367;-15;-1
-1;-26;-3;43.0;-43.0;65;2;370;-2;-26
4;-7;7;-167.0;122.0;74;-21;364;21;-7
3;-15;-3;-191.0;102.0;60;-31;379;31;-15
-13;-42;58;-218.0;-194.0;94;-69;544;69;-42
-5;-13;0;33.0;48.0;76;-15;390;15;-13
-6;23;0;35.0;36.0;71;-16;391;16;23
-6;19;2;82.0;12.0;74;-17;389;17;19
-3;59;0;-151.0;-63.0;73;24;415;-24;59
4;12;-4;20.0;63.0;69;-26;393;26;12
15;-2;-47;156.0;330.0;72;-16;404;16;-2
2;10;6;42.0;33.0;75;-43;384;43;10
14;-1;-47;150.0;325.0;72;-16;404;16;-1
17;4;-41;213.0;418.0;70;-15;405;15;4
-1;16;3;-9.0;87.0;64;28;392;-28;16
-4;19;2;-2.0;75.0;72;9;390;-9;19
-1;13;0;-306.0;170.0;72;-14;392;14;13
-2;23;1;-328.0;127.0;71;-1;392;1;23
-2;19;3;-94.0;86.0;75;-48;389;48;19
-148;201;-49;-259.0;98.0;109;346;719;-346;201
-8;-16;3;72.0;59.0;101;-30;631;30;-16
-2;2;-4;20.0;159.0;98;-2;634;2;2
0;37;-4;124.0;207.0;96;-31;634;31;37
-2;-32;-13;46.0;26.0;95;-6;638;6;-32
0;-37;0;410.0;-71.0;70;-44;391;44;-37
-3;-19;-3;469.0;-185.0;67;-17;394;17;-19
14;43;14;184.0;171.0;68;-1;377;1;43
-10;4;-7;310.0;-101.0;73;40;398;-40;4
-85;-17;-25;-102.0;283.0;79;37;395;-37;-17
-12;-11;5;109.0;-33.0;74;-12;381;12;-11
-7;24;9;-7.0;98.0;75;-25;375;25;24
7;-2;16;61.0;-153.0;77;-27;369;27;-2
7;61;39;299.0;-403.0;74;27;378;-27;61
3;50;0;213.0;147.0;66;-11;387;11;50
-29;-4;4;134.0;-264.0;78;-90;377;90;-4
1;-53;-6;-177.0;-69.0;65;-14;405;14;-53
4;-62;4;-243.0;82.0;67;15;395;-15;-62
8;-34;-5;-59.0;130.0;71;-1;401;1;-34
-11;-11;5;121.0;37.0;67;-41;401;41;-11
5;13;6;144.0;-20.0;76;-20;391;20;13
4;24;-1;101.0;-35.0;70;-5;399;5;24
6;3;7;114.0;63.0;74;29;389;-29;3
-3;5;0;72.0;53.0;74;-39;397;39;5
-5;-36;-1;-217.0;18.0;67;12;402;-12;-36
144;-39;12;182.0;-355.0;77;8;389;-8;-39
3;23;-3;279.0;-9.0;74;6;394;-6;23
-7;19;1;-259.0;2.0;79;6;380;-6;19
-13;-3;5;176.0;-85.0;66;-15;390;15;-3
115;-19;2;199.0;-125.0;78;34;389;-34;-19
-12;-35;3;135.0;6.0;66;45;388;-45;-35
-232;50;28;17.0;429.0;106;14;390;-14;50
7;-16;-1;-110.0;-153.0;69;0;389;0;-16
13;-27;38;-148.0;-40.0;73;-10;376;10;-27
