InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
782.0;204.0;65;478.0;734.0;121.0;529.0;-814.0;-443.0
-353.0;393.0;81;291.0;682.0;-71.0;588.0;-284.0;-381.0
514.0;-158.0;-56;493.0;263.0;385.0;74.0;-50.0;395.0
491.0;-104.0;-3;439.0;303.0;255.0;95.0;-89.0;393.0
485.0;-91.0;12;425.0;312.0;205.0;102.0;-97.0;387.0
473.0;-31.0;64;356.0;346.0;576.0;125.0;-141.0;375.0
457.0;16.0;67;288.0;362.0;231.0;173.0;-177.0;304.0
371.0;189.0;63;105.0;457.0;177.0;281.0;-317.0;140.0
348.0;264.0;62;3.0;517.0;146.0;313.0;-396.0;39.0
344.0;314.0;53;-63.0;555.0;330.0;330.0;-433.0;-13.0
276.0;408.0;10;-282.0;673.0;573.0;373.0;-508.0;-202.0
203.0;147.0;100;-268.0;954.0;34.0;289.0;-806.0;-695.0
189.0;129.0;100;-269.0;946.0;47.0;310.0;-822.0;-701.0
183.0;110.0;100;-269.0;940.0;-52.0;325.0;-831.0;-702.0
293.0;52.0;100;-231.0;861.0;-66.0;498.0;-875.0;-681.0
525.0;-116.0;-72;169.0;741.0;669.0;620.0;-768.0;-480.0
641.0;-220.0;-95;164.0;755.0;648.0;583.0;-669.0;-324.0
672.0;-231.0;-96;149.0;755.0;147.0;580.0;-665.0;-303.0
727.0;-254.0;-100;222.0;732.0;31.0;572.0;-621.0;-249.0
737.0;-273.0;-99;238.0;728.0;68.0;571.0;-613.0;-240.0
773.0;-323.0;-99;278.0;714.0;296.0;571.0;-579.0;-197.0
788.0;-339.0;-102;280.0;711.0;501.0;570.0;-565.0;-180.0
800.0;-355.0;-117;290.0;708.0;698.0;567.0;-553.0;-168.0
489.0;-345.0;-74;679.0;11.0;-138.0;93.0;-107.0;509.0
462.0;-322.0;-65;642.0;-40.0;-192.0;57.0;-73.0;522.0
456.0;-311.0;-64;630.0;-52.0;-275.0;50.0;-61.0;524.0
417.0;-266.0;-43;592.0;-139.0;-52.0;-22.0;-10.0;532.0
