Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RWR accZ;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
351.0;959.0;-257.0;840.0;985.0;840.0;-793.0;-368.0;382.0
942.0;4.0;-660.0;-114.0;131.0;632.0;-21.0;-858.0;866.0
435.0;1013.0;-144.0;720.0;789.0;677.0;-873.0;-157.0;476.0
550.0;849.0;-222.0;721.0;826.0;784.0;-888.0;-518.0;472.0
563.0;902.0;-235.0;726.0;816.0;859.0;-819.0;-660.0;537.0
646.0;780.0;-225.0;565.0;479.0;726.0;-781.0;-554.0;653.0
229.0;1048.0;-126.0;862.0;988.0;687.0;-949.0;-226.0;401.0
287.0;951.0;-106.0;879.0;979.0;752.0;-995.0;-257.0;288.0
282.0;1049.0;-141.0;932.0;1021.0;825.0;-988.0;-245.0;323.0
342.0;1000.0;-202.0;914.0;1018.0;831.0;-935.0;-322.0;354.0
99.0;979.0;-151.0;959.0;1070.0;660.0;-947.0;-285.0;218.0
316.0;949.0;-145.0;883.0;1016.0;938.0;-946.0;-328.0;371.0
339.0;970.0;-174.0;881.0;986.0;716.0;-960.0;-303.0;356.0
413.0;957.0;-160.0;797.0;1017.0;606.0;-916.0;-241.0;380.0
387.0;1010.0;-192.0;887.0;1214.0;614.0;-981.0;-252.0;572.0
378.0;980.0;-225.0;871.0;1051.0;582.0;-996.0;-399.0;505.0
377.0;917.0;-146.0;866.0;992.0;861.0;-955.0;-294.0;386.0
366.0;935.0;-260.0;830.0;996.0;608.0;-929.0;-411.0;453.0
378.0;926.0;-229.0;823.0;1005.0;599.0;-915.0;-424.0;439.0
410.0;936.0;-178.0;849.0;1007.0;555.0;-961.0;-310.0;406.0
337.0;779.0;-189.0;871.0;940.0;547.0;-950.0;-355.0;463.0
326.0;983.0;-125.0;893.0;988.0;839.0;-948.0;-284.0;388.0
553.0;719.0;-374.0;995.0;1191.0;864.0;-447.0;-652.0;339.0
420.0;920.0;-283.0;811.0;943.0;581.0;-949.0;-378.0;404.0
379.0;1001.0;-152.0;906.0;1043.0;510.0;-934.0;-359.0;380.0
303.0;967.0;-170.0;965.0;1112.0;579.0;-1099.0;-441.0;412.0
278.0;1029.0;-101.0;906.0;1019.0;919.0;-988.0;-245.0;333.0
398.0;931.0;-166.0;868.0;1010.0;561.0;-936.0;-291.0;414.0
433.0;938.0;-192.0;865.0;969.0;597.0;-935.0;-311.0;404.0
362.0;952.0;-268.0;844.0;1001.0;547.0;-912.0;-396.0;456.0
330.0;993.0;-227.0;883.0;987.0;529.0;-927.0;-388.0;429.0
336.0;1007.0;-192.0;913.0;1047.0;518.0;-931.0;-369.0;405.0
281.0;961.0;46.0;1035.0;1214.0;478.0;-1099.0;-149.0;281.0
371.0;929.0;-101.0;892.0;996.0;571.0;-1011.0;-254.0;346.0
401.0;901.0;-262.0;843.0;1034.0;677.0;-927.0;-368.0;451.0
401.0;865.0;-209.0;904.0;993.0;543.0;-916.0;-358.0;373.0
458.0;863.0;-157.0;781.0;891.0;590.0;-994.0;-264.0;348.0
466.0;933.0;-240.0;830.0;1034.0;558.0;-880.0;-286.0;455.0
430.0;960.0;-293.0;885.0;1039.0;610.0;-972.0;-448.0;547.0
310.0;998.0;-187.0;846.0;1009.0;482.0;-928.0;-346.0;343.0
318.0;829.0;-132.0;975.0;1153.0;422.0;-945.0;-340.0;308.0
319.0;911.0;-156.0;927.0;976.0;520.0;-969.0;-310.0;401.0
389.0;880.0;-261.0;830.0;970.0;588.0;-927.0;-362.0;423.0
362.0;1011.0;-148.0;831.0;880.0;475.0;-779.0;-297.0;543.0
311.0;963.0;-134.0;877.0;1016.0;799.0;-996.0;-268.0;352.0
469.0;869.0;-292.0;797.0;999.0;831.0;-906.0;-383.0;486.0
422.0;912.0;-228.0;821.0;965.0;665.0;-878.0;-378.0;424.0
