Accelerometer RKN_ accY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;Accelerometer HIP accX;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
1002.0;5.0;-42;906.0;-55.0;276;-976.0;-281.0;-201.0;13.0;-490.0;-464.0;-42
997.0;167.0;141;923.0;7.0;223;-1033.0;-178.0;67.0;-4.0;-329.0;-439.0;141
961.0;412.0;113;858.0;10.0;338;-987.0;535.0;474.0;-61.0;119.0;618.0;113
978.0;-73.0;-38;932.0;51.0;322;-947.0;548.0;503.0;-252.0;104.0;625.0;-38
921.0;287.0;14;1238.0;-5.0;312;-906.0;554.0;476.0;-72.0;185.0;618.0;14
811.0;72.0;31;938.0;-705.0;315;-923.0;561.0;515.0;-81.0;115.0;664.0;31
1035.0;-94.0;-26;1188.0;-16.0;292;-1190.0;568.0;506.0;64.0;164.0;678.0;-26
923.0;87.0;-19;1148.0;294.0;314;-918.0;570.0;501.0;-164.0;173.0;658.0;-19
950.0;-180.0;39;961.0;249.0;306;-991.0;591.0;521.0;-95.0;190.0;669.0;39
979.0;160.0;-35;914.0;23.0;317;-970.0;554.0;507.0;-182.0;135.0;660.0;-35
928.0;124.0;5;944.0;245.0;315;-1044.0;562.0;497.0;-127.0;146.0;646.0;5
959.0;-12.0;7;956.0;311.0;309;-950.0;567.0;508.0;-84.0;151.0;637.0;7
979.0;201.0;-5;897.0;-50.0;319;-964.0;549.0;506.0;-72.0;124.0;672.0;-5
969.0;-59.0;-54;931.0;211.0;305;-985.0;554.0;505.0;-29.0;123.0;602.0;-54
920.0;-210.0;39;929.0;253.0;307;-1017.0;550.0;503.0;-64.0;114.0;654.0;39
968.0;208.0;-12;958.0;96.0;297;-940.0;552.0;514.0;-204.0;110.0;638.0;-12
985.0;-197.0;68;869.0;183.0;298;-966.0;559.0;526.0;-163.0;107.0;641.0;68
903.0;20.0;61;803.0;-405.0;242;-1076.0;537.0;571.0;-64.0;798.0;389.0;61
925.0;-402.0;-21;899.0;309.0;286;-977.0;575.0;526.0;-44.0;140.0;325.0;-21
947.0;-108.0;34;922.0;229.0;294;-933.0;585.0;526.0;-60.0;161.0;166.0;34
951.0;17.0;3;952.0;-248.0;288;-993.0;571.0;500.0;-50.0;182.0;-309.0;3
990.0;-206.0;-10;963.0;112.0;302;-984.0;555.0;505.0;-38.0;119.0;641.0;-10
960.0;-162.0;41;951.0;130.0;309;-957.0;558.0;508.0;-10.0;121.0;651.0;41
987.0;115.0;-11;925.0;103.0;308;-996.0;571.0;506.0;-45.0;155.0;653.0;-11
986.0;28.0;7;898.0;143.0;310;-979.0;548.0;451.0;-35.0;8.0;640.0;7
970.0;-27.0;30;959.0;138.0;305;-977.0;575.0;500.0;-46.0;38.0;639.0;30
962.0;-35.0;-26;960.0;161.0;306;-966.0;585.0;492.0;24.0;118.0;667.0;-26
980.0;-41.0;12;926.0;161.0;292;-986.0;591.0;504.0;-59.0;97.0;666.0;12
983.0;67.0;-21;918.0;78.0;297;-981.0;583.0;503.0;-29.0;71.0;642.0;-21
967.0;-41.0;51;955.0;119.0;295;-1013.0;576.0;498.0;19.0;64.0;635.0;51
979.0;30.0;10;961.0;90.0;320;-979.0;577.0;494.0;-28.0;73.0;635.0;10
984.0;65.0;-7;970.0;120.0;318;-967.0;572.0;488.0;10.0;64.0;633.0;-7
976.0;50.0;-71;960.0;106.0;316;-1023.0;571.0;487.0;9.0;61.0;631.0;-71
971.0;-35.0;-11;953.0;108.0;309;-996.0;575.0;492.0;-6.0;60.0;629.0;-11
991.0;-72.0;-4;946.0;134.0;306;-985.0;580.0;497.0;-29.0;63.0;634.0;-4
989.0;-14.0;-30;890.0;114.0;305;-993.0;581.0;500.0;-39.0;58.0;636.0;-30
984.0;-43.0;2;978.0;145.0;305;-978.0;583.0;502.0;-57.0;61.0;637.0;2
977.0;-26.0;11;920.0;133.0;301;-987.0;584.0;501.0;-64.0;60.0;638.0;11
961.0;53.0;-5;916.0;130.0;302;-992.0;561.0;492.0;-64.0;5.0;621.0;-5
988.0;-114.0;-8;928.0;124.0;306;-988.0;552.0;490.0;-21.0;-18.0;606.0;-8
982.0;28.0;21;930.0;124.0;309;-980.0;572.0;499.0;-14.0;35.0;620.0;21
972.0;20.0;14;947.0;162.0;311;-999.0;568.0;494.0;-21.0;29.0;625.0;14
990.0;-37.0;-7;925.0;107.0;308;-989.0;567.0;491.0;-20.0;27.0;623.0;-7
980.0;-33.0;22;918.0;147.0;309;-982.0;572.0;496.0;-33.0;28.0;623.0;22
978.0;45.0;23;947.0;139.0;306;-989.0;574.0;498.0;-39.0;35.0;623.0;23
992.0;28.0;-9;928.0;92.0;307;-994.0;571.0;497.0;-20.0;32.0;621.0;-9
989.0;-9.0;-17;929.0;100.0;306;-988.0;570.0;497.0;-36.0;28.0;624.0;-17
977.0;3.0;-8;942.0;127.0;304;-988.0;570.0;497.0;-25.0;30.0;624.0;-8
970.0;13.0;0;943.0;132.0;310;-993.0;570.0;497.0;-38.0;30.0;624.0;0
979.0;1.0;19;946.0;99.0;308;-992.0;571.0;497.0;-32.0;31.0;625.0;19
975.0;-14.0;11;926.0;122.0;314;-987.0;572.0;501.0;-10.0;26.0;626.0;11
981.0;32.0;-6;916.0;133.0;311;-990.0;571.0;499.0;-5.0;24.0;623.0;-6
990.0;24.0;32;934.0;122.0;309;-980.0;571.0;498.0;-31.0;24.0;623.0;32
965.0;-156.0;14;943.0;109.0;312;-976.0;568.0;493.0;-70.0;32.0;620.0;14
997.0;-57.0;8;896.0;111.0;308;-973.0;546.0;487.0;-47.0;-26.0;597.0;8
987.0;-15.0;-5;908.0;151.0;300;-965.0;544.0;485.0;-48.0;-27.0;597.0;-5
980.0;35.0;-19;907.0;109.0;310;-991.0;574.0;501.0;-39.0;30.0;629.0;-19
1099.0;-299.0;5;859.0;-129.0;233;-1130.0;663.0;549.0;97.0;615.0;357.0;5
990.0;-301.0;112;948.0;12.0;278;-884.0;395.0;281.0;-362.0;17.0;-11.0;112
998.0;342.0;122;840.0;0.0;288;-1091.0;301.0;329.0;-130.0;-189.0;202.0;122
933.0;-549.0;-89;782.0;-6.0;267;-795.0;232.0;297.0;-231.0;-322.0;359.0;-89
913.0;308.0;18;994.0;-63.0;334;-836.0;-504.0;-369.0;-130.0;62.0;-560.0;18
993.0;19.0;-47;1012.0;-17.0;336;-734.0;-427.0;-294.0;-44.0;-67.0;-604.0;-47
952.0;-95.0;24;908.0;-162.0;248;-958.0;465.0;472.0;-10.0;-110.0;650.0;24
994.0;-197.0;-26;1031.0;-20.0;260;-1013.0;535.0;301.0;-197.0;820.0;459.0;-26
789.0;537.0;61;1113.0;97.0;402;-897.0;461.0;498.0;-125.0;501.0;434.0;61
1015.0;174.0;78;826.0;78.0;258;-1032.0;533.0;394.0;-271.0;789.0;519.0;78
995.0;194.0;-430;1030.0;145.0;224;-966.0;135.0;1.0;150.0;771.0;415.0;-430
996.0;175.0;384;925.0;31.0;250;-874.0;-220.0;-14.0;-118.0;187.0;194.0;384
974.0;170.0;71;1125.0;117.0;260;-784.0;-386.0;-71.0;-155.0;-178.0;-26.0;71
1003.0;344.0;-1;924.0;-10.0;166;-1006.0;222.0;2.0;31.0;817.0;250.0;-1
1004.0;-241.0;-57;933.0;86.0;275;-831.0;550.0;592.0;-179.0;788.0;581.0;-57
1096.0;-625.0;106;972.0;85.0;226;-889.0;463.0;448.0;-309.0;744.0;357.0;106
398.0;76.0;-38;984.0;-556.0;249;-772.0;450.0;461.0;-188.0;734.0;289.0;-38
1100.0;-5.0;-55;905.0;185.0;234;-777.0;500.0;541.0;-200.0;732.0;255.0;-55
997.0;82.0;45;953.0;122.0;338;-777.0;495.0;542.0;-201.0;732.0;255.0;45
930.0;199.0;-122;871.0;-509.0;318;-992.0;428.0;378.0;-37.0;860.0;342.0;-122
1114.0;-71.0;56;749.0;-593.0;239;-852.0;436.0;436.0;-41.0;836.0;333.0;56
989.0;-589.0;53;1051.0;103.0;224;-944.0;470.0;496.0;-79.0;820.0;326.0;53
980.0;856.0;36;879.0;-20.0;252;-898.0;538.0;465.0;-125.0;350.0;293.0;36
976.0;48.0;-35;1015.0;306.0;433;-792.0;379.0;410.0;-81.0;-250.0;522.0;-35
953.0;15.0;4;996.0;90.0;462;-790.0;366.0;400.0;-102.0;-250.0;520.0;4
803.0;-195.0;138;1196.0;-684.0;279;-910.0;350.0;425.0;-156.0;-273.0;436.0;138
892.0;360.0;39;818.0;-367.0;306;-850.0;540.0;414.0;-42.0;558.0;676.0;39
931.0;-109.0;32;833.0;-7.0;259;-930.0;522.0;398.0;-76.0;595.0;659.0;32
1063.0;-61.0;8;942.0;192.0;248;-947.0;506.0;366.0;-223.0;611.0;498.0;8
970.0;134.0;-27;946.0;20.0;318;-955.0;513.0;363.0;-129.0;743.0;308.0;-27
984.0;76.0;49;947.0;0.0;350;-960.0;511.0;349.0;-158.0;748.0;309.0;49
1024.0;49.0;286;951.0;-14.0;708;-915.0;504.0;326.0;-30.0;746.0;300.0;286
984.0;595.0;51;917.0;-19.0;95;-1009.0;371.0;177.0;-153.0;849.0;282.0;51
887.0;55.0;-18;801.0;100.0;222;-903.0;372.0;272.0;-300.0;775.0;560.0;-18
963.0;-338.0;-126;921.0;48.0;211;-1099.0;580.0;422.0;-86.0;643.0;562.0;-126
904.0;-40.0;-51;837.0;-19.0;239;-1008.0;90.0;-91.0;1.0;-81.0;599.0;-51
987.0;197.0;-30;862.0;74.0;278;-988.0;156.0;-128.0;-71.0;-23.0;531.0;-30
1007.0;309.0;29;919.0;29.0;284;-987.0;235.0;-41.0;13.0;121.0;550.0;29
977.0;395.0;-11;891.0;184.0;267;-985.0;343.0;56.0;78.0;453.0;714.0;-11
1010.0;-48.0;89;999.0;-77.0;-253;-861.0;322.0;-69.0;0.0;773.0;767.0;89
957.0;136.0;-207;846.0;319.0;232;-1043.0;537.0;521.0;-89.0;487.0;698.0;-207
967.0;288.0;-28;666.0;145.0;218;-1004.0;560.0;552.0;-226.0;390.0;707.0;-28
965.0;83.0;-136;941.0;119.0;234;-865.0;575.0;577.0;-210.0;312.0;748.0;-136
978.0;-257.0;-141;999.0;-357.0;482;-773.0;392.0;161.0;-94.0;282.0;778.0;-141
939.0;-5.0;3;710.0;-36.0;301;-1063.0;518.0;419.0;-72.0;306.0;738.0;3
1008.0;-311.0;28;1238.0;-15.0;281;-827.0;526.0;444.0;-158.0;276.0;729.0;28
997.0;56.0;41;963.0;-35.0;304;-801.0;593.0;469.0;-297.0;155.0;657.0;41
987.0;98.0;-21;973.0;-18.0;306;-824.0;584.0;464.0;-310.0;165.0;670.0;-21
973.0;-139.0;-28;968.0;-68.0;275;-1014.0;258.0;133.0;-156.0;606.0;610.0;-28
986.0;-31.0;-12;996.0;-46.0;273;-998.0;238.0;110.0;-162.0;626.0;604.0;-12
996.0;19.0;11;955.0;-51.0;286;-980.0;-24.0;-236.0;40.0;780.0;559.0;11
807.0;44.0;-13;958.0;-304.0;288;-976.0;137.0;6.0;59.0;672.0;517.0;-13
941.0;276.0;26;957.0;-300.0;259;-738.0;652.0;504.0;-420.0;155.0;625.0;26
719.0;-335.0;-106;925.0;-348.0;270;-736.0;604.0;453.0;-360.0;296.0;613.0;-106
713.0;352.0;204;988.0;-278.0;472;-852.0;462.0;389.0;0.0;230.0;380.0;204
