Accelerometer LUA^ accY;InertialMeasurementUnit LUA magneticX;Accelerometer RKN^ accY;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit R-SHOE EuY
838.0;413.0;998.0;220.0;-264.0;212.0;100.0;169.0;-1049.0;-57
827.0;191.0;1131.0;-43.0;-561.0;244.0;238.0;184.0;-952.0;-21
510.0;-764.0;313.0;891.0;-575.0;704.0;112.0;-676.0;-581.0;-73
1119.0;152.0;972.0;156.0;-548.0;344.0;232.0;138.0;-803.0;-9
1095.0;164.0;1118.0;171.0;-534.0;262.0;215.0;108.0;-766.0;-3
1007.0;612.0;1060.0;8.0;591.0;286.0;385.0;253.0;-977.0;-29
974.0;636.0;992.0;-51.0;650.0;41.0;391.0;343.0;-875.0;-29
914.0;78.0;914.0;88.0;-197.0;351.0;103.0;-35.0;-886.0;-57
743.0;320.0;903.0;169.0;-132.0;410.0;387.0;-119.0;-899.0;-48
901.0;-5.0;982.0;228.0;-536.0;423.0;628.0;585.0;-557.0;-40
865.0;639.0;911.0;27.0;608.0;22.0;464.0;45.0;-841.0;-33
956.0;743.0;959.0;236.0;683.0;-64.0;311.0;166.0;-923.0;-41
740.0;558.0;1032.0;92.0;662.0;222.0;164.0;-30.0;-941.0;-27
948.0;629.0;1024.0;51.0;597.0;397.0;123.0;198.0;-928.0;-24
1010.0;614.0;1034.0;45.0;619.0;304.0;241.0;88.0;-988.0;-24
1021.0;594.0;1038.0;105.0;633.0;164.0;179.0;155.0;-979.0;-24
892.0;522.0;1030.0;40.0;654.0;335.0;176.0;86.0;-1036.0;-31
994.0;729.0;779.0;337.0;926.0;15.0;332.0;89.0;-1014.0;-39
916.0;484.0;1027.0;152.0;534.0;300.0;310.0;-156.0;-908.0;-50
810.0;255.0;925.0;13.0;-505.0;67.0;57.0;158.0;-1093.0;-82
1243.0;510.0;923.0;-91.0;304.0;289.0;259.0;195.0;-911.0;-31
910.0;539.0;1361.0;-161.0;595.0;249.0;190.0;111.0;-953.0;-24
958.0;554.0;982.0;250.0;593.0;254.0;156.0;78.0;-966.0;-24
794.0;538.0;993.0;261.0;606.0;154.0;194.0;-52.0;-1049.0;-24
1153.0;515.0;1014.0;-130.0;326.0;359.0;260.0;204.0;-899.0;-27
966.0;564.0;1014.0;154.0;594.0;260.0;170.0;54.0;-990.0;-24
984.0;561.0;1017.0;256.0;594.0;251.0;166.0;79.0;-999.0;-24
970.0;563.0;982.0;222.0;558.0;200.0;210.0;269.0;-913.0;-24
925.0;540.0;913.0;208.0;581.0;255.0;278.0;74.0;-861.0;-23
891.0;538.0;928.0;216.0;576.0;168.0;215.0;90.0;-969.0;-23
920.0;569.0;925.0;200.0;567.0;255.0;160.0;90.0;-984.0;-23
906.0;577.0;999.0;168.0;565.0;289.0;159.0;85.0;-961.0;-23
922.0;573.0;1037.0;303.0;558.0;231.0;191.0;81.0;-982.0;-23
968.0;546.0;1012.0;157.0;543.0;146.0;223.0;91.0;-999.0;-23
948.0;547.0;979.0;291.0;548.0;145.0;167.0;52.0;-990.0;-23
974.0;551.0;959.0;299.0;549.0;218.0;182.0;-4.0;-981.0;-23
884.0;576.0;996.0;230.0;527.0;204.0;158.0;254.0;-661.0;-24
785.0;541.0;981.0;205.0;509.0;168.0;249.0;33.0;-921.0;-23
972.0;496.0;893.0;445.0;501.0;258.0;222.0;69.0;-949.0;-23
880.0;483.0;906.0;-197.0;527.0;255.0;171.0;49.0;-962.0;-23
922.0;580.0;972.0;256.0;478.0;174.0;152.0;195.0;-767.0;-24
928.0;501.0;968.0;415.0;504.0;326.0;196.0;311.0;-899.0;-24
829.0;570.0;753.0;136.0;391.0;253.0;283.0;52.0;-938.0;-32
603.0;537.0;1048.0;64.0;470.0;851.0;-33.0;521.0;-638.0;-24
