InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;Accelerometer BACK accX
206.0;-389.0;-561.0;-10;-147.0;-531.0;587.0;-44.0;242.0;-552.0;123.0
11.0;196.0;39.0;275;393.0;82.0;-400.0;106.0;-288.0;187.0;200.0
-40.0;208.0;62.0;391;397.0;248.0;-485.0;243.0;-274.0;174.0;19.0
173.0;-74.0;137.0;-98;468.0;-138.0;-342.0;-116.0;-648.0;356.0;393.0
-658.0;200.0;34.0;-48;370.0;-151.0;-183.0;-166.0;-296.0;104.0;300.0
218.0;236.0;68.0;-29;294.0;-21.0;-269.0;-8.0;-174.0;121.0;349.0
-124.0;397.0;283.0;36;-40.0;229.0;-65.0;237.0;119.0;148.0;431.0
111.0;-256.0;-297.0;-8;-232.0;-489.0;369.0;590.0;316.0;-514.0;489.0
278.0;-237.0;-248.0;-75;-333.0;-409.0;389.0;143.0;407.0;-472.0;273.0
-82.0;-113.0;76.0;-213;425.0;-179.0;-272.0;219.0;-589.0;304.0;335.0
129.0;-106.0;-304.0;143;137.0;-64.0;-83.0;112.0;-13.0;-329.0;64.0
253.0;-167.0;-316.0;-38;107.0;-240.0;61.0;104.0;-74.0;-292.0;-20.0
-19.0;-137.0;-305.0;29;107.0;-274.0;85.0;-19.0;-78.0;-274.0;95.0
-142.0;-101.0;-294.0;-38;94.0;-263.0;80.0;-85.0;-50.0;-271.0;55.0
121.0;-71.0;-308.0;227;98.0;-167.0;2.0;-26.0;-11.0;-283.0;89.0
168.0;-71.0;-309.0;198;107.0;-167.0;0.0;-16.0;-23.0;-277.0;126.0
-212.0;-81.0;-348.0;7;83.0;-227.0;53.0;-79.0;27.0;-273.0;70.0
-281.0;-68.0;-316.0;-28;59.0;-249.0;71.0;153.0;32.0;-276.0;64.0
40.0;-45.0;-291.0;47;54.0;-271.0;92.0;1.0;28.0;-271.0;78.0
76.0;-52.0;-306.0;335;84.0;-250.0;69.0;-79.0;8.0;-253.0;15.0
-102.0;-56.0;-284.0;-269;110.0;-278.0;79.0;33.0;-1.0;-230.0;220.0
-146.0;-42.0;-279.0;-49;121.0;-248.0;55.0;26.0;-4.0;-235.0;208.0
-73.0;-31.0;-279.0;89;104.0;-219.0;32.0;91.0;14.0;-256.0;112.0
-54.0;-31.0;-280.0;77;96.0;-219.0;35.0;120.0;19.0;-260.0;105.0
-153.0;-36.0;-281.0;48;60.0;-243.0;59.0;-14.0;34.0;-276.0;29.0
-96.0;-35.0;-282.0;16;48.0;-255.0;72.0;-61.0;39.0;-281.0;36.0
-75.0;-35.0;-288.0;40;30.0;-283.0;98.0;-82.0;49.0;-291.0;43.0
-45.0;-45.0;-298.0;28;12.0;-282.0;107.0;-7.0;75.0;-294.0;13.0
-74.0;-47.0;-301.0;27;6.0;-292.0;118.0;-3.0;77.0;-298.0;18.0
-4.0;-36.0;-301.0;111;2.0;-320.0;140.0;-77.0;70.0;-301.0;69.0
-71.0;-92.0;-366.0;-24;22.0;-384.0;188.0;130.0;58.0;-282.0;189.0
42.0;-76.0;-354.0;-7;28.0;-391.0;192.0;74.0;57.0;-275.0;173.0
-204.0;-50.0;-329.0;146;20.0;-293.0;124.0;57.0;100.0;-292.0;109.0
243.0;-91.0;-361.0;-33;-6.0;-388.0;203.0;-42.0;109.0;-291.0;227.0
115.0;-99.0;-368.0;-33;-9.0;-409.0;216.0;-7.0;107.0;-292.0;211.0
-180.0;-53.0;-318.0;-2;180.0;-552.0;222.0;135.0;-189.0;-263.0;284.0
-63.0;-44.0;-310.0;0;214.0;-566.0;225.0;128.0;-220.0;-257.0;266.0
-47.0;-36.0;-313.0;0;522.0;-739.0;289.0;-12.0;-307.0;-230.0;271.0
-145.0;-65.0;-345.0;1;174.0;-426.0;120.0;-65.0;-16.0;-250.0;113.0
-101.0;-67.0;-348.0;2;141.0;-368.0;110.0;-39.0;39.0;-254.0;33.0
-297.0;-76.0;-365.0;10;52.0;-224.0;10.0;3.0;125.0;-282.0;172.0
83.0;-30.0;-337.0;-3;99.0;-261.0;32.0;57.0;36.0;-258.0;184.0
-230.0;-54.0;-354.0;0;56.0;-297.0;87.0;-3.0;64.0;-254.0;188.0
-76.0;-42.0;-345.0;5;59.0;-295.0;89.0;4.0;56.0;-255.0;194.0
112.0;-51.0;-347.0;-2;66.0;-298.0;98.0;-39.0;55.0;-251.0;144.0
294.0;-372.0;-380.0;1;40.0;-315.0;121.0;-24.0;80.0;-268.0;115.0
5.0;-268.0;-368.0;4;42.0;-315.0;118.0;60.0;77.0;-246.0;76.0
-173.0;-152.0;-349.0;4;52.0;-314.0;115.0;127.0;63.0;-233.0;176.0
-236.0;-98.0;-328.0;-2;64.0;-308.0;104.0;125.0;47.0;-234.0;198.0
-17.0;-107.0;-318.0;6;91.0;-297.0;79.0;-20.0;38.0;-222.0;147.0
10.0;-133.0;-341.0;-2;65.0;-315.0;110.0;13.0;79.0;-229.0;192.0
-20.0;-129.0;-341.0;6;66.0;-316.0;108.0;38.0;80.0;-233.0;183.0
-15.0;-133.0;-349.0;2;49.0;-326.0;121.0;-11.0;95.0;-238.0;129.0
-30.0;-134.0;-350.0;7;47.0;-327.0;121.0;1.0;98.0;-240.0;136.0
-3.0;-131.0;-349.0;5;45.0;-325.0;119.0;4.0;101.0;-239.0;159.0
83.0;-130.0;-346.0;-3;45.0;-324.0;119.0;-39.0;100.0;-232.0;164.0
5.0;-140.0;-358.0;-1;37.0;-326.0;122.0;21.0;104.0;-238.0;158.0
7.0;-144.0;-359.0;0;42.0;-324.0;120.0;34.0;98.0;-234.0;113.0
6.0;-145.0;-359.0;1;40.0;-325.0;122.0;27.0;100.0;-234.0;148.0
14.0;-135.0;-350.0;6;43.0;-314.0;108.0;12.0;95.0;-230.0;152.0
96.0;-145.0;-356.0;1;37.0;-322.0;121.0;-7.0;98.0;-240.0;84.0
121.0;-154.0;-365.0;-1;31.0;-326.0;126.0;-58.0;105.0;-246.0;94.0
-41.0;-165.0;-382.0;-1;17.0;-340.0;144.0;-51.0;119.0;-261.0;128.0
-43.0;-186.0;-408.0;7;-11.0;-370.0;177.0;0.0;155.0;-291.0;112.0
16.0;-195.0;-421.0;5;-21.0;-389.0;197.0;21.0;163.0;-306.0;142.0
-22.0;-184.0;-403.0;-9;5.0;-372.0;174.0;-9.0;151.0;-281.0;208.0
-12.0;-173.0;-390.0;9;17.0;-375.0;173.0;-13.0;135.0;-274.0;179.0
43.0;-160.0;-380.0;0;22.0;-362.0;160.0;36.0;127.0;-258.0;172.0
59.0;-160.0;-380.0;3;23.0;-360.0;159.0;4.0;126.0;-257.0;146.0
46.0;-159.0;-378.0;-4;24.0;-351.0;150.0;-16.0;125.0;-254.0;163.0
56.0;-164.0;-388.0;-1;37.0;-355.0;152.0;-42.0;111.0;-253.0;160.0
-33.0;-172.0;-394.0;-4;33.0;-359.0;160.0;-16.0;116.0;-253.0;164.0
5.0;-170.0;-394.0;2;34.0;-358.0;158.0;-26.0;115.0;-254.0;176.0
37.0;-170.0;-394.0;-2;34.0;-358.0;158.0;-15.0;115.0;-253.0;154.0
-7.0;-168.0;-391.0;0;36.0;-354.0;152.0;33.0;114.0;-250.0;159.0
-16.0;-165.0;-388.0;-1;38.0;-349.0;146.0;27.0;110.0;-247.0;184.0
-15.0;-165.0;-387.0;-2;40.0;-343.0;142.0;-25.0;107.0;-246.0;175.0
25.0;-159.0;-383.0;1;24.0;-352.0;157.0;-15.0;120.0;-255.0;163.0
43.0;-170.0;-390.0;3;-23.0;-372.0;185.0;-25.0;175.0;-304.0;113.0
-28.0;-190.0;-414.0;-1;-40.0;-402.0;216.0;30.0;191.0;-304.0;178.0
-26.0;-187.0;-411.0;6;-37.0;-398.0;210.0;17.0;189.0;-302.0;158.0
12.0;-188.0;-410.0;1;-33.0;-394.0;207.0;-102.0;187.0;-301.0;165.0
-25.0;-185.0;-410.0;1;-36.0;-395.0;208.0;40.0;187.0;-301.0;161.0
1.0;-186.0;-411.0;0;-34.0;-392.0;205.0;5.0;186.0;-303.0;173.0
-16.0;-137.0;-356.0;-3;26.0;-330.0;133.0;13.0;114.0;-256.0;135.0
233.0;12.0;-186.0;6;154.0;-184.0;-33.0;241.0;-41.0;-127.0;266.0
435.0;50.0;-115.0;1;237.0;-93.0;-136.0;154.0;-138.0;-19.0;368.0
-550.0;118.0;0.0;1;314.0;223.0;-387.0;104.0;-201.0;58.0;297.0
-379.0;162.0;21.0;-1;310.0;226.0;-392.0;156.0;-213.0;51.0;249.0
234.0;181.0;-11.0;416;318.0;156.0;-329.0;63.0;-258.0;18.0;-22.0
288.0;174.0;-13.0;400;327.0;140.0;-319.0;-4.0;-269.0;19.0;14.0
222.0;164.0;-18.0;418;336.0;122.0;-305.0;0.0;-277.0;19.0;1.0
-291.0;111.0;-29.0;263;325.0;-11.0;-217.0;-295.0;-277.0;-22.0;374.0
-153.0;126.0;-37.0;137;295.0;-10.0;-215.0;-545.0;-243.0;-30.0;198.0
23.0;-121.0;62.0;-236;414.0;-185.0;-258.0;257.0;-578.0;295.0;332.0
20.0;-277.0;-417.0;13;-140.0;-376.0;263.0;-538.0;317.0;-493.0;346.0
138.0;-314.0;-455.0;1;-129.0;-421.0;309.0;-645.0;292.0;-504.0;351.0
292.0;-131.0;46.0;-221;404.0;-190.0;-243.0;315.0;-564.0;284.0;307.0
-81.0;-560.0;-500.0;-201;-209.0;-420.0;416.0;422.0;343.0;-530.0;64.0
55.0;392.0;297.0;9;-7.0;250.0;-130.0;32.0;63.0;153.0;430.0
116.0;394.0;305.0;3;8.0;254.0;-156.0;-66.0;44.0;159.0;245.0
-432.0;-445.0;-492.0;-5;-255.0;-468.0;511.0;55.0;266.0;-312.0;195.0
298.0;303.0;233.0;2;50.0;504.0;-382.0;-134.0;-130.0;334.0;318.0
271.0;318.0;252.0;-10;36.0;510.0;-366.0;-245.0;-113.0;300.0;384.0
-25.0;272.0;260.0;68;3.0;517.0;-221.0;267.0;-78.0;251.0;-70.0
119.0;140.0;248.0;-295;-144.0;18.0;168.0;41.0;-9.0;260.0;45.0
162.0;488.0;472.0;7;57.0;233.0;-45.0;-43.0;-140.0;339.0;452.0
431.0;-60.0;-200.0;90;-394.0;-585.0;603.0;315.0;657.0;-236.0;42.0
148.0;401.0;587.0;-1;20.0;363.0;-193.0;-52.0;-154.0;-10.0;155.0
23.0;398.0;599.0;6;23.0;371.0;-200.0;-14.0;-156.0;-11.0;141.0
214.0;193.0;104.0;23;-206.0;237.0;103.0;204.0;340.0;-15.0;452.0
191.0;275.0;147.0;9;-76.0;272.0;-54.0;211.0;176.0;78.0;177.0
-111.0;281.0;166.0;225;-56.0;291.0;-90.0;375.0;145.0;101.0;262.0
33.0;398.0;603.0;5;24.0;375.0;-205.0;3.0;-157.0;-10.0;135.0
153.0;467.0;349.0;19;174.0;319.0;-330.0;283.0;-163.0;365.0;170.0
29.0;301.0;359.0;143;257.0;356.0;-426.0;-55.0;-260.0;421.0;375.0
32.0;397.0;604.0;-1;26.0;379.0;-210.0;-2.0;-159.0;-10.0;157.0
202.0;-378.0;-309.0;133;-583.0;-426.0;633.0;-238.0;571.0;-494.0;-78.0
-16.0;397.0;610.0;2;23.0;379.0;-208.0;17.0;-161.0;-14.0;145.0
363.0;50.0;-100.0;-95;-580.0;-382.0;623.0;-8.0;574.0;-493.0;336.0
108.0;134.0;-86.0;-20;-546.0;-538.0;726.0;72.0;557.0;-450.0;348.0
495.0;-85.0;76.0;-277;-238.0;116.0;146.0;-454.0;189.0;4.0;251.0
-34.0;86.0;-164.0;-1;-558.0;-573.0;731.0;167.0;562.0;-465.0;195.0
717.0;-102.0;-192.0;-590;-406.0;-121.0;496.0;636.0;666.0;-303.0;37.0
-142.0;111.0;407.0;336;149.0;357.0;-212.0;-8.0;-246.0;335.0;328.0
