InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;Accelerometer BACK accX
-173.0;82.0;-177.0;1190;137.0;-311.0;109.0;-331.0;-71.0;-70.0;272.0
-17.0;-180.0;-349.0;1;-171.0;-599.0;648.0;-48.0;345.0;-375.0;33.0
320.0;-295.0;-343.0;-69;-76.0;-282.0;69.0;-83.0;152.0;-206.0;16.0
-12.0;-384.0;-471.0;-2;-143.0;-56.0;257.0;130.0;325.0;-85.0;-66.0
-185.0;-293.0;-356.0;2;-3.0;-256.0;31.0;-109.0;101.0;-167.0;202.0
126.0;-350.0;-477.0;0;-253.0;-503.0;430.0;119.0;375.0;-611.0;619.0
-205.0;-133.0;-392.0;1;68.0;-282.0;96.0;30.0;16.0;-300.0;270.0
138.0;-414.0;-366.0;-6;-42.0;-386.0;235.0;-186.0;125.0;-337.0;396.0
-285.0;-268.0;-308.0;-147;104.0;-253.0;7.0;-52.0;-87.0;59.0;148.0
591.0;-359.0;-356.0;22;3.0;-328.0;136.0;114.0;139.0;-107.0;166.0
73.0;-137.0;-356.0;-3;-20.0;-548.0;250.0;10.0;14.0;-37.0;209.0
338.0;-10.0;-285.0;3;56.0;-256.0;94.0;173.0;5.0;-186.0;309.0
295.0;-255.0;-605.0;0;649.0;-598.0;-69.0;37.0;-604.0;-461.0;48.0
61.0;66.0;-183.0;-44;157.0;-205.0;-5.0;-519.0;-51.0;-131.0;84.0
-1109.0;-155.0;-344.0;13;195.0;-64.0;-131.0;29.0;-74.0;128.0;309.0
11.0;196.0;39.0;275;393.0;82.0;-400.0;106.0;-288.0;187.0;200.0
-330.0;-104.0;-317.0;-94;162.0;-85.0;-58.0;-239.0;-108.0;-241.0;-25.0
182.0;2.0;-224.0;3;63.0;-236.0;74.0;-14.0;-7.0;-106.0;327.0
121.0;-71.0;-308.0;227;98.0;-167.0;2.0;-26.0;-11.0;-283.0;89.0
277.0;155.0;392.0;-15;52.0;459.0;-287.0;139.0;-239.0;359.0;348.0
-71.0;200.0;84.0;-1621;373.0;152.0;-347.0;138.0;-261.0;256.0;263.0
-146.0;-42.0;-279.0;-49;121.0;-248.0;55.0;26.0;-4.0;-235.0;208.0
-54.0;-31.0;-280.0;77;96.0;-219.0;35.0;120.0;19.0;-260.0;105.0
-256.0;22.0;-194.0;348;139.0;-139.0;-94.0;426.0;0.0;-99.0;-129.0
-212.0;-81.0;-348.0;7;83.0;-227.0;53.0;-79.0;27.0;-273.0;70.0
-96.0;-35.0;-282.0;16;48.0;-255.0;72.0;-61.0;39.0;-281.0;36.0
-75.0;-35.0;-288.0;40;30.0;-283.0;98.0;-82.0;49.0;-291.0;43.0
-45.0;-45.0;-298.0;28;12.0;-282.0;107.0;-7.0;75.0;-294.0;13.0
-74.0;-47.0;-301.0;27;6.0;-292.0;118.0;-3.0;77.0;-298.0;18.0
-4.0;-36.0;-301.0;111;2.0;-320.0;140.0;-77.0;70.0;-301.0;69.0
-63.0;-44.0;-310.0;0;214.0;-566.0;225.0;128.0;-220.0;-257.0;266.0
42.0;-76.0;-354.0;-7;28.0;-391.0;192.0;74.0;57.0;-275.0;173.0
-354.0;-302.0;-182.0;796;-474.0;-378.0;584.0;248.0;434.0;-406.0;114.0
795.0;-394.0;-479.0;22;-244.0;-567.0;551.0;153.0;363.0;-334.0;222.0
243.0;-91.0;-361.0;-33;-6.0;-388.0;203.0;-42.0;109.0;-291.0;227.0
-163.0;-276.0;-426.0;6;-6.0;-360.0;184.0;18.0;102.0;-234.0;273.0
-162.0;-4.0;-212.0;-6;105.0;-226.0;58.0;30.0;-20.0;-115.0;322.0
-767.0;207.0;413.0;7;84.0;128.0;-386.0;-118.0;-405.0;230.0;159.0
508.0;558.0;568.0;-27;580.0;667.0;-809.0;142.0;-696.0;668.0;322.0
-101.0;-67.0;-348.0;2;141.0;-368.0;110.0;-39.0;39.0;-254.0;33.0
-203.0;437.0;520.0;-11;587.0;607.0;-759.0;-5.0;-619.0;686.0;240.0
83.0;-30.0;-337.0;-3;99.0;-261.0;32.0;57.0;36.0;-258.0;184.0
-230.0;-54.0;-354.0;0;56.0;-297.0;87.0;-3.0;64.0;-254.0;188.0
-76.0;-42.0;-345.0;5;59.0;-295.0;89.0;4.0;56.0;-255.0;194.0
112.0;-51.0;-347.0;-2;66.0;-298.0;98.0;-39.0;55.0;-251.0;144.0
-33.0;-105.0;-257.0;-1;63.0;-252.0;85.0;6.0;17.0;-179.0;315.0
-81.0;-355.0;-455.0;4;-127.0;-94.0;273.0;83.0;351.0;-76.0;-315.0
