InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;Accelerometer RUA_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RUA magneticZ;Accelerometer LH accX;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA gyroZ;Accelerometer RKN_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4
-11;174.0;785.0;11;245.0;43.0;577.0;-7;467.0;277.0;-653.0;-64.0;-49.0
-59;412.0;920.0;59;644.0;427.0;825.0;0;608.0;-35.0;-345.0;-38.0;-58.0
-133;497.0;490.0;133;787.0;29.0;666.0;42;174.0;-75.0;66.0;-303.0;4.0
-896;207.0;649.0;896;751.0;-184.0;422.0;222;185.0;-875.0;-2.0;601.0;-796.0
-15;935.0;278.0;15;564.0;296.0;213.0;0;-187.0;-13.0;-102.0;3.0;966.0
-155;660.0;511.0;155;720.0;-76.0;576.0;40;43.0;83.0;172.0;-100.0;69.0
-56;208.0;317.0;56;273.0;-462.0;292.0;12;235.0;-68.0;-171.0;302.0;-315.0
-2128;137.0;339.0;2128;292.0;-468.0;463.0;60;254.0;-230.0;-48.0;326.0;-319.0
408;220.0;462.0;-408;303.0;-519.0;359.0;-186;83.0;-173.0;87.0;401.0;-424.0
101;411.0;54.0;-101;290.0;17.0;303.0;23;12.0;426.0;3.0;498.0;-742.0
-33;589.0;451.0;33;578.0;47.0;355.0;6;148.0;-202.0;29.0;-311.0;-1.0
355;846.0;514.0;-355;265.0;-81.0;594.0;238;289.0;447.0;-722.0;38.0;155.0
-166;237.0;235.0;166;180.0;-503.0;293.0;-49;148.0;75.0;-111.0;300.0;-336.0
-27;257.0;228.0;27;209.0;-476.0;370.0;-182;143.0;103.0;-137.0;254.0;-271.0
132;320.0;203.0;-132;215.0;-481.0;334.0;27;-125.0;81.0;-328.0;297.0;-254.0
-3;294.0;221.0;3;257.0;-433.0;474.0;-39;237.0;-44.0;-46.0;309.0;-235.0
