Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;Accelerometer BACK accZ;Accelerometer HIP accZ;InertialMeasurementUnit RLA accZ
-77.0;497.0;-178;-319.0;319.0;75.0
-9.0;?;?;-362.0;339.0;341.0
-41.0;345.0;-179;-381.0;?;435.0
-105.0;307.0;-178;-310.0;286.0;387.0
-147.0;257.0;-178;-305.0;316.0;327.0
-87.0;200.0;-178;-370.0;288.0;?
-63.0;239.0;-178;?;291.0;376.0
121.0;327.0;-178;?;294.0;343.0
232.0;444.0;-179;-337.0;?;?
-520.0;243.0;?;-106.0;402.0;?
-622.0;68.0;?;-130.0;416.0;?
-932.0;-112.0;-178;?;390.0;539.0
-869.0;-146.0;-178;-159.0;386.0;672.0
?;-184.0;?;-124.0;384.0;?
-695.0;-186.0;-179;-130.0;?;1079.0
-570.0;-108.0;-178;-204.0;419.0;1091.0
-413.0;26.0;-178;?;?;974.0
-373.0;?;?;-42.0;411.0;863.0
-232.0;?;-178;-3.0;364.0;812.0
-148.0;331.0;-178;-64.0;396.0;690.0
?;?;?;-185.0;425.0;647.0
-128.0;370.0;-178;?;399.0;645.0
-209.0;375.0;?;-276.0;402.0;585.0
-164.0;367.0;-178;-329.0;372.0;604.0
-94.0;352.0;-178;-220.0;344.0;651.0
138.0;335.0;-178;-176.0;?;?
305.0;273.0;?;-423.0;374.0;566.0
443.0;245.0;-178;?;346.0;371.0
140.0;327.0;?;-281.0;?;?
-72.0;?;-178;-420.0;329.0;?
-160.0;?;?;-391.0;340.0;-122.0
-166.0;470.0;-178;-411.0;?;?
-152.0;418.0;?;-337.0;?;?
-228.0;?;-178;?;334.0;350.0
-293.0;104.0;-178;-341.0;?;?
-270.0;?;-178;-355.0;375.0;385.0
-291.0;42.0;-178;-353.0;302.0;435.0
-222.0;?;-178;-366.0;?;567.0
?;132.0;-178;?;338.0;579.0
85.0;301.0;-178;-389.0;316.0;?
157.0;437.0;-178;-369.0;336.0;381.0
-435.0;178.0;-178;-163.0;418.0;468.0
?;?;-178;-126.0;406.0;?
-616.0;99.0;-178;-117.0;?;483.0
-839.0;?;?;-150.0;425.0;524.0
