Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer LUA^ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit RLA magneticX;Accelerometer RKN^ accX;Accelerometer RWR accY;InertialMeasurementUnit LLA magneticY;Accelerometer BACK accY
?;-569.0;-3.0;335.0;-625.0;945.0;-579.0;171.0;?;529.0;855.0
1207.0;?;93.0;?;-823.0;1286.0;?;?;-1099.0;?;?
?;-263.0;176.0;261.0;-1082.0;1301.0;?;180.0;-1040.0;575.0;?
1084.0;-307.0;?;361.0;-929.0;1165.0;-625.0;171.0;-968.0;585.0;955.0
?;-432.0;250.0;350.0;-830.0;1074.0;-626.0;188.0;-906.0;?;991.0
1005.0;-432.0;282.0;?;-750.0;?;-628.0;?;-1057.0;?;1018.0
?;?;246.0;271.0;?;935.0;-622.0;215.0;-1194.0;?;921.0
1137.0;?;241.0;193.0;-591.0;894.0;?;186.0;?;552.0;874.0
1174.0;?;211.0;?;?;1069.0;-601.0;181.0;-1109.0;524.0;?
1036.0;-291.0;114.0;431.0;-696.0;970.0;?;149.0;-820.0;-196.0;953.0
?;-290.0;?;299.0;-689.0;925.0;-148.0;153.0;?;-196.0;997.0
1153.0;-316.0;272.0;486.0;-611.0;862.0;-150.0;?;-683.0;-192.0;969.0
?;-389.0;346.0;399.0;-499.0;801.0;-146.0;161.0;-660.0;-188.0;973.0
1064.0;-455.0;364.0;322.0;?;?;-140.0;167.0;-699.0;-180.0;989.0
1076.0;-486.0;?;379.0;?;?;-132.0;225.0;-692.0;-173.0;?
1064.0;-484.0;348.0;471.0;-140.0;622.0;?;226.0;-658.0;?;1059.0
1001.0;-483.0;354.0;619.0;-159.0;631.0;-151.0;195.0;-769.0;?;1012.0
965.0;-481.0;370.0;708.0;-234.0;?;-170.0;?;-840.0;-127.0;1069.0
1044.0;-489.0;360.0;792.0;-241.0;?;-205.0;?;-859.0;-97.0;1025.0
1036.0;-483.0;?;860.0;?;717.0;-247.0;199.0;-860.0;-52.0;1018.0
1041.0;-509.0;427.0;732.0;?;798.0;-306.0;?;-864.0;-2.0;?
1048.0;-552.0;405.0;643.0;-479.0;799.0;-355.0;153.0;-852.0;48.0;970.0
980.0;-551.0;450.0;518.0;-506.0;831.0;-392.0;141.0;-834.0;106.0;987.0
