Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass
-63.0;-219.0;272.0;-431.0;-255.0;74;-7
?;-271.0;244.0;-438.0;-99.0;74;?
-126.0;-314.0;?;?;3.0;74;-7
?;-272.0;206.0;-437.0;-19.0;74;-7
-67.0;-211.0;206.0;-437.0;-146.0;74;?
-266.0;-197.0;212.0;-440.0;?;?;-7
?;-167.0;226.0;-441.0;-18.0;74;-7
?;-318.0;242.0;-441.0;-37.0;74;?
-528.0;?;268.0;-437.0;?;?;-7
764.0;?;?;-406.0;458.0;74;-7
?;277.0;?;?;?;74;-7
628.0;?;446.0;-408.0;519.0;74;-7
468.0;?;460.0;-411.0;568.0;74;-7
283.0;?;?;-409.0;739.0;74;-7
277.0;338.0;?;-411.0;879.0;74;?
183.0;174.0;526.0;-411.0;949.0;?;-7
116.0;-112.0;?;?;951.0;74;-7
80.0;-232.0;586.0;?;860.0;74;-7
23.0;-292.0;614.0;-403.0;630.0;74;?
-48.0;-268.0;629.0;-407.0;329.0;74;-7
-120.0;-195.0;635.0;?;219.0;?;-7
?;?;630.0;?;214.0;?;-7
-148.0;-229.0;610.0;-415.0;113.0;74;-7
-191.0;?;583.0;-419.0;41.0;74;?
-188.0;-345.0;547.0;-426.0;8.0;74;-7
?;-378.0;?;-430.0;-51.0;74;-7
-139.0;-298.0;?;?;-197.0;74;-7
-48.0;-387.0;?;-433.0;-153.0;74;?
-35.0;-299.0;345.0;-432.0;-161.0;74;-7
61.0;-269.0;303.0;-431.0;-189.0;74;-7
124.0;-287.0;?;-432.0;?;74;?
158.0;-269.0;?;?;?;?;-7
115.0;?;222.0;?;-8.0;?;-7
?;-113.0;215.0;-430.0;48.0;74;-7
?;-138.0;214.0;-435.0;97.0;74;?
?;-132.0;218.0;-436.0;?;74;-7
-339.0;-159.0;226.0;?;258.0;74;-7
?;-253.0;237.0;?;225.0;74;?
-411.0;-448.0;249.0;-432.0;149.0;74;-7
-295.0;-555.0;259.0;-429.0;67.0;?;-7
