InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
5.0;10.0;-8.0;12;-50.0;716;12;-16.0;-3.0
-7.0;3.0;-6.0;-41;-26.0;636;-41;1.0;8.0
-29.0;66.0;11.0;-24;-8.0;717;-24;30.0;-58.0
-32.0;1.0;22.0;-12;-26.0;637;-12;32.0;28.0
-2.0;15.0;0.0;-23;-40.0;635;-23;1.0;6.0
-10.0;32.0;24.0;-1;-33.0;630;-1;5.0;4.0
-3.0;1.0;-10.0;-38;-40.0;635;-38;7.0;29.0
1.0;-5.0;20.0;-23;-31.0;636;-23;20.0;10.0
7.0;19.0;4.0;3;-14.0;641;3;-11.0;5.0
-3.0;35.0;-13.0;-24;-11.0;635;-24;-13.0;-25.0
-9.0;-33.0;-36.0;-21;-7.0;641;-21;22.0;5.0
-6.0;-15.0;-9.0;-22;-14.0;631;-22;27.0;-9.0
-10.0;32.0;-39.0;17;-24.0;631;17;22.0;3.0
18.0;47.0;-44.0;4;-52.0;638;4;-35.0;-36.0
-50.0;-9.0;-10.0;20;-65.0;644;20;-1.0;9.0
-58.0;42.0;-22.0;1;-49.0;641;1;-50.0;-19.0
-51.0;-5.0;-18.0;-13;-10.0;643;-13;1.0;-7.0
16.0;23.0;-30.0;-2;-14.0;642;-2;65.0;-5.0
5.0;34.0;-1.0;0;1.0;643;0;-10.0;10.0
-7.0;8.0;27.0;-9;-20.0;642;-9;20.0;-22.0
-9.0;20.0;16.0;9;23.0;645;9;8.0;-6.0
-24.0;33.0;-36.0;7;43.0;639;7;-24.0;-21.0
-22.0;43.0;6.0;-13;4.0;648;-13;30.0;-12.0
-25.0;60.0;16.0;-9;-16.0;642;-9;9.0;8.0
-12.0;0.0;-30.0;-12;-31.0;633;-12;-22.0;-34.0
-14.0;9.0;-36.0;1;6.0;635;1;-22.0;39.0
10.0;-1.0;6.0;-7;24.0;733;-7;24.0;31.0
3.0;-10.0;-36.0;-25;28.0;733;-25;11.0;-43.0
1.0;-11.0;-33.0;-26;-21.0;736;-26;52.0;-67.0
-20.0;7.0;-22.0;-22;11.0;734;-22;-2.0;-35.0
-3.0;52.0;-28.0;-33;3.0;734;-33;-51.0;-58.0
-19.0;21.0;-36.0;-8;-27.0;635;-8;-53.0;2.0
-16.0;32.0;-43.0;-3;-21.0;734;-3;41.0;-62.0
19.0;25.0;-43.0;-6;8.0;731;-6;0.0;-55.0
20.0;32.0;-28.0;-29;-36.0;648;-29;-18.0;14.0
-29.0;20.0;6.0;-26;15.0;650;-26;-4.0;-30.0
0.0;4.0;-36.0;-31;-69.0;647;-31;-48.0;-55.0
-13.0;-5.0;-29.0;-3;-22.0;736;-3;-7.0;-27.0
-9.0;5.0;-10.0;-4;-19.0;654;-4;-29.0;-109.0
-29.0;15.0;-22.0;1;-39.0;650;1;-23.0;-84.0
-22.0;62.0;-13.0;4;-20.0;736;4;-25.0;24.0
10.0;55.0;-12.0;-2;-9.0;641;-2;-51.0;4.0
-28.0;16.0;-1.0;-6;-11.0;732;-6;-17.0;-7.0
5.0;89.0;-11.0;8;-1.0;649;8;-25.0;3.0
16.0;53.0;-30.0;5;-26.0;644;5;-44.0;22.0
-15.0;-19.0;3.0;-2;-12.0;650;-2;1.0;-76.0
-34.0;5.0;-11.0;6;-6.0;648;6;13.0;26.0
-19.0;-10.0;-19.0;-1;-43.0;644;-1;70.0;1.0
-38.0;24.0;-13.0;31;33.0;648;31;5.0;-7.0
