InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;Accelerometer RUA_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RUA magneticZ;Accelerometer LH accX;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA gyroZ;Accelerometer RKN_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4
2;184.0;1102.0;-2;878.0;-338.0;1124.0;-8;344.0;738.0;-335.0;-186.0;116.0
-9;148.0;839.0;9;518.0;-181.0;209.0;77;746.0;1319.0;-427.0;415.0;-570.0
-32;892.0;674.0;32;726.0;-60.0;1073.0;10;248.0;172.0;59.0;-71.0;78.0
-200;144.0;342.0;200;294.0;-483.0;426.0;9;213.0;-393.0;-129.0;330.0;-325.0
4;825.0;602.0;-4;575.0;-52.0;590.0;29;60.0;-110.0;-149.0;-80.0;75.0
-155;660.0;511.0;155;720.0;-76.0;576.0;40;43.0;83.0;172.0;-100.0;69.0
-56;208.0;317.0;56;273.0;-462.0;292.0;12;235.0;-68.0;-171.0;302.0;-315.0
-166;237.0;235.0;166;180.0;-503.0;293.0;-49;148.0;75.0;-111.0;300.0;-336.0
199;218.0;234.0;-199;238.0;-514.0;387.0;-32;115.0;52.0;-143.0;311.0;-342.0
14;227.0;144.0;-14;296.0;-537.0;282.0;-2;18.0;71.0;-6.0;382.0;-359.0
18;213.0;909.0;-18;740.0;-649.0;488.0;2;141.0;483.0;9.0;465.0;-529.0
8;519.0;542.0;-8;446.0;-148.0;326.0;839;200.0;-99.0;41.0;221.0;-94.0
-120;235.0;231.0;120;197.0;-472.0;307.0;-53;136.0;56.0;-46.0;270.0;-275.0
-27;257.0;228.0;27;209.0;-476.0;370.0;-182;143.0;103.0;-137.0;254.0;-271.0
132;320.0;203.0;-132;215.0;-481.0;334.0;27;-125.0;81.0;-328.0;297.0;-254.0
-3;294.0;221.0;3;257.0;-433.0;474.0;-39;237.0;-44.0;-46.0;309.0;-235.0
13;59.0;319.0;-13;243.0;-461.0;755.0;-1;200.0;94.0;-172.0;362.0;-314.0
36;25.0;301.0;-36;258.0;-494.0;597.0;7;208.0;-96.0;-191.0;411.0;-339.0
7;78.0;274.0;-7;242.0;-495.0;471.0;-3;181.0;217.0;-137.0;404.0;-338.0
-36;132.0;323.0;36;318.0;-448.0;254.0;1;210.0;-300.0;-175.0;339.0;-294.0
-6;133.0;247.0;6;300.0;-463.0;176.0;-1;126.0;93.0;-189.0;345.0;-299.0
-7;64.0;300.0;7;292.0;-449.0;370.0;-6;288.0;-395.0;-137.0;336.0;-294.0
2;103.0;271.0;-2;228.0;-471.0;349.0;-9;187.0;27.0;-118.0;345.0;-300.0
-945;125.0;81.0;945;641.0;-540.0;207.0;-89;134.0;1270.0;60.0;573.0;-582.0
24;131.0;486.0;-24;571.0;-421.0;325.0;-1;244.0;-138.0;-156.0;314.0;-283.0
15;120.0;419.0;-15;468.0;-437.0;330.0;0;256.0;-701.0;-132.0;320.0;-294.0
6;122.0;265.0;-6;302.0;-467.0;233.0;1;187.0;-559.0;-127.0;337.0;-317.0
-20;115.0;260.0;20;243.0;-511.0;325.0;-2;216.0;544.0;-111.0;369.0;-348.0
-18;80.0;266.0;18;303.0;-489.0;264.0;-8;176.0;-135.0;-120.0;380.0;-334.0
-17;111.0;278.0;17;295.0;-472.0;358.0;-7;210.0;79.0;-103.0;374.0;-317.0
-7;88.0;252.0;7;282.0;-448.0;370.0;-3;206.0;112.0;-103.0;358.0;-293.0
5;113.0;291.0;-5;312.0;-394.0;322.0;-3;228.0;-226.0;-130.0;325.0;-269.0
0;115.0;282.0;0;271.0;-356.0;362.0;0;219.0;-62.0;-93.0;305.0;-246.0
24;112.0;292.0;-24;269.0;-341.0;339.0;-6;250.0;-249.0;-119.0;297.0;-238.0
24;106.0;300.0;-24;342.0;-337.0;308.0;-4;232.0;-268.0;-118.0;296.0;-236.0
-7;88.0;310.0;7;318.0;-340.0;340.0;0;251.0;-60.0;-114.0;308.0;-240.0
-35;70.0;298.0;35;310.0;-398.0;323.0;2;239.0;-27.0;-109.0;336.0;-267.0
-13;59.0;313.0;13;322.0;-396.0;359.0;0;246.0;-22.0;-89.0;337.0;-267.0
-26;68.0;319.0;26;331.0;-395.0;364.0;3;244.0;40.0;-88.0;338.0;-267.0
5;83.0;290.0;-5;304.0;-389.0;325.0;-2;220.0;76.0;-109.0;336.0;-261.0
22;110.0;244.0;-22;276.0;-403.0;380.0;-3;182.0;39.0;-105.0;331.0;-272.0
2;107.0;269.0;-2;291.0;-402.0;256.0;11;221.0;73.0;-100.0;333.0;-275.0
-26;178.0;281.0;26;347.0;-368.0;230.0;-3;186.0;-173.0;-108.0;304.0;-253.0
-15;176.0;226.0;15;244.0;-353.0;220.0;8;186.0;155.0;-134.0;290.0;-234.0
-21;177.0;252.0;21;255.0;-350.0;289.0;1;181.0;94.0;-108.0;290.0;-231.0
2;150.0;286.0;-2;304.0;-328.0;350.0;-2;226.0;-38.0;-119.0;289.0;-218.0
-14;135.0;314.0;14;329.0;-318.0;340.0;0;253.0;-52.0;-88.0;289.0;-214.0
15;140.0;255.0;-15;258.0;-336.0;351.0;-6;201.0;-6.0;-121.0;292.0;-223.0
