InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA_ accZ
-168;280.0;-613.0;-152;-779.0;93.0;-58.0;701.0;-706.0;769;137.0
-135;620.0;-643.0;-143;-298.0;183.0;493.0;575.0;-631.0;48;272.0
-159;284.0;-214.0;116;-726.0;85.0;310.0;190.0;-650.0;795;74.0
-159;241.0;-198.0;116;-727.0;66.0;320.0;173.0;-641.0;794;89.0
-132;541.0;-571.0;-177;-679.0;258.0;452.0;680.0;-542.0;810;404.0
-159;202.0;-182.0;116;-733.0;261.0;325.0;208.0;-652.0;798;448.0
-134;595.0;-673.0;-143;-253.0;492.0;526.0;603.0;-799.0;38;811.0
-178;575.0;-443.0;-108;-477.0;87.0;171.0;540.0;-317.0;793;94.0
-158;91.0;-643.0;106;-760.0;242.0;258.0;733.0;-732.0;794;116.0
-171;493.0;-384.0;-99;-395.0;61.0;75.0;475.0;-197.0;1166;-85.0
-156;215.0;-192.0;-85;-84.0;89.0;-270.0;269.0;78.0;790;-238.0
-160;105.0;-654.0;101;-746.0;170.0;280.0;712.0;-714.0;807;102.0
-160;101.0;-647.0;101;-753.0;151.0;281.0;700.0;-711.0;791;78.0
-160;97.0;-645.0;102;-755.0;142.0;279.0;696.0;-710.0;797;93.0
-160;117.0;-636.0;103;-766.0;212.0;246.0;708.0;-717.0;797;121.0
-160;79.0;-638.0;107;-760.0;188.0;216.0;696.0;-724.0;807;52.0
-160;106.0;-638.0;107;-759.0;138.0;179.0;719.0;-730.0;796;12.0
-160;116.0;-631.0;107;-764.0;151.0;183.0;693.0;-720.0;799;28.0
-159;67.0;-619.0;105;-775.0;154.0;182.0;678.0;-717.0;794;69.0
-159;140.0;-638.0;106;-764.0;249.0;234.0;714.0;-730.0;803;90.0
-160;157.0;-635.0;105;-765.0;232.0;240.0;711.0;-726.0;805;96.0
