Accelerometer LUA^ accY;InertialMeasurementUnit LUA magneticX;Accelerometer RKN^ accY;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit R-SHOE EuY
218.0;684.0;?;?;?;?;-223.0;60.0;-308.0;-24
169.0;694.0;1033.0;13.0;391.0;848.0;?;415.0;-332.0;-24
?;701.0;?;7.0;?;931.0;?;455.0;-221.0;-24
152.0;?;1025.0;15.0;?;1017.0;-499.0;185.0;?;-24
169.0;698.0;1040.0;1.0;?;?;?;114.0;-226.0;-24
131.0;703.0;1036.0;?;371.0;1219.0;?;335.0;?;-24
104.0;703.0;1006.0;-5.0;392.0;1210.0;?;442.0;-344.0;-24
76.0;700.0;1037.0;11.0;?;1068.0;-159.0;354.0;-326.0;?
193.0;691.0;?;?;426.0;1072.0;-151.0;770.0;?;-24
?;-210.0;1036.0;?;-163.0;1033.0;?;-819.0;-191.0;-24
32.0;-207.0;?;-42.0;-154.0;893.0;-70.0;-1166.0;-183.0;-24
30.0;-204.0;?;-33.0;-152.0;1007.0;63.0;-1225.0;-182.0;-24
?;?;991.0;-9.0;-147.0;967.0;219.0;-1215.0;-211.0;-24
113.0;-192.0;1032.0;-7.0;?;1005.0;397.0;-1079.0;-264.0;-24
91.0;?;1057.0;-2.0;-119.0;972.0;516.0;?;-270.0;-24
53.0;?;1022.0;-16.0;-91.0;941.0;?;?;?;?
43.0;-94.0;958.0;-50.0;-50.0;892.0;344.0;-316.0;-393.0;-24
3.0;-38.0;?;-37.0;?;850.0;228.0;-70.0;-389.0;-24
-50.0;30.0;1016.0;17.0;74.0;?;27.0;-41.0;-441.0;-24
39.0;104.0;1020.0;15.0;150.0;?;-39.0;?;-407.0;-24
116.0;?;1024.0;-18.0;?;?;?;?;-300.0;?
144.0;?;1050.0;?;281.0;863.0;-25.0;-88.0;-366.0;?
248.0;323.0;1032.0;-23.0;322.0;918.0;-41.0;-186.0;-463.0;-24
?;390.0;1041.0;?;352.0;909.0;-98.0;151.0;-513.0;-24
68.0;450.0;1011.0;-40.0;?;841.0;-167.0;287.0;-453.0;-24
173.0;507.0;1020.0;-10.0;376.0;874.0;-230.0;371.0;-482.0;?
190.0;556.0;1015.0;?;377.0;911.0;-228.0;524.0;-470.0;-24
244.0;595.0;1049.0;?;383.0;867.0;-178.0;1479.0;?;-24
218.0;632.0;998.0;-15.0;?;824.0;-171.0;?;-429.0;-24
256.0;662.0;1017.0;-14.0;376.0;782.0;-197.0;395.0;-480.0;-24
202.0;?;1054.0;-16.0;?;?;-224.0;?;-332.0;-24
196.0;?;1028.0;-13.0;365.0;750.0;-371.0;145.0;-184.0;-24
242.0;711.0;1049.0;-20.0;370.0;772.0;-524.0;-224.0;-205.0;?
253.0;?;1041.0;-22.0;366.0;902.0;-463.0;18.0;-209.0;-24
166.0;?;1007.0;-10.0;?;1059.0;-298.0;320.0;-276.0;-24
185.0;712.0;1024.0;-30.0;379.0;1297.0;-103.0;391.0;-381.0;-24
126.0;712.0;1040.0;-48.0;388.0;1374.0;120.0;219.0;-388.0;-24
119.0;716.0;1025.0;-51.0;402.0;?;?;398.0;-434.0;?
206.0;714.0;1019.0;-31.0;416.0;1068.0;145.0;730.0;-403.0;-24
226.0;710.0;?;-40.0;422.0;989.0;-101.0;649.0;-342.0;-24
222.0;?;1031.0;-10.0;435.0;871.0;-324.0;770.0;-350.0;-24
69.0;?;1026.0;-1.0;-185.0;1051.0;-30.0;-370.0;-245.0;-24
115.0;-209.0;1041.0;-11.0;-170.0;718.0;-85.0;-775.0;-234.0;?
?;?;1011.0;-2.0;-166.0;995.0;-40.0;-1091.0;-245.0;-24
118.0;-205.0;?;26.0;-168.0;896.0;58.0;-1087.0;-247.0;-24
155.0;-201.0;1051.0;-13.0;-159.0;1007.0;?;-989.0;-262.0;-24
153.0;-189.0;?;2.0;-144.0;?;283.0;?;-303.0;?
119.0;-173.0;1042.0;-3.0;-116.0;?;367.0;-768.0;-302.0;?
91.0;-144.0;?;?;-90.0;944.0;409.0;-704.0;-356.0;-24
119.0;-107.0;1020.0;-10.0;-63.0;944.0;374.0;-633.0;-407.0;-24
82.0;-55.0;1031.0;21.0;?;871.0;300.0;-451.0;-424.0;-24
?;9.0;1020.0;38.0;45.0;782.0;216.0;-410.0;-451.0;-24
100.0;88.0;?;?;116.0;780.0;?;-226.0;-451.0;?
114.0;166.0;1018.0;-20.0;178.0;875.0;72.0;-74.0;-501.0;-24
144.0;241.0;1029.0;-3.0;232.0;855.0;-14.0;46.0;-514.0;?
163.0;317.0;1033.0;10.0;281.0;890.0;?;?;-567.0;?
?;390.0;1027.0;17.0;324.0;?;-131.0;328.0;-554.0;?
?;462.0;1034.0;30.0;354.0;843.0;-191.0;?;-533.0;-24
270.0;520.0;1022.0;12.0;?;857.0;-217.0;308.0;-545.0;-24
265.0;566.0;1027.0;10.0;392.0;?;-238.0;?;-509.0;-24
267.0;609.0;1018.0;10.0;399.0;812.0;-265.0;1458.0;-473.0;-24
289.0;644.0;?;5.0;?;800.0;-266.0;303.0;-421.0;?
271.0;?;?;-10.0;?;795.0;?;289.0;-331.0;-24
?;691.0;1034.0;-2.0;402.0;751.0;-222.0;2.0;-161.0;?
?;701.0;1021.0;8.0;409.0;817.0;-357.0;144.0;-294.0;?
215.0;707.0;1021.0;?;403.0;872.0;?;108.0;-204.0;-24
135.0;?;?;?;393.0;1044.0;-286.0;79.0;-227.0;-24
134.0;703.0;?;9.0;?;1197.0;?;140.0;?;-24
163.0;703.0;1041.0;3.0;397.0;1300.0;77.0;344.0;?;-24
66.0;708.0;1029.0;32.0;400.0;1200.0;62.0;520.0;-321.0;-24
147.0;?;1032.0;14.0;405.0;1084.0;?;852.0;-321.0;-24
?;704.0;1044.0;12.0;414.0;981.0;-284.0;?;?;-24
?;-191.0;1036.0;-13.0;-122.0;1037.0;161.0;-610.0;?;-24
46.0;-174.0;1048.0;-17.0;-110.0;?;?;-394.0;-401.0;-24
135.0;-146.0;1013.0;-43.0;-95.0;972.0;356.0;-483.0;-481.0;-24
141.0;-101.0;1028.0;-12.0;-82.0;874.0;335.0;-411.0;-508.0;-24
149.0;-40.0;1032.0;0.0;-59.0;795.0;292.0;112.0;-572.0;-24
184.0;22.0;1002.0;0.0;?;678.0;191.0;?;-708.0;?
235.0;108.0;1041.0;20.0;15.0;595.0;?;398.0;-806.0;-24
257.0;200.0;?;7.0;72.0;?;-156.0;631.0;-856.0;-24
354.0;305.0;1041.0;2.0;?;?;-283.0;756.0;?;-24
520.0;?;1062.0;10.0;257.0;541.0;-295.0;636.0;-736.0;-24
618.0;445.0;993.0;8.0;?;?;-126.0;780.0;?;-24
798.0;504.0;?;?;425.0;?;52.0;?;-929.0;-24
725.0;549.0;?;-42.0;492.0;998.0;14.0;669.0;-907.0;-24
524.0;?;1038.0;-1.0;544.0;863.0;87.0;510.0;-1039.0;-24
