InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
297.0;368.0;16;536.0;-521.0;753.0;-370.0;-785.0;-154.0
782.0;204.0;65;478.0;734.0;121.0;529.0;-814.0;-443.0
514.0;-158.0;-56;493.0;263.0;385.0;74.0;-50.0;395.0
491.0;-104.0;-3;439.0;303.0;255.0;95.0;-89.0;393.0
485.0;-91.0;12;425.0;312.0;205.0;102.0;-97.0;387.0
363.0;16.0;-1;588.0;-370.0;779.0;-169.0;638.0;313.0
457.0;16.0;67;288.0;362.0;231.0;173.0;-177.0;304.0
371.0;189.0;63;105.0;457.0;177.0;281.0;-317.0;140.0
348.0;264.0;62;3.0;517.0;146.0;313.0;-396.0;39.0
344.0;314.0;53;-63.0;555.0;330.0;330.0;-433.0;-13.0
1148.0;163.0;6;980.0;656.0;-225.0;451.0;-756.0;-187.0
875.0;-568.0;24;790.0;-21.0;60.0;152.0;265.0;271.0
587.0;-654.0;-221;663.0;-263.0;-368.0;-325.0;775.0;-115.0
254.0;33.0;132;866.0;-739.0;75.0;-565.0;844.0;-978.0
833.0;-442.0;128;677.0;-166.0;506.0;8.0;226.0;99.0
824.0;-541.0;15;878.0;-48.0;117.0;116.0;189.0;64.0
781.0;-223.0;186;150.0;696.0;913.0;622.0;-746.0;-246.0
672.0;-231.0;-96;149.0;755.0;147.0;580.0;-665.0;-303.0
727.0;-254.0;-100;222.0;732.0;31.0;572.0;-621.0;-249.0
737.0;-273.0;-99;238.0;728.0;68.0;571.0;-613.0;-240.0
773.0;-323.0;-99;278.0;714.0;296.0;571.0;-579.0;-197.0
800.0;-355.0;-117;290.0;708.0;698.0;567.0;-553.0;-168.0
892.0;-666.0;14;803.0;9.0;-123.0;283.0;-136.0;283.0
470.0;-485.0;-134;714.0;63.0;-124.0;-60.0;38.0;558.0
417.0;-266.0;-43;592.0;-139.0;-52.0;-22.0;-10.0;532.0
569.0;-408.0;-37;698.0;-16.0;-334.0;73.0;-57.0;415.0
223.0;215.0;16;511.0;-590.0;17.0;-332.0;549.0;22.0
-455.0;469.0;57;136.0;-682.0;20.0;-647.0;368.0;-380.0
362.0;106.0;-109;84.0;755.0;343.0;573.0;-868.0;-140.0
351.0;141.0;-118;67.0;763.0;430.0;577.0;-862.0;-163.0
350.0;163.0;-119;56.0;767.0;504.0;578.0;-857.0;-177.0
914.0;-652.0;-10;566.0;369.0;-120.0;454.0;-257.0;63.0
201.0;-545.0;-178;528.0;466.0;343.0;490.0;-515.0;-762.0
358.0;-553.0;-175;580.0;516.0;125.0;501.0;-730.0;-740.0
227.0;392.0;71;275.0;773.0;-49.0;501.0;-755.0;-500.0
742.0;-499.0;-38;981.0;105.0;88.0;189.0;-236.0;348.0
747.0;-490.0;-38;979.0;101.0;79.0;185.0;-252.0;334.0
722.0;-605.0;-37;978.0;59.0;-321.0;215.0;44.0;404.0
221.0;395.0;71;285.0;771.0;57.0;509.0;-767.0;-513.0
212.0;400.0;71;309.0;768.0;96.0;516.0;-780.0;-516.0
555.0;-358.0;-106;756.0;-50.0;-654.0;-97.0;92.0;434.0
207.0;409.0;71;350.0;762.0;114.0;529.0;-811.0;-527.0
204.0;412.0;71;372.0;759.0;95.0;535.0;-833.0;-535.0
455.0;18.0;144;339.0;802.0;-1467.0;596.0;847.0;-668.0
545.0;-284.0;12;17.0;737.0;318.0;399.0;-530.0;-232.0
541.0;-278.0;11;10.0;744.0;206.0;402.0;-549.0;-256.0
538.0;-271.0;12;2.0;752.0;602.0;405.0;-568.0;-280.0
145.0;415.0;71;392.0;757.0;-1.0;546.0;-858.0;-563.0
563.0;-25.0;172;208.0;820.0;196.0;546.0;-589.0;-382.0
193.0;575.0;75;105.0;735.0;-308.0;619.0;-819.0;-807.0
493.0;156.0;-180;383.0;768.0;-275.0;633.0;-827.0;-554.0
524.0;134.0;-199;445.0;770.0;-120.0;621.0;-827.0;-553.0
655.0;12.0;130;626.0;744.0;188.0;568.0;-885.0;-864.0
487.0;151.0;145;418.0;766.0;-219.0;606.0;-846.0;-591.0
558.0;186.0;131;352.0;728.0;-148.0;542.0;-851.0;-471.0
854.0;-689.0;162;797.0;116.0;258.0;301.0;-4.0;415.0
913.0;75.0;8;823.0;741.0;-1143.0;541.0;-845.0;-364.0
516.0;-85.0;30;493.0;427.0;-173.0;-24.0;-124.0;564.0
627.0;-92.0;13;451.0;361.0;178.0;-70.0;33.0;533.0
740.0;-55.0;7;368.0;316.0;-42.0;-94.0;112.0;429.0
740.0;-53.0;7;361.0;315.0;-15.0;-93.0;107.0;429.0
722.0;-43.0;6;332.0;310.0;-47.0;-86.0;85.0;457.0
704.0;-43.0;6;326.0;303.0;37.0;-86.0;70.0;481.0
698.0;-48.0;6;322.0;301.0;65.0;-83.0;29.0;484.0
685.0;-41.0;6;293.0;311.0;219.0;-79.0;-12.0;491.0
641.0;4.0;6;150.0;342.0;113.0;-63.0;-39.0;515.0
605.0;-23.0;6;231.0;379.0;-113.0;-64.0;-126.0;518.0
598.0;-13.0;6;203.0;382.0;58.0;-64.0;-146.0;522.0
937.0;-643.0;164;597.0;384.0;529.0;437.0;-408.0;-145.0
1009.0;-60.0;91;1079.0;669.0;396.0;483.0;-808.0;-553.0
718.0;-178.0;6;508.0;361.0;-409.0;-158.0;-257.0;460.0
850.0;-367.0;6;580.0;328.0;0.0;-268.0;-233.0;267.0
857.0;-363.0;6;547.0;325.0;191.0;-263.0;-238.0;254.0
853.0;-352.0;6;511.0;320.0;175.0;-251.0;-233.0;266.0
844.0;-353.0;6;476.0;317.0;34.0;-220.0;-257.0;287.0
769.0;-357.0;6;467.0;265.0;636.0;-47.0;-388.0;196.0
572.0;-325.0;8;507.0;243.0;-264.0;168.0;-373.0;246.0
543.0;-347.0;18;634.0;258.0;-35.0;203.0;-485.0;210.0
555.0;-316.0;13;710.0;247.0;184.0;180.0;-548.0;253.0
553.0;-302.0;10;726.0;239.0;111.0;168.0;-537.0;284.0
549.0;-289.0;8;740.0;237.0;79.0;159.0;-541.0;303.0
546.0;-285.0;8;748.0;237.0;112.0;157.0;-543.0;310.0
337.0;126.0;16;575.0;-498.0;468.0;-314.0;-718.0;-8.0
553.0;-251.0;1;742.0;206.0;168.0;101.0;-452.0;379.0
542.0;-489.0;-11;610.0;84.0;537.0;-46.0;-286.0;625.0
466.0;-433.0;-10;717.0;46.0;-1022.0;-28.0;-236.0;536.0
674.0;-674.0;151;865.0;-204.0;-48.0;-161.0;-167.0;620.0
1089.0;2.0;15;1099.0;680.0;-930.0;510.0;-820.0;-391.0
846.0;-539.0;-186;468.0;460.0;-798.0;451.0;-498.0;-237.0
766.0;-546.0;-176;426.0;492.0;279.0;487.0;-595.0;-308.0
45.0;173.0;-160;436.0;485.0;640.0;288.0;-513.0;127.0
17.0;307.0;-160;353.0;623.0;839.0;457.0;-641.0;-247.0
865.0;-554.0;-176;413.0;567.0;392.0;467.0;-459.0;-193.0
232.0;324.0;27;119.0;847.0;90.0;460.0;-780.0;-612.0
290.0;273.0;32;150.0;871.0;179.0;429.0;-813.0;-600.0
331.0;230.0;28;177.0;886.0;314.0;404.0;-858.0;-584.0
318.0;120.0;2;208.0;912.0;133.0;352.0;-922.0;-608.0
39.0;-44.0;3;264.0;930.0;231.0;258.0;-874.0;-673.0
20.0;-45.0;3;255.0;928.0;310.0;259.0;-867.0;-669.0
1013.0;-569.0;-174;526.0;695.0;567.0;490.0;-550.0;-112.0
3.0;-21.0;3;257.0;915.0;112.0;312.0;-900.0;-687.0
64.0;32.0;2;297.0;898.0;178.0;378.0;-901.0;-695.0
125.0;69.0;2;282.0;877.0;301.0;439.0;-870.0;-666.0
900.0;-588.0;-176;505.0;552.0;-209.0;441.0;-280.0;-135.0
396.0;60.0;128;953.0;714.0;450.0;504.0;-937.0;-1120.0
871.0;-619.0;-161;470.0;511.0;-381.0;419.0;-216.0;-29.0
690.0;-604.0;-55;992.0;279.0;131.0;299.0;34.0;427.0
570.0;85.0;-163;249.0;770.0;281.0;630.0;-889.0;-484.0
463.0;259.0;150;182.0;794.0;4.0;584.0;-856.0;-557.0
45.0;499.0;110;207.0;745.0;191.0;544.0;-809.0;-529.0
469.0;-70.0;14;782.0;645.0;-168.0;135.0;-603.0;303.0
46.0;499.0;109;203.0;744.0;136.0;544.0;-788.0;-500.0
60.0;506.0;109;218.0;734.0;-34.0;551.0;-763.0;-405.0
33.0;511.0;108;230.0;726.0;211.0;550.0;-796.0;-412.0
511.0;77.0;-26;567.0;420.0;53.0;-101.0;-382.0;631.0
481.0;47.0;-26;595.0;438.0;11.0;-109.0;-248.0;657.0
494.0;47.0;-26;612.0;444.0;127.0;-111.0;-287.0;646.0
-1.0;503.0;106;301.0;723.0;190.0;541.0;-746.0;-334.0
49.0;493.0;83;326.0;728.0;-122.0;527.0;-736.0;-331.0
108.0;440.0;103;399.0;750.0;-97.0;547.0;-775.0;-438.0
108.0;441.0;103;396.0;749.0;-19.0;550.0;-779.0;-446.0
100.0;448.0;103;385.0;749.0;-17.0;554.0;-783.0;-459.0
819.0;-280.0;-26;684.0;363.0;154.0;-277.0;-230.0;414.0
93.0;456.0;106;341.0;745.0;105.0;568.0;-795.0;-481.0
102.0;459.0;107;292.0;752.0;-22.0;576.0;-803.0;-504.0
104.0;459.0;107;283.0;752.0;-41.0;579.0;-804.0;-510.0
114.0;453.0;107;278.0;753.0;-28.0;583.0;-802.0;-517.0
516.0;-609.0;43;787.0;-11.0;-21.0;-174.0;307.0;791.0
120.0;450.0;108;291.0;755.0;-11.0;583.0;-807.0;-523.0
395.0;111.0;-153;282.0;326.0;479.0;150.0;-68.0;487.0
121.0;449.0;108;295.0;755.0;16.0;584.0;-805.0;-527.0
117.0;447.0;108;301.0;756.0;23.0;585.0;-803.0;-534.0
119.0;450.0;110;310.0;751.0;-11.0;591.0;-788.0;-539.0
148.0;441.0;110;305.0;755.0;-27.0;589.0;-788.0;-543.0
157.0;430.0;112;315.0;758.0;29.0;595.0;-792.0;-558.0
181.0;408.0;112;326.0;763.0;-103.0;607.0;-796.0;-578.0
185.0;405.0;112;325.0;763.0;-121.0;610.0;-800.0;-583.0
171.0;348.0;118;281.0;762.0;-290.0;629.0;-826.0;-628.0
157.0;317.0;119;273.0;766.0;-207.0;627.0;-820.0;-645.0
152.0;295.0;119;275.0;771.0;-115.0;622.0;-813.0;-651.0
188.0;241.0;8;-101.0;849.0;357.0;490.0;-811.0;-638.0
260.0;217.0;8;-111.0;849.0;192.0;495.0;-828.0;-636.0
358.0;166.0;8;-140.0;850.0;137.0;496.0;-822.0;-586.0
189.0;129.0;100;-269.0;946.0;47.0;310.0;-822.0;-701.0
281.0;138.0;8;-58.0;865.0;-70.0;475.0;-836.0;-617.0
280.0;139.0;8;-38.0;865.0;-13.0;476.0;-838.0;-616.0
280.0;142.0;8;-20.0;865.0;64.0;478.0;-840.0;-616.0
175.0;263.0;160;121.0;828.0;658.0;545.0;-837.0;-588.0
250.0;371.0;11;156.0;789.0;-108.0;596.0;-854.0;-642.0
476.0;291.0;-172;426.0;751.0;-184.0;588.0;-832.0;-487.0
160.0;240.0;136;295.0;801.0;169.0;584.0;-760.0;-637.0
496.0;263.0;148;422.0;747.0;404.0;572.0;-844.0;-472.0
512.0;297.0;127;234.0;726.0;277.0;560.0;-854.0;-423.0
522.0;285.0;125;284.0;718.0;269.0;555.0;-849.0;-408.0
106.0;267.0;138;66.0;818.0;-59.0;548.0;-727.0;-566.0
222.0;305.0;141;-108.0;804.0;-92.0;586.0;-860.0;-629.0
737.0;-670.0;-181;460.0;-255.0;-434.0;-292.0;137.0;279.0
231.0;276.0;141;-79.0;803.0;-58.0;590.0;-864.0;-631.0
238.0;259.0;141;-66.0;803.0;17.0;589.0;-865.0;-630.0
388.0;119.0;7;573.0;470.0;897.0;286.0;-698.0;6.0
394.0;256.0;30;545.0;560.0;589.0;348.0;-739.0;-165.0
384.0;296.0;44;640.0;657.0;1073.0;487.0;-773.0;-367.0
229.0;260.0;140;-73.0;802.0;-11.0;589.0;-864.0;-634.0
226.0;263.0;141;-72.0;801.0;-16.0;591.0;-864.0;-635.0
-222.0;634.0;33;239.0;635.0;-201.0;508.0;-692.0;-511.0
221.0;270.0;141;-84.0;798.0;14.0;593.0;-864.0;-636.0
-51.0;460.0;54;487.0;654.0;375.0;403.0;-744.0;-540.0
221.0;274.0;140;-85.0;798.0;34.0;594.0;-865.0;-636.0
217.0;276.0;141;-82.0;797.0;40.0;594.0;-865.0;-636.0
216.0;280.0;140;-85.0;797.0;40.0;595.0;-866.0;-636.0
214.0;286.0;141;-89.0;797.0;78.0;595.0;-868.0;-636.0
0.0;338.0;51;502.0;587.0;379.0;443.0;-824.0;-459.0
108.0;357.0;66;509.0;591.0;493.0;436.0;-808.0;-385.0
144.0;372.0;63;497.0;596.0;604.0;436.0;-801.0;-358.0
353.0;333.0;-85;391.0;481.0;-47.0;333.0;-769.0;71.0
478.0;-268.0;117;414.0;372.0;-391.0;225.0;-660.0;307.0
584.0;-142.0;149;551.0;335.0;56.0;146.0;-599.0;377.0
208.0;296.0;141;-98.0;795.0;101.0;599.0;-871.0;-637.0
631.0;-132.0;174;644.0;282.0;-6.0;164.0;-605.0;381.0
202.0;308.0;141;-107.0;793.0;84.0;602.0;-874.0;-636.0
662.0;-140.0;175;691.0;284.0;167.0;173.0;-581.0;380.0
181.0;322.0;141;-124.0;789.0;76.0;607.0;-878.0;-639.0
-34.0;426.0;113;296.0;773.0;38.0;466.0;-779.0;-453.0
-3.0;430.0;113;280.0;773.0;-73.0;471.0;-768.0;-471.0
47.0;427.0;113;255.0;779.0;25.0;484.0;-711.0;-505.0
50.0;429.0;113;255.0;776.0;48.0;487.0;-705.0;-502.0
73.0;462.0;113;252.0;760.0;24.0;507.0;-669.0;-454.0
691.0;-92.0;157;763.0;379.0;-52.0;238.0;-682.0;223.0
58.0;470.0;113;240.0;756.0;-53.0;512.0;-663.0;-419.0
839.0;-96.0;-10;1014.0;704.0;781.0;469.0;-760.0;-65.0
54.0;472.0;113;232.0;754.0;4.0;512.0;-666.0;-414.0
55.0;472.0;113;229.0;754.0;26.0;512.0;-667.0;-414.0
52.0;473.0;113;225.0;754.0;26.0;511.0;-667.0;-409.0
52.0;472.0;113;226.0;754.0;71.0;510.0;-666.0;-409.0
45.0;470.0;113;230.0;754.0;77.0;510.0;-661.0;-399.0
41.0;471.0;113;236.0;754.0;69.0;509.0;-657.0;-393.0
25.0;469.0;113;244.0;749.0;99.0;501.0;-636.0;-327.0
31.0;472.0;113;251.0;749.0;90.0;500.0;-627.0;-317.0
37.0;471.0;113;258.0;746.0;5.0;494.0;-609.0;-298.0
38.0;471.0;113;252.0;741.0;-8.0;492.0;-608.0;-292.0
45.0;479.0;113;252.0;736.0;-64.0;493.0;-612.0;-290.0
503.0;12.0;-71;524.0;656.0;0.0;504.0;-778.0;-182.0
921.0;66.0;49;690.0;757.0;-456.0;550.0;-841.0;-377.0
354.0;341.0;2;251.0;651.0;-486.0;460.0;-809.0;-94.0
313.0;211.0;-7;82.0;596.0;293.0;420.0;-793.0;-57.0
39.0;481.0;113;256.0;729.0;-151.0;492.0;-602.0;-292.0
37.0;484.0;113;254.0;727.0;-213.0;491.0;-597.0;-290.0
40.0;485.0;113;254.0;724.0;-159.0;491.0;-593.0;-283.0
35.0;500.0;113;222.0;726.0;-10.0;509.0;-653.0;-358.0
-270.0;500.0;139;-363.0;708.0;6.0;621.0;-530.0;-265.0
46.0;499.0;113;212.0;734.0;24.0;519.0;-684.0;-391.0
