InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
-237.0;?;?;-227.0;-683.0;687.0;?;-863.0;?
?;99.0;27;?;-672.0;532.0;?;-871.0;-660.0
?;66.0;27;-164.0;-675.0;352.0;-561.0;-875.0;-675.0
-151.0;?;27;-149.0;-672.0;?;-563.0;-875.0;-682.0
-151.0;?;27;-148.0;?;99.0;?;-870.0;-681.0
-164.0;66.0;27;-142.0;-668.0;?;-566.0;-864.0;?
?;87.0;27;?;-665.0;-4.0;-569.0;-856.0;-672.0
?;113.0;27;-166.0;?;-30.0;-570.0;?;?
?;154.0;27;-195.0;-668.0;110.0;-570.0;-836.0;?
-215.0;?;?;-678.0;-658.0;0.0;-594.0;?;-472.0
?;602.0;27;?;-657.0;21.0;-594.0;-331.0;-480.0
-231.0;603.0;27;-680.0;-657.0;-90.0;-593.0;?;-477.0
-234.0;?;27;-682.0;-657.0;-256.0;-592.0;-350.0;-462.0
-255.0;?;?;-690.0;-657.0;-351.0;-592.0;?;-455.0
?;596.0;?;?;-656.0;-404.0;-591.0;-394.0;?
-324.0;?;27;-695.0;-656.0;-349.0;-593.0;-425.0;-452.0
?;619.0;27;-702.0;-657.0;?;-593.0;-463.0;?
-396.0;628.0;27;-708.0;-657.0;-294.0;?;?;-467.0
-428.0;633.0;27;-707.0;-656.0;-261.0;-591.0;-555.0;-486.0
?;633.0;27;-696.0;?;-176.0;?;?;-509.0
-487.0;624.0;27;?;-658.0;-212.0;-586.0;?;-536.0
?;601.0;27;?;-656.0;-248.0;-583.0;-698.0;?
?;?;?;-617.0;-656.0;?;-581.0;?;?
-478.0;512.0;27;-580.0;-657.0;-124.0;-575.0;-776.0;?
-458.0;453.0;?;?;-658.0;111.0;?;-806.0;-590.0
-435.0;386.0;27;-488.0;-661.0;396.0;?;-830.0;-601.0
-403.0;323.0;27;-435.0;?;797.0;-565.0;?;?
-361.0;268.0;27;-391.0;-664.0;1123.0;-565.0;-858.0;?
-314.0;211.0;27;-339.0;-666.0;1363.0;-563.0;-862.0;-626.0
-260.0;153.0;?;?;-672.0;1557.0;-562.0;-865.0;-635.0
-212.0;?;27;?;-674.0;1560.0;?;-870.0;-646.0
-175.0;48.0;27;-196.0;?;1122.0;-572.0;?;-661.0
?;13.0;27;-165.0;?;749.0;-572.0;-882.0;?
-138.0;?;27;-138.0;-672.0;?;?;-880.0;-676.0
-143.0;-2.0;27;-128.0;-671.0;182.0;?;-875.0;-677.0
-155.0;?;27;-139.0;-670.0;75.0;-573.0;-868.0;-674.0
-171.0;40.0;27;-150.0;-669.0;-74.0;-573.0;-864.0;-674.0
-187.0;?;?;-154.0;-671.0;-184.0;-573.0;-862.0;-673.0
-199.0;70.0;27;-168.0;-675.0;-208.0;-571.0;-861.0;-673.0
-209.0;?;27;-179.0;-679.0;-193.0;-571.0;?;-672.0
