InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA_ accZ
?;238.0;-207.0;116;-708.0;?;292.0;230.0;-636.0;799;116.0
-159;?;-195.0;116;-718.0;-149.0;298.0;222.0;-637.0;797;219.0
-160;220.0;-184.0;?;?;?;301.0;211.0;?;801;315.0
-159;?;-177.0;116;-718.0;10.0;308.0;199.0;-636.0;797;326.0
-159;213.0;-176.0;116;?;?;?;192.0;?;791;311.0
-159;210.0;-182.0;116;-701.0;148.0;?;193.0;?;797;279.0
-159;210.0;-191.0;?;-693.0;175.0;311.0;194.0;-639.0;800;357.0
-159;?;?;116;-684.0;117.0;?;192.0;-642.0;796;349.0
?;211.0;-218.0;116;-674.0;54.0;316.0;196.0;?;797;333.0
-159;431.0;-658.0;?;-397.0;-33.0;372.0;582.0;-646.0;797;498.0
-159;414.0;?;116;-397.0;20.0;371.0;581.0;?;795;491.0
?;415.0;-654.0;116;?;157.0;370.0;?;-656.0;793;534.0
-159;425.0;-645.0;116;-406.0;372.0;369.0;573.0;-667.0;792;655.0
-159;426.0;-631.0;116;-417.0;448.0;368.0;561.0;-684.0;?;744.0
-160;?;-610.0;116;-436.0;396.0;366.0;545.0;-703.0;?;799.0
-159;427.0;-588.0;116;-459.0;?;?;525.0;?;798;?
-159;421.0;-567.0;116;-484.0;?;?;503.0;-734.0;792;792.0
-159;415.0;-544.0;116;-510.0;205.0;371.0;475.0;-746.0;796;735.0
?;402.0;?;116;-535.0;69.0;367.0;445.0;-753.0;797;560.0
-159;389.0;-496.0;116;-559.0;50.0;362.0;?;-757.0;?;477.0
-160;373.0;-465.0;?;-583.0;4.0;359.0;404.0;-759.0;797;419.0
-159;366.0;?;116;-606.0;?;?;381.0;-757.0;793;?
-159;368.0;-394.0;116;?;-19.0;?;349.0;-754.0;795;?
?;372.0;-357.0;116;-655.0;-44.0;?;314.0;-748.0;?;270.0
?;372.0;?;?;-677.0;-51.0;?;283.0;-739.0;793;220.0
-159;370.0;?;116;-696.0;-92.0;319.0;254.0;-727.0;797;239.0
-160;?;-266.0;?;-710.0;-33.0;314.0;?;-710.0;?;?
-159;341.0;-246.0;116;?;28.0;?;222.0;-689.0;?;193.0
-159;314.0;?;116;-724.0;144.0;311.0;?;-667.0;?;?
-159;284.0;-214.0;116;-726.0;85.0;310.0;190.0;-650.0;795;74.0
-159;241.0;-198.0;116;-727.0;66.0;320.0;173.0;-641.0;794;89.0
?;?;-186.0;?;-733.0;-134.0;329.0;178.0;?;795;?
-160;197.0;-180.0;116;-741.0;-143.0;331.0;?;?;797;191.0
-159;184.0;-179.0;?;-743.0;?;331.0;188.0;-636.0;799;314.0
?;?;-180.0;116;-740.0;40.0;330.0;189.0;-635.0;?;?
?;179.0;?;116;-732.0;?;?;187.0;-637.0;797;377.0
?;181.0;-195.0;116;-727.0;373.0;327.0;183.0;?;789;?
-159;?;-201.0;116;-725.0;?;328.0;?;-649.0;?;501.0
-160;188.0;?;116;-722.0;326.0;?;185.0;-654.0;?;506.0
?;190.0;-211.0;116;?;?;329.0;182.0;-657.0;?;531.0
-159;196.0;?;116;-703.0;64.0;329.0;179.0;-658.0;794;?
-159;444.0;-659.0;?;-397.0;89.0;373.0;616.0;-684.0;798;578.0
-159;?;?;116;-399.0;79.0;372.0;614.0;-686.0;800;568.0
-159;422.0;-659.0;116;-402.0;117.0;368.0;613.0;-688.0;?;588.0
?;435.0;?;116;-405.0;168.0;366.0;607.0;-692.0;797;562.0
-159;434.0;-648.0;?;-411.0;269.0;?;?;-699.0;799;635.0
-159;?;-635.0;?;-421.0;?;366.0;585.0;?;796;?
?;424.0;-618.0;?;?;420.0;371.0;570.0;?;797;786.0
-159;424.0;?;116;-455.0;421.0;372.0;558.0;-736.0;?;808.0
-159;424.0;-578.0;116;-477.0;433.0;?;541.0;-748.0;?;870.0
-160;?;-553.0;?;-502.0;367.0;382.0;521.0;?;797;844.0
-159;409.0;-524.0;116;-529.0;267.0;386.0;?;-769.0;791;746.0
-159;?;-489.0;116;-559.0;164.0;389.0;466.0;?;796;658.0
-159;397.0;-451.0;116;-589.0;106.0;387.0;439.0;-779.0;796;?
-159;404.0;-412.0;116;-619.0;50.0;382.0;412.0;-778.0;793;479.0
?;405.0;-374.0;?;-647.0;?;?;381.0;-772.0;801;400.0
-160;404.0;?;116;-674.0;-93.0;361.0;351.0;-762.0;799;274.0
-159;398.0;-306.0;116;-694.0;-96.0;?;325.0;-748.0;795;?
-159;?;-278.0;?;-712.0;-84.0;330.0;302.0;-731.0;?;146.0
-159;?;-255.0;116;-723.0;-85.0;321.0;286.0;?;797;68.0
-159;338.0;-235.0;?;-728.0;?;315.0;?;-693.0;797;57.0
-159;303.0;-220.0;?;-728.0;-44.0;317.0;247.0;?;795;?
-159;262.0;-205.0;?;-729.0;?;317.0;226.0;-658.0;?;66.0
-159;233.0;-190.0;116;-735.0;-43.0;?;227.0;-648.0;797;133.0
-159;217.0;-182.0;?;?;15.0;329.0;234.0;-645.0;?;206.0
?;205.0;?;116;-747.0;?;331.0;229.0;-646.0;?;291.0
-159;197.0;-172.0;116;-745.0;?;328.0;222.0;-646.0;800;382.0
?;200.0;-174.0;116;?;?;327.0;213.0;-646.0;798;406.0
-159;?;-177.0;116;-736.0;289.0;326.0;210.0;-649.0;793;454.0
-159;202.0;-182.0;116;-733.0;261.0;325.0;208.0;-652.0;798;448.0
-159;211.0;-187.0;?;-726.0;192.0;326.0;203.0;-656.0;?;445.0
-159;212.0;?;116;-712.0;77.0;325.0;200.0;-660.0;800;?
-159;436.0;-674.0;116;-419.0;192.0;331.0;587.0;-667.0;803;481.0
?;440.0;-663.0;116;?;243.0;332.0;?;-680.0;785;466.0
-159;452.0;-648.0;116;?;?;333.0;580.0;-696.0;798;472.0
-160;?;-630.0;116;-497.0;?;340.0;580.0;-712.0;?;420.0
-159;491.0;?;116;-538.0;?;345.0;587.0;-725.0;798;396.0
-159;500.0;?;?;-582.0;187.0;?;603.0;-735.0;795;348.0
-159;505.0;-582.0;116;-627.0;94.0;?;629.0;?;804;?
-159;502.0;?;116;-669.0;-15.0;341.0;661.0;-749.0;798;231.0
-159;487.0;?;116;-705.0;?;341.0;692.0;-754.0;796;98.0
-160;459.0;-560.0;116;?;-22.0;335.0;711.0;-757.0;803;2.0
-159;415.0;-562.0;?;-759.0;11.0;331.0;717.0;?;793;?
?;345.0;-567.0;116;?;-99.0;328.0;719.0;-760.0;804;-278.0
?;274.0;-573.0;116;-784.0;5.0;324.0;712.0;?;?;-241.0
-159;199.0;?;116;?;?;311.0;689.0;?;?;?
?;127.0;-588.0;116;-792.0;88.0;306.0;?;?;809;-59.0
-159;?;-585.0;116;?;145.0;298.0;645.0;-726.0;816;-103.0
?;3.0;-579.0;116;-805.0;?;290.0;636.0;-713.0;?;?
?;-50.0;-570.0;116;-811.0;236.0;283.0;635.0;-704.0;789;-91.0
-159;?;-563.0;116;-814.0;?;273.0;640.0;-696.0;794;52.0
-159;-122.0;-559.0;?;-814.0;241.0;260.0;648.0;-692.0;805;60.0
-159;-144.0;?;118;-812.0;241.0;?;658.0;?;802;?
-159;-155.0;?;?;-807.0;230.0;245.0;?;-693.0;795;80.0
-159;-158.0;-573.0;116;-802.0;267.0;239.0;677.0;-696.0;797;148.0
-159;-142.0;-581.0;115;?;332.0;241.0;686.0;-700.0;793;188.0
-159;?;-589.0;114;-795.0;326.0;243.0;693.0;?;797;182.0
?;?;-597.0;?;?;?;248.0;701.0;-708.0;805;205.0
-159;-59.0;-604.0;113;-789.0;290.0;253.0;708.0;?;792;?
-159;-25.0;-610.0;?;?;?;?;?;-715.0;789;170.0
-159;11.0;-615.0;?;?;246.0;266.0;?;-719.0;?;141.0
?;37.0;-619.0;108;-777.0;241.0;271.0;732.0;-722.0;784;117.0
?;56.0;?;?;-772.0;?;?;740.0;-724.0;787;?
-159;72.0;-630.0;108;-767.0;268.0;279.0;?;-727.0;784;97.0
-159;87.0;?;107;?;269.0;283.0;750.0;-731.0;765;108.0
?;98.0;-637.0;107;-759.0;267.0;?;753.0;-734.0;?;?
?;108.0;-640.0;107;?;255.0;280.0;?;-736.0;791;130.0
-158;116.0;?;107;-754.0;243.0;279.0;755.0;?;783;140.0
-158;119.0;-644.0;106;-753.0;230.0;?;?;-737.0;785;107.0
?;116.0;-645.0;?;-753.0;222.0;268.0;753.0;-737.0;780;?
-159;112.0;-644.0;?;-755.0;226.0;263.0;751.0;-737.0;785;69.0
-159;?;-644.0;105;-757.0;249.0;263.0;747.0;-736.0;795;106.0
-158;96.0;?;106;-758.0;?;260.0;742.0;-734.0;799;138.0
-158;91.0;-643.0;106;-760.0;242.0;258.0;733.0;-732.0;794;116.0
?;77.0;?;106;-762.0;239.0;259.0;724.0;-730.0;786;?
?;?;-639.0;106;?;244.0;?;715.0;-728.0;790;105.0
-159;51.0;-635.0;106;-768.0;248.0;259.0;?;-727.0;799;92.0
-159;40.0;-630.0;105;?;259.0;260.0;700.0;-726.0;?;107.0
-159;?;-626.0;104;?;250.0;260.0;694.0;-725.0;?;125.0
-159;?;?;?;-780.0;225.0;261.0;690.0;-724.0;795;116.0
-159;?;-617.0;?;-783.0;228.0;262.0;687.0;-724.0;800;123.0
-159;6.0;-614.0;?;-784.0;217.0;264.0;?;-723.0;798;100.0
?;?;-612.0;103;?;?;263.0;?;?;?;128.0
-159;-2.0;-610.0;?;-785.0;211.0;262.0;686.0;-725.0;801;110.0
-159;-5.0;-609.0;103;?;220.0;258.0;?;-726.0;783;79.0
?;4.0;-608.0;100;-785.0;211.0;256.0;690.0;?;?;59.0
-159;15.0;-610.0;98;-784.0;?;254.0;691.0;-730.0;818;?
-159;26.0;-613.0;99;-781.0;?;250.0;694.0;-732.0;783;74.0
-159;31.0;-615.0;?;?;258.0;241.0;698.0;-734.0;?;105.0
-159;41.0;-626.0;100;-768.0;54.0;237.0;704.0;-735.0;?;130.0
-160;?;-636.0;100;?;68.0;?;706.0;-737.0;?;?
-160;59.0;?;?;-751.0;196.0;246.0;?;-737.0;?;3.0
-160;52.0;-655.0;?;-744.0;177.0;253.0;725.0;-738.0;800;116.0
?;?;-660.0;100;-740.0;?;258.0;739.0;?;799;2.0
?;57.0;?;100;?;?;263.0;749.0;-738.0;?;27.0
-160;62.0;-665.0;100;?;122.0;?;752.0;-737.0;793;-18.0
-160;72.0;-668.0;100;-734.0;145.0;267.0;753.0;-735.0;799;-36.0
-160;88.0;-672.0;100;-731.0;222.0;267.0;754.0;-733.0;804;-17.0
?;97.0;-673.0;?;?;248.0;272.0;753.0;-732.0;794;56.0
?;108.0;?;100;-730.0;170.0;?;748.0;-730.0;?;?
-160;116.0;-671.0;100;-731.0;?;273.0;741.0;-728.0;?;?
-160;120.0;-669.0;?;-733.0;150.0;275.0;734.0;-724.0;796;60.0
?;122.0;-666.0;100;?;172.0;?;?;-721.0;805;48.0
?;120.0;-663.0;100;-739.0;175.0;276.0;?;-718.0;805;87.0
?;114.0;-658.0;?;?;181.0;279.0;718.0;-716.0;?;116.0
-160;105.0;-654.0;101;-746.0;170.0;280.0;712.0;-714.0;807;102.0
-160;101.0;-651.0;101;-750.0;?;?;706.0;-712.0;799;101.0
-160;101.0;-647.0;101;-753.0;151.0;281.0;700.0;-711.0;791;78.0
-160;97.0;-645.0;102;-755.0;142.0;279.0;696.0;-710.0;797;93.0
-160;93.0;-642.0;102;-758.0;141.0;279.0;?;-710.0;796;59.0
-160;?;?;102;?;126.0;?;688.0;-709.0;790;68.0
-160;82.0;-638.0;102;?;?;279.0;688.0;?;789;30.0
?;?;-636.0;103;-765.0;155.0;?;?;?;793;79.0
?;76.0;-635.0;103;-766.0;148.0;277.0;690.0;-707.0;799;76.0
?;77.0;-634.0;103;-768.0;129.0;277.0;693.0;?;795;50.0
-160;78.0;-633.0;?;-769.0;135.0;275.0;694.0;-707.0;797;50.0
-160;83.0;-633.0;104;-769.0;145.0;?;697.0;-708.0;800;50.0
-160;91.0;-633.0;103;?;170.0;265.0;?;-709.0;793;63.0
-160;97.0;?;?;-769.0;?;260.0;?;-711.0;800;80.0
-160;102.0;-634.0;103;-768.0;?;257.0;?;-713.0;?;85.0
-160;110.0;-634.0;?;-767.0;212.0;249.0;706.0;-716.0;794;102.0
-160;117.0;-636.0;103;-766.0;212.0;246.0;708.0;-717.0;797;121.0
-160;125.0;-637.0;?;?;210.0;244.0;708.0;-718.0;?;119.0
-160;132.0;?;104;-762.0;203.0;?;709.0;-719.0;799;97.0
-160;134.0;?;104;-760.0;186.0;236.0;709.0;-720.0;792;92.0
-160;138.0;?;?;-759.0;179.0;235.0;?;?;792;67.0
-160;137.0;-642.0;?;-759.0;183.0;?;711.0;?;801;44.0
-160;137.0;-642.0;104;-759.0;195.0;232.0;?;-724.0;802;52.0
-160;138.0;?;104;-760.0;?;231.0;714.0;-725.0;804;86.0
-160;133.0;-642.0;104;-760.0;212.0;?;714.0;?;804;84.0
?;129.0;-642.0;?;-760.0;208.0;231.0;713.0;-726.0;796;60.0
-160;124.0;-641.0;?;?;215.0;232.0;711.0;-726.0;802;90.0
-160;123.0;-641.0;?;-761.0;214.0;235.0;?;-725.0;?;?
-160;119.0;-640.0;?;-761.0;199.0;?;704.0;-724.0;?;81.0
?;114.0;-639.0;103;-762.0;188.0;236.0;701.0;-724.0;?;65.0
?;107.0;-637.0;103;-763.0;203.0;237.0;?;-724.0;798;51.0
-160;103.0;-636.0;?;-764.0;194.0;235.0;694.0;-723.0;819;80.0
-160;100.0;-634.0;106;?;?;?;?;-723.0;?;?
-160;92.0;-633.0;107;-766.0;171.0;234.0;692.0;-723.0;?;93.0
-160;85.0;-630.0;107;?;185.0;233.0;692.0;-723.0;?;?
?;75.0;-630.0;?;-766.0;148.0;226.0;694.0;-724.0;780;144.0
-160;78.0;-632.0;107;?;-19.0;227.0;694.0;?;?;-145.0
-160;?;-635.0;107;-761.0;150.0;222.0;692.0;-723.0;804;-53.0
-160;79.0;-638.0;107;-760.0;188.0;216.0;696.0;-724.0;807;52.0
?;84.0;-637.0;?;?;53.0;212.0;702.0;-727.0;800;?
-160;97.0;-636.0;107;?;-13.0;206.0;?;?;?;-14.0
-160;?;-637.0;107;-761.0;-34.0;203.0;?;-730.0;799;-116.0
-160;?;-637.0;107;-761.0;74.0;?;716.0;-730.0;799;?
-160;?;?;107;-760.0;?;188.0;722.0;-730.0;796;?
?;103.0;-638.0;107;?;264.0;181.0;724.0;-731.0;799;11.0
-160;102.0;-638.0;?;-759.0;191.0;?;722.0;-731.0;803;22.0
-160;106.0;-638.0;107;-759.0;138.0;179.0;719.0;-730.0;796;12.0
-160;?;-637.0;107;?;123.0;178.0;?;-729.0;793;-29.0
-160;116.0;-636.0;?;-759.0;133.0;179.0;?;-726.0;804;-2.0
-160;120.0;?;107;?;132.0;?;?;-723.0;800;19.0
-160;119.0;-633.0;107;?;?;182.0;697.0;?;799;11.0
-160;116.0;-631.0;107;-764.0;151.0;183.0;693.0;-720.0;799;28.0
-160;?;-629.0;106;-765.0;159.0;185.0;689.0;-719.0;?;33.0
-160;102.0;?;106;-767.0;174.0;183.0;685.0;-718.0;801;56.0
?;?;?;?;-769.0;176.0;185.0;683.0;?;798;61.0
-160;?;-623.0;105;-771.0;168.0;182.0;680.0;-717.0;798;45.0
