Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;Accelerometer BACK accZ;Accelerometer HIP accZ;InertialMeasurementUnit RLA accZ
-271.0;56.0;-177;-461.0;387.0;450.0
-169.0;57.0;-174;-599.0;398.0;502.0
-138.0;55.0;-174;-600.0;403.0;495.0
-176.0;58.0;-174;-610.0;414.0;494.0
-231.0;54.0;-174;-619.0;391.0;496.0
-147.0;63.0;-174;-599.0;420.0;501.0
-171.0;55.0;-174;-606.0;387.0;492.0
-167.0;57.0;-174;-618.0;409.0;500.0
-145.0;59.0;-174;-589.0;417.0;496.0
-186.0;75.0;-174;-590.0;405.0;498.0
-147.0;64.0;-174;-588.0;411.0;497.0
-133.0;67.0;-174;-591.0;409.0;502.0
-167.0;58.0;-174;-602.0;424.0;504.0
-308.0;-30.0;-167;-705.0;328.0;456.0
-185.0;90.0;-174;-611.0;397.0;519.0
-271.0;39.0;-174;-490.0;434.0;449.0
-280.0;-91.0;-177;-584.0;339.0;495.0
-172.0;54.0;-174;-601.0;393.0;500.0
-347.0;97.0;-177;-589.0;385.0;653.0
-157.0;29.0;-174;-610.0;385.0;496.0
-186.0;38.0;-174;-629.0;385.0;501.0
-197.0;20.0;-174;-641.0;400.0;506.0
-187.0;48.0;-174;-640.0;433.0;516.0
-343.0;-47.0;-142;-526.0;409.0;466.0
-36.0;-15.0;-177;-557.0;391.0;545.0
-255.0;-32.0;-214;-593.0;281.0;494.0
-151.0;-215.0;-145;-695.0;350.0;644.0
-236.0;4.0;-174;-650.0;-27.0;601.0
-241.0;77.0;-171;-480.0;317.0;549.0
-271.0;189.0;-176;-828.0;215.0;631.0
-249.0;77.0;-183;-710.0;298.0;461.0
-335.0;48.0;-167;-480.0;309.0;327.0
60.0;124.0;-176;-554.0;399.0;262.0
-291.0;-29.0;-177;-471.0;329.0;526.0
-294.0;-32.0;-150;-449.0;359.0;449.0
-329.0;7.0;-176;-464.0;304.0;494.0
-359.0;57.0;-182;-481.0;359.0;486.0
-276.0;4.0;-178;-460.0;295.0;607.0
-252.0;-35.0;-161;-505.0;278.0;420.0
-52.0;-73.0;-177;-533.0;290.0;497.0
-305.0;-72.0;179;-703.0;311.0;437.0
-316.0;-60.0;-177;-522.0;370.0;505.0
-285.0;-18.0;-174;-471.0;376.0;572.0
-279.0;120.0;-175;-654.0;327.0;603.0
-368.0;-31.0;-202;-560.0;333.0;465.0
-399.0;-124.0;-178;-554.0;217.0;730.0
-306.0;-4.0;-178;-531.0;363.0;428.0
-318.0;-60.0;-178;-534.0;395.0;525.0
-362.0;-27.0;35;-508.0;403.0;531.0
-281.0;-80.0;-178;-514.0;401.0;535.0
-311.0;-83.0;-176;-541.0;367.0;510.0
-356.0;-58.0;-176;-550.0;371.0;500.0
