InertialMeasurementUnit BACK accY;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-148.0;-61.0;9;10;765;-192.0;497.0;9;-262.0;14;-52
-250.0;-111.0;-3;18;657;-60.0;429.0;-3;-351.0;8;-42
-261.0;-126.0;-35;23;659;-74.0;424.0;-35;-360.0;11;-42
-246.0;-133.0;-14;18;659;-30.0;430.0;-14;-364.0;7;-42
-287.0;-223.0;-45;14;670;-97.0;423.0;-45;-103.0;20;-43
-200.0;-57.0;23;25;657;-53.0;400.0;23;-369.0;24;-40
-201.0;-65.0;-18;19;659;-17.0;401.0;-18;-365.0;25;-40
-188.0;-88.0;13;17;654;-75.0;458.0;13;-352.0;23;-43
-185.0;-85.0;7;20;654;-47.0;458.0;7;-359.0;28;-43
-187.0;-23.0;8;19;660;-14.0;459.0;8;-367.0;28;-43
-196.0;-212.0;28;20;658;-176.0;460.0;28;-390.0;36;-43
-74.0;-226.0;-769;-13;750;-184.0;466.0;-769;-24.0;437;-37
-198.0;-106.0;-6;18;675;-60.0;496.0;-6;-258.0;44;-42
-25.0;233.0;-213;-159;800;470.0;574.0;-213;230.0;-789;-42
62.0;372.0;-2172;1039;1981;717.0;413.0;-2172;-10.0;-964;-29
-54.0;1934.0;-2036;-420;1140;1655.0;562.0;-2036;-21.0;-273;-52
-140.0;-72.0;-56;13;756;-23.0;492.0;-56;-243.0;11;-52
-147.0;12.0;-1;18;750;35.0;502.0;-1;-336.0;2;-51
-242.0;-41.0;-31;20;652;-43.0;426.0;-31;-370.0;11;-42
-290.0;-313.0;-1583;1234;39;-274.0;491.0;-1583;-496.0;261;-63
-118.0;9.0;-12;11;760;-5.0;502.0;-12;-124.0;13;-52
-50.0;1114.0;-908;779;466;1247.0;617.0;-908;106.0;534;-70
-45.0;-8.0;-7;11;747;-35.0;577.0;-7;-244.0;23;-50
-25.0;-16.0;23;16;746;-62.0;563.0;23;-148.0;19;-50
-29.0;-68.0;0;13;750;-54.0;544.0;0;29.0;21;-50
-365.0;-65.0;22;19;669;-42.0;457.0;22;-416.0;19;-43
-211.0;40.0;-104;40;648;-116.0;500.0;-104;-484.0;31;-44
-161.0;-69.0;-16;18;669;-31.0;481.0;-16;-445.0;9;-43
-174.0;-90.0;11;20;656;-55.0;364.0;11;-374.0;11;-45
-125.0;11.0;-12;14;655;54.0;482.0;-12;-565.0;-12;-45
-248.0;853.0;-38;17;648;715.0;558.0;-38;-547.0;42;-38
-168.0;-77.0;14;23;663;-18.0;481.0;14;-459.0;10;-43
-196.0;-111.0;11;25;647;-240.0;559.0;11;-726.0;8;-39
-213.0;-1366.0;-14;9;685;-237.0;468.0;-14;-173.0;53;-46
-157.0;-82.0;-14;24;651;-43.0;532.0;-14;-862.0;19;-41
-172.0;159.0;-801;93;568;203.0;485.0;-801;-575.0;-246;-40
-338.0;-118.0;30;19;660;-45.0;467.0;30;-433.0;29;-17
-9.0;403.0;1070;-89;691;56.0;447.0;1070;-303.0;4;-45
-161.0;-30.0;-14;25;646;-23.0;366.0;-14;-396.0;-5;-41
-155.0;-37.0;-24;17;654;-10.0;363.0;-24;-373.0;-15;-41
-121.0;36.0;17;15;760;-232.0;486.0;17;-271.0;8;-52
-296.0;-300.0;-23;141;694;-363.0;568.0;-23;-534.0;29;-8
-426.0;-51.0;5;25;662;-13.0;-356.0;5;-21.0;-6;-39
-292.0;-1102.0;786;12;570;-974.0;506.0;786;-533.0;101;-49
-364.0;-225.0;25;16;667;-71.0;471.0;25;-458.0;27;-17
-23.0;-25.0;22;12;740;16.0;588.0;22;-219.0;20;-50
-154.0;-39.0;-39;17;652;-34.0;362.0;-39;-364.0;-3;-41
-520.0;-361.0;19;17;662;22.0;195.0;19;33.0;9;-43
84.0;-129.0;355;-73;830;-68.0;482.0;355;-306.0;-148;-45
-199.0;-37.0;6;14;661;-17.0;399.0;6;-376.0;22;-40
-417.0;204.0;42;16;654;211.0;484.0;42;-146.0;10;-46
-154.0;-68.0;9;19;653;-22.0;363.0;9;-363.0;-9;-41
-155.0;-39.0;5;20;658;-51.0;366.0;5;-369.0;1;-41
-151.0;-64.0;-16;16;651;-28.0;365.0;-16;-374.0;-2;-41
-202.0;-35.0;-5;23;654;-15.0;400.0;-5;-377.0;24;-40
-84.0;208.0;-5;4;658;276.0;448.0;-5;-394.0;56;-38
-143.0;83.0;-65;18;654;-560.0;528.0;-65;-667.0;8;-39
-202.0;-173.0;5;19;657;-199.0;410.0;5;-412.0;22;-40
-62.0;-77.0;2;14;741;-38.0;610.0;2;-371.0;21;-50
-31.0;-82.0;-19;11;741;-31.0;606.0;-19;-186.0;18;-50
-254.0;-873.0;-516;-60;683;-854.0;967.0;-516;-757.0;102;-49
