Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RWR accZ;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
648.0;527.0;-343.0;946.0;966.0;391.0;-826.0;-538.0;162.0
67.0;934.0;-198.0;737.0;806.0;639.0;-927.0;-465.0;82.0
389.0;915.0;-171.0;821.0;968.0;754.0;-969.0;-443.0;404.0
449.0;974.0;-136.0;862.0;967.0;813.0;-939.0;-406.0;452.0
386.0;942.0;-260.0;858.0;978.0;661.0;-956.0;-311.0;374.0
372.0;971.0;-209.0;859.0;986.0;733.0;-970.0;-348.0;378.0
363.0;968.0;-225.0;888.0;1035.0;603.0;-930.0;-350.0;367.0
223.0;981.0;46.0;952.0;1025.0;827.0;-984.0;-160.0;305.0
380.0;952.0;-216.0;862.0;1005.0;581.0;-939.0;-324.0;392.0
395.0;950.0;-223.0;864.0;1005.0;574.0;-941.0;-338.0;435.0
-58.0;1027.0;540.0;980.0;1021.0;581.0;-988.0;101.0;71.0
400.0;950.0;-220.0;854.0;991.0;544.0;-957.0;-327.0;369.0
339.0;970.0;-174.0;881.0;986.0;716.0;-960.0;-303.0;356.0
413.0;957.0;-160.0;797.0;1017.0;606.0;-916.0;-241.0;380.0
509.0;1132.0;-244.0;1020.0;1337.0;536.0;-856.0;-267.0;506.0
378.0;980.0;-225.0;871.0;1051.0;582.0;-996.0;-399.0;505.0
337.0;934.0;-115.0;898.0;1004.0;930.0;-964.0;-253.0;377.0
378.0;926.0;-229.0;823.0;1005.0;599.0;-915.0;-424.0;439.0
590.0;774.0;-166.0;676.0;948.0;440.0;-782.0;-710.0;532.0
410.0;936.0;-178.0;849.0;1007.0;555.0;-961.0;-310.0;406.0
337.0;779.0;-189.0;871.0;940.0;547.0;-950.0;-355.0;463.0
384.0;955.0;-214.0;857.0;986.0;514.0;-961.0;-318.0;373.0
388.0;951.0;-215.0;853.0;984.0;436.0;-953.0;-352.0;396.0
420.0;920.0;-283.0;811.0;943.0;581.0;-949.0;-378.0;404.0
336.0;1007.0;-192.0;913.0;1047.0;518.0;-931.0;-369.0;405.0
303.0;967.0;-170.0;965.0;1112.0;579.0;-1099.0;-441.0;412.0
516.0;680.0;-190.0;614.0;540.0;489.0;-582.0;-331.0;59.0
398.0;931.0;-166.0;868.0;1010.0;561.0;-936.0;-291.0;414.0
433.0;938.0;-192.0;865.0;969.0;597.0;-935.0;-311.0;404.0
