InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA_ accZ
-165;156.0;-230.0;-152;-377.0;104.0;21.0;498.0;-543.0;782;54.0
-169;722.0;-423.0;-47;-348.0;453.0;234.0;473.0;-220.0;785;403.0
-174;351.0;-223.0;-79;-222.0;228.0;-121.0;188.0;-66.0;786;210.0
-172;375.0;-229.0;-84;-295.0;232.0;-62.0;174.0;-89.0;795;188.0
-170;560.0;-221.0;-79;-626.0;-41.0;-112.0;259.0;-494.0;778;-219.0
-158;-230.0;-245.0;-60;-541.0;176.0;-559.0;310.0;-648.0;-663;-55.0
-160;403.0;-169.0;-32;-106.0;159.0;-78.0;40.0;-34.0;796;159.0
-163;103.0;563.0;154;823.0;418.0;-29.0;-684.0;847.0;709;590.0
-157;564.0;-457.0;-143;-729.0;132.0;470.0;497.0;-656.0;805;-13.0
168;351.0;-132.0;72;-64.0;185.0;-257.0;-30.0;176.0;809;231.0
-156;215.0;-192.0;-85;-84.0;89.0;-270.0;269.0;78.0;790;-238.0
-170;157.0;-69.0;39;6.0;-212.0;-299.0;-73.0;182.0;348;18.0
-247;108.0;-543.0;116;-810.0;-15.0;4.0;658.0;-765.0;2841;23.0
-143;347.0;-194.0;-30;-48.0;517.0;-76.0;58.0;-270.0;642;742.0
-163;104.0;216.0;-136;18.0;233.0;-471.0;-198.0;-90.0;590;59.0
-156;-273.0;-156.0;1;-60.0;-28.0;-533.0;-64.0;-251.0;695;159.0
-156;772.0;420.0;-102;385.0;145.0;413.0;-371.0;260.0;800;63.0
-175;356.0;-231.0;-69;-160.0;2.0;-181.0;200.0;-47.0;837;198.0
-163;92.0;-68.0;-37;48.0;315.0;-431.0;35.0;201.0;798;103.0
-163;320.0;-198.0;-12;-128.0;205.0;-241.0;48.0;167.0;798;276.0
-146;216.0;-113.0;-30;12.0;251.0;-238.0;-31.0;-143.0;457;290.0
-171;599.0;-375.0;-77;-431.0;21.0;240.0;424.0;-159.0;915;-47.0
-165;409.0;-188.0;-175;-206.0;368.0;-107.0;37.0;-16.0;790;92.0
-174;68.0;14.0;76;-80.0;86.0;-552.0;177.0;-249.0;729;64.0
-166;317.0;-182.0;-57;-35.0;158.0;-151.0;125.0;107.0;798;129.0
-159;-253.0;54.0;-49;-25.0;-24.0;-497.0;328.0;-258.0;4726;-4.0
171;430.0;-212.0;-34;-104.0;187.0;113.0;88.0;-59.0;842;217.0
-165;363.0;-181.0;67;-237.0;71.0;-128.0;140.0;-58.0;234;116.0
-132;409.0;-267.0;-46;-102.0;195.0;96.0;187.0;0.0;762;44.0
-161;-177.0;-85.0;1;-221.0;126.0;-641.0;36.0;-397.0;801;-65.0
-160;117.0;-636.0;103;-766.0;212.0;246.0;708.0;-717.0;797;121.0
-159;255.0;-628.0;99;-761.0;74.0;335.0;678.0;-676.0;808;56.0
-163;462.0;290.0;-6;232.0;243.0;56.0;-185.0;145.0;758;202.0
-128;538.0;-534.0;144;-696.0;207.0;103.0;711.0;-598.0;495;-171.0
-237;460.0;235.0;-44;272.0;-56.0;-76.0;-116.0;-12.0;-649;-72.0
-157;269.0;-164.0;-17;132.0;206.0;-293.0;177.0;-6.0;793;222.0
-115;154.0;24.0;-14;-96.0;93.0;-560.0;137.0;-286.0;776;139.0
-161;520.0;-261.0;-41;-250.0;122.0;-11.0;143.0;-101.0;798;63.0
-149;92.0;-81.0;3;-302.0;141.0;-730.0;225.0;-387.0;763;51.0
-158;-18.0;-25.0;-122;-125.0;239.0;-487.0;197.0;-157.0;799;-72.0
-158;-19.0;-42.0;-123;-165.0;215.0;-491.0;213.0;-186.0;786;-70.0
-158;-20.0;-57.0;-93;-221.0;372.0;-483.0;240.0;-219.0;789;48.0
-157;-27.0;-76.0;-24;-269.0;198.0;-441.0;263.0;-229.0;788;-61.0
-157;-24.0;-78.0;-24;-271.0;199.0;-440.0;265.0;-231.0;787;-56.0
-157;-27.0;-81.0;-24;-274.0;203.0;-440.0;270.0;-234.0;783;-45.0
-157;-38.0;-89.0;-24;-282.0;208.0;-445.0;279.0;-243.0;783;-16.0
-157;-128.0;-143.0;-24;-345.0;306.0;-472.0;374.0;-223.0;783;-65.0
-166;-292.0;-168.0;-10;-389.0;437.0;-508.0;184.0;-194.0;818;-28.0
177;-327.0;-259.0;43;-482.0;78.0;-588.0;380.0;-551.0;786;-116.0
-156;-128.0;-68.0;-14;-194.0;236.0;-538.0;120.0;-230.0;809;-156.0
-110;269.0;79.0;-50;-66.0;116.0;-427.0;-17.0;-258.0;689;66.0
-151;-147.0;-62.0;13;-363.0;174.0;-576.0;219.0;-428.0;746;149.0
-156;-98.0;-82.0;-12;14.0;-85.0;-489.0;76.0;-107.0;804;-28.0
-165;395.0;-177.0;121;-55.0;161.0;-69.0;26.0;0.0;800;132.0
-159;123.0;16.0;27;-56.0;359.0;-356.0;171.0;-207.0;759;117.0
-144;-102.0;-137.0;-20;-312.0;85.0;-485.0;363.0;-388.0;670;-102.0
-151;-474.0;-554.0;-10;-735.0;-59.0;-681.0;711.0;-603.0;792;-256.0
-163;-308.0;-278.0;27;-453.0;320.0;-535.0;228.0;-763.0;816;218.0
-156;-62.0;-148.0;-27;-311.0;178.0;-580.0;302.0;-420.0;792;112.0
-160;438.0;-193.0;-30;-152.0;330.0;-54.0;68.0;-50.0;814;106.0
-161;524.0;180.0;-40;-58.0;183.0;-291.0;-136.0;-85.0;790;130.0
-154;-29.0;-329.0;0;-552.0;341.0;-461.0;414.0;-744.0;801;130.0
