Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass
-162.0;-359.0;-113.0;283.0;8.0;27;-47
-77.0;-488.0;235.0;118.0;53.0;82;19
-169.0;-687.0;-175.0;-85.0;-313.0;94;4
-18.0;-523.0;-206.0;33.0;-82.0;88;-6
-5.0;-526.0;-216.0;38.0;-75.0;88;-6
4.0;-535.0;-215.0;34.0;-86.0;88;-6
9.0;-520.0;-217.0;37.0;-78.0;88;-6
8.0;-517.0;-215.0;37.0;-67.0;88;-6
-16.0;-496.0;-220.0;39.0;-90.0;88;-6
-24.0;-526.0;-215.0;38.0;-84.0;88;-6
-6.0;-566.0;-212.0;37.0;-76.0;88;-6
-10.0;-518.0;-218.0;37.0;-87.0;88;-6
-19.0;-529.0;-218.0;36.0;-81.0;88;-6
-14.0;-524.0;-223.0;39.0;-87.0;88;-6
-15.0;-516.0;-221.0;39.0;-91.0;88;-6
-37.0;-494.0;-235.0;45.0;-80.0;88;-6
-4.0;-518.0;-242.0;46.0;-68.0;88;-6
-372.0;-809.0;-638.0;127.0;-699.0;1;-31
-19.0;-485.0;-193.0;-3.0;-112.0;88;-5
-88.0;-486.0;226.0;119.0;64.0;82;19
-79.0;-479.0;234.0;117.0;57.0;82;19
-78.0;-479.0;179.0;121.0;68.0;82;19
-138.0;-717.0;369.0;96.0;-343.0;19;-32
-58.0;-475.0;163.0;118.0;66.0;82;19
-77.0;-481.0;154.0;120.0;63.0;82;19
-64.0;-485.0;135.0;116.0;67.0;82;19
-66.0;-499.0;118.0;121.0;68.0;82;19
-68.0;-468.0;102.0;119.0;66.0;82;19
-58.0;-480.0;97.0;116.0;62.0;82;19
-79.0;-497.0;80.0;120.0;68.0;82;19
-81.0;-459.0;67.0;118.0;63.0;82;19
-70.0;-494.0;71.0;120.0;61.0;82;19
-79.0;-514.0;78.0;120.0;56.0;82;19
-68.0;-506.0;87.0;119.0;60.0;82;18
-102.0;-501.0;90.0;99.0;49.0;82;19
-271.0;-307.0;576.0;-110.0;-62.0;82;19
9.0;-261.0;297.0;-49.0;20.0;14;-5
-107.0;-501.0;144.0;83.0;35.0;82;19
-111.0;-310.0;223.0;7.0;49.0;81;18
-101.0;-497.0;128.0;64.0;45.0;82;19
-97.0;-340.0;210.0;-29.0;122.0;81;18
-97.0;-335.0;208.0;-30.0;138.0;81;18
-110.0;-333.0;206.0;-32.0;131.0;81;18
-120.0;-338.0;208.0;-30.0;129.0;81;18
-89.0;-347.0;212.0;-30.0;139.0;81;18
-105.0;-330.0;216.0;-26.0;136.0;81;18
-122.0;-484.0;105.0;43.0;53.0;82;19
-64.0;-440.0;13.0;-37.0;124.0;98;-1
6.0;-382.0;-27.0;-27.0;125.0;96;-1
