InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;Accelerometer BACK accX
-1554.0;-266.0;-625.0;?;674.0;-673.0;-38.0;291.0;-583.0;-448.0;?
?;-271.0;?;-4;666.0;-659.0;?;236.0;-583.0;-469.0;?
-634.0;-272.0;-604.0;-4;663.0;?;-72.0;-108.0;?;-477.0;?
-228.0;-273.0;-605.0;2;?;-640.0;?;-70.0;-582.0;-477.0;65.0
60.0;-281.0;-611.0;-1;678.0;-633.0;?;28.0;-596.0;-470.0;118.0
263.0;-288.0;-619.0;-1;686.0;-629.0;-76.0;69.0;-611.0;-459.0;126.0
432.0;-297.0;-626.0;1;692.0;-629.0;-67.0;?;-620.0;-445.0;116.0
?;-306.0;?;3;699.0;-632.0;-56.0;?;-627.0;?;60.0
?;-317.0;-648.0;?;704.0;-634.0;-45.0;?;?;?;-14.0
35.0;-596.0;-556.0;-2;302.0;?;565.0;22.0;?;251.0;237.0
13.0;-592.0;-555.0;-5;304.0;-691.0;562.0;?;-246.0;?;?
85.0;-585.0;-553.0;-1;?;-696.0;563.0;39.0;?;251.0;234.0
?;?;-553.0;-2;313.0;-708.0;566.0;33.0;-245.0;247.0;?
?;?;-552.0;-9;322.0;-726.0;?;-29.0;-244.0;238.0;?
82.0;-524.0;-552.0;-3;335.0;-747.0;571.0;-42.0;-245.0;222.0;?
-87.0;?;?;1;?;?;563.0;?;-252.0;195.0;141.0
?;-479.0;-571.0;?;382.0;-792.0;547.0;?;-268.0;161.0;?
-367.0;-455.0;-584.0;-2;415.0;-812.0;?;-51.0;-292.0;?;192.0
-648.0;?;?;?;449.0;-828.0;491.0;-66.0;-322.0;67.0;160.0
-725.0;-410.0;-613.0;-6;483.0;-833.0;456.0;-73.0;-355.0;14.0;128.0
-773.0;-388.0;-623.0;-6;?;-831.0;420.0;-34.0;-382.0;?;136.0
-857.0;?;?;?;547.0;?;384.0;64.0;-408.0;-96.0;121.0
-842.0;-341.0;-630.0;1;570.0;-826.0;349.0;124.0;-430.0;-148.0;82.0
-838.0;-312.0;?;-2;589.0;-820.0;?;70.0;?;-199.0;?
-815.0;-280.0;?;-2;607.0;-810.0;265.0;79.0;-465.0;-246.0;111.0
-827.0;?;?;0;?;-793.0;219.0;79.0;?;-288.0;89.0
?;-224.0;?;-2;630.0;-769.0;?;58.0;?;-329.0;105.0
-1172.0;?;-622.0;-3;639.0;?;114.0;86.0;-521.0;-370.0;-110.0
-1378.0;-213.0;-620.0;1;648.0;-715.0;59.0;143.0;-539.0;-410.0;-21.0
-1431.0;-222.0;?;4;653.0;?;3.0;148.0;-557.0;?;40.0
-1174.0;-223.0;-601.0;2;?;-655.0;-46.0;213.0;-573.0;?;38.0
-1059.0;-218.0;-589.0;3;649.0;-631.0;?;183.0;-583.0;-492.0;16.0
-675.0;-214.0;-583.0;2;641.0;-613.0;-94.0;47.0;?;-500.0;48.0
-248.0;?;?;-2;637.0;-603.0;-99.0;39.0;-587.0;-496.0;77.0
92.0;-230.0;?;-1;640.0;-598.0;-100.0;20.0;-592.0;?;71.0
297.0;-242.0;-607.0;-2;648.0;-599.0;?;80.0;-599.0;-472.0;?
?;?;-610.0;-2;?;-602.0;?;44.0;-606.0;-461.0;-68.0
340.0;-264.0;-612.0;2;655.0;-606.0;-76.0;-24.0;-613.0;-450.0;6.0
277.0;-264.0;-613.0;-1;?;-611.0;-67.0;-89.0;-618.0;-442.0;28.0
212.0;-267.0;-616.0;-2;664.0;-616.0;-58.0;-100.0;-621.0;-434.0;28.0
250.0;-276.0;?;?;?;?;?;-119.0;?;-421.0;26.0
-114.0;-571.0;-541.0;3;?;-623.0;579.0;63.0;?;243.0;230.0
-19.0;-566.0;-540.0;1;273.0;-628.0;575.0;47.0;-263.0;243.0;244.0
?;-562.0;-539.0;3;276.0;-633.0;573.0;28.0;?;243.0;227.0
