Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass
132.0;-428.0;-40.0;-74.0;53.0;158;-17
92.0;-384.0;-297.0;90.0;43.0;141;3
-275.0;-757.0;-394.0;-77.0;-404.0;49;-14
-18.0;-523.0;-206.0;33.0;-82.0;88;-6
-5.0;-526.0;-216.0;38.0;-75.0;88;-6
-6.0;-566.0;-212.0;37.0;-76.0;88;-6
9.0;-520.0;-217.0;37.0;-78.0;88;-6
8.0;-517.0;-215.0;37.0;-67.0;88;-6
-16.0;-496.0;-220.0;39.0;-90.0;88;-6
-24.0;-526.0;-215.0;38.0;-84.0;88;-6
-270.0;-792.0;-462.0;178.0;-252.0;6;-53
-10.0;-518.0;-218.0;37.0;-87.0;88;-6
-19.0;-529.0;-218.0;36.0;-81.0;88;-6
-14.0;-524.0;-223.0;39.0;-87.0;88;-6
-15.0;-516.0;-221.0;39.0;-91.0;88;-6
-37.0;-494.0;-235.0;45.0;-80.0;88;-6
159.0;-671.0;-352.0;210.0;-65.0;24;22
-394.0;-762.0;-610.0;132.0;-675.0;1;-31
-213.0;-518.0;-384.0;-159.0;-359.0;80;1
17.0;-320.0;-231.0;-411.0;23.0;74;-7
-14.0;-286.0;-206.0;-427.0;4.0;74;-7
-112.0;-357.0;-156.0;-174.0;-70.0;-38;6
-29.0;-326.0;-89.0;-154.0;-22.0;-1;-6
61.0;-475.0;-104.0;-105.0;-90.0;75;-4
0.0;-292.0;-26.0;-306.0;-123.0;79;-1
-64.0;-485.0;135.0;116.0;67.0;82;19
-66.0;-499.0;118.0;121.0;68.0;82;19
-68.0;-468.0;102.0;119.0;66.0;82;19
-58.0;-480.0;97.0;116.0;62.0;82;19
-79.0;-497.0;80.0;120.0;68.0;82;19
-81.0;-459.0;67.0;118.0;63.0;82;19
-70.0;-494.0;71.0;120.0;61.0;82;19
-102.0;-501.0;90.0;99.0;49.0;82;19
-68.0;-506.0;87.0;119.0;60.0;82;18
-211.0;-355.0;147.0;185.0;24.0;86;18
-19.0;-172.0;-86.0;-530.0;-133.0;45;-8
-160.0;-334.0;250.0;-369.0;-260.0;87;-11
-126.0;-509.0;285.0;52.0;-23.0;83;19
62.0;-264.0;22.0;-278.0;86.0;-178;-6
-107.0;-501.0;144.0;83.0;35.0;82;19
4.0;-311.0;-129.0;-472.0;34.0;75;-7
109.0;-153.0;-27.0;-145.0;44.0;-7;-12
-58.0;-571.0;-256.0;102.0;165.0;-153;-32
42.0;-378.0;-158.0;43.0;5.0;-42;8
52.0;-548.0;-450.0;-271.0;-379.0;104;-2
23.0;-341.0;298.0;-298.0;7.0;137;-4
-122.0;-484.0;105.0;43.0;53.0;82;19
-154.0;-456.0;19.0;-184.0;151.0;119;-11
6.0;-382.0;-27.0;-27.0;125.0;96;-1
-120.0;-500.0;101.0;32.0;56.0;82;19
-87.0;-507.0;88.0;23.0;53.0;82;19
26.0;-585.0;-182.0;-83.0;49.0;129;-24
-108.0;-516.0;39.0;-28.0;46.0;82;19
-103.0;-523.0;39.0;-32.0;49.0;82;19
-202.0;-773.0;252.0;-351.0;16.0;107;-4
-151.0;-574.0;61.0;12.0;-10.0;83;19
-151.0;-561.0;133.0;32.0;7.0;83;19
11.0;-366.0;-189.0;-75.0;-31.0;119;-20
20.0;-378.0;40.0;-446.0;-13.0;75;-7
-46.0;-348.0;-364.0;67.0;-25.0;117;-93
38.0;-277.0;-92.0;87.0;22.0;118;-94
73.0;-379.0;29.0;111.0;113.0;113;-114
147.0;-156.0;-101.0;160.0;-4.0;-85;-87
127.0;-299.0;-20.0;122.0;30.0;-15;-69
-9.0;-261.0;17.0;96.0;37.0;-15;-69
81.0;-284.0;15.0;101.0;45.0;-15;-69
38.0;-281.0;23.0;100.0;42.0;-15;-70
39.0;-332.0;21.0;92.0;8.0;-15;-70
66.0;-370.0;19.0;92.0;19.0;-15;-70
48.0;-331.0;18.0;89.0;19.0;-15;-70
9.0;-555.0;-25.0;-143.0;34.0;156;-10
62.0;-348.0;23.0;91.0;21.0;-15;-70
-3.0;-292.0;244.0;8.0;-113.0;107;-62
0.0;-223.0;30.0;6.0;-76.0;71;-13
308.0;-10.0;-195.0;-85.0;-64.0;56;6
319.0;-191.0;-44.0;328.0;7.0;58;-17
48.0;-293.0;-152.0;336.0;-26.0;64;-37
-168.0;-555.0;-393.0;486.0;-408.0;-13;-136
-110.0;-522.0;-98.0;205.0;-74.0;52;-46
17.0;-488.0;-66.0;245.0;-57.0;52;-46
54.0;-341.0;21.0;88.0;19.0;-15;-70
24.0;-311.0;20.0;91.0;25.0;-15;-71
29.0;-486.0;410.0;79.0;93.0;82;19
-20.0;-488.0;43.0;6.0;78.0;83;19
-26.0;-225.0;28.0;97.0;6.0;-15;-71
50.0;-316.0;62.0;165.0;19.0;-26;-94
-20.0;-355.0;-339.0;516.0;145.0;-59;-105
57.0;-264.0;-193.0;-130.0;110.0;173;-1
56.0;-301.0;402.0;278.0;221.0;131;-56
-30.0;-494.0;-36.0;-16.0;66.0;83;18
11.0;-459.0;8.0;-30.0;114.0;83;18
13.0;-469.0;13.0;-26.0;76.0;83;18
-2.0;-493.0;28.0;-26.0;84.0;83;18
18.0;-448.0;28.0;-27.0;92.0;83;18
29.0;-491.0;29.0;-25.0;97.0;83;18
368.0;-193.0;165.0;-218.0;28.0;100;-24
-19.0;-499.0;16.0;-32.0;91.0;81;18
51.0;-130.0;157.0;-214.0;26.0;100;-26
-221.0;-377.0;-137.0;179.0;87.0;86;18
30.0;-401.0;-149.0;180.0;-41.0;128;-128
46.0;-415.0;76.0;159.0;31.0;32;-58
-115.0;-330.0;-171.0;174.0;22.0;105;3
53.0;-309.0;3.0;159.0;0.0;34;-63
-36.0;-206.0;143.0;330.0;-106.0;-148;-76
58.0;-115.0;128.0;157.0;109.0;75;6
-319.0;-487.0;-10.0;357.0;-407.0;-13;-82
107.0;-226.0;-76.0;205.0;69.0;-15;-84
-122.0;-504.0;-636.0;413.0;-133.0;27;-59
-143.0;-390.0;-364.0;305.0;10.0;100;-20
