Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer LUA^ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit RLA magneticX;Accelerometer RKN^ accX;Accelerometer RWR accY;InertialMeasurementUnit LLA magneticY;Accelerometer BACK accY
422.0;-899.0;935.0;437.0;490.0;-133.0;-286.0;284.0;246.0;475.0;883.0
99.0;-877.0;1151.0;437.0;999.0;-759.0;668.0;-80.0;864.0;-215.0;808.0
280.0;-850.0;1096.0;357.0;917.0;-739.0;889.0;434.0;692.0;207.0;766.0
239.0;-974.0;1086.0;313.0;966.0;-838.0;-17.0;191.0;744.0;440.0;843.0
185.0;-963.0;1055.0;333.0;942.0;-844.0;5.0;-54.0;767.0;418.0;824.0
124.0;-922.0;938.0;277.0;1019.0;-810.0;34.0;300.0;713.0;361.0;938.0
296.0;-955.0;1072.0;267.0;954.0;-803.0;-8.0;10.0;734.0;460.0;930.0
215.0;-961.0;1089.0;341.0;990.0;-847.0;71.0;189.0;714.0;445.0;850.0
156.0;-883.0;1222.0;334.0;834.0;-764.0;50.0;276.0;871.0;405.0;783.0
174.0;-1000.0;1067.0;365.0;1029.0;-902.0;54.0;-17.0;732.0;459.0;848.0
463.0;-1030.0;1014.0;199.0;389.0;-397.0;313.0;365.0;87.0;288.0;979.0
222.0;-961.0;1048.0;287.0;988.0;-840.0;72.0;151.0;710.0;369.0;859.0
214.0;-945.0;1042.0;321.0;953.0;-821.0;63.0;205.0;736.0;382.0;837.0
240.0;-921.0;1045.0;315.0;951.0;-799.0;60.0;149.0;749.0;393.0;829.0
237.0;-950.0;1060.0;311.0;971.0;-834.0;60.0;197.0;728.0;442.0;843.0
221.0;-954.0;1055.0;313.0;989.0;-831.0;70.0;188.0;754.0;473.0;838.0
245.0;-939.0;1008.0;309.0;968.0;-799.0;66.0;246.0;700.0;477.0;576.0
546.0;-992.0;945.0;243.0;447.0;-360.0;282.0;391.0;15.0;312.0;872.0
177.0;-909.0;1100.0;407.0;976.0;-856.0;63.0;284.0;907.0;422.0;820.0
228.0;-983.0;1071.0;389.0;988.0;-850.0;46.0;269.0;742.0;502.0;897.0
269.0;-986.0;1097.0;365.0;1000.0;-852.0;61.0;249.0;790.0;480.0;921.0
262.0;-975.0;1094.0;353.0;1006.0;-835.0;68.0;218.0;811.0;466.0;884.0
241.0;-995.0;1102.0;338.0;1065.0;-872.0;87.0;332.0;734.0;410.0;828.0
51.0;-992.0;1010.0;304.0;1008.0;-902.0;68.0;201.0;776.0;461.0;861.0
201.0;-950.0;1033.0;341.0;997.0;-845.0;74.0;250.0;734.0;495.0;786.0
179.0;-930.0;1103.0;298.0;961.0;-823.0;80.0;399.0;797.0;533.0;795.0
192.0;-951.0;1090.0;384.0;997.0;-838.0;96.0;233.0;782.0;554.0;830.0
135.0;-973.0;1100.0;430.0;958.0;-866.0;9.0;238.0;794.0;679.0;894.0
188.0;-945.0;1089.0;516.0;990.0;-827.0;92.0;110.0;791.0;344.0;917.0
244.0;-968.0;1098.0;320.0;961.0;-840.0;49.0;225.0;739.0;-287.0;908.0
266.0;-944.0;1088.0;459.0;949.0;-821.0;34.0;161.0;769.0;171.0;894.0
309.0;-922.0;1069.0;979.0;948.0;-761.0;48.0;197.0;750.0;311.0;876.0
243.0;-961.0;1075.0;309.0;958.0;-819.0;44.0;201.0;771.0;476.0;913.0
207.0;-964.0;1071.0;306.0;978.0;-838.0;48.0;233.0;750.0;468.0;907.0
241.0;-967.0;1090.0;305.0;989.0;-843.0;36.0;203.0;960.0;471.0;895.0
371.0;-1016.0;1142.0;330.0;993.0;-954.0;-16.0;200.0;692.0;480.0;877.0
263.0;-1011.0;1119.0;320.0;1014.0;-868.0;-30.0;204.0;765.0;505.0;849.0
243.0;-976.0;1081.0;323.0;996.0;-836.0;1.0;248.0;759.0;478.0;868.0
250.0;-951.0;1068.0;311.0;959.0;-815.0;-26.0;216.0;726.0;442.0;880.0
267.0;-983.0;1082.0;352.0;974.0;-831.0;1.0;215.0;761.0;455.0;865.0
235.0;-977.0;1063.0;358.0;985.0;-840.0;14.0;163.0;784.0;492.0;895.0
283.0;-971.0;1100.0;328.0;977.0;-830.0;12.0;168.0;743.0;505.0;919.0
267.0;-978.0;1052.0;334.0;998.0;-836.0;-1.0;160.0;725.0;523.0;898.0
276.0;-967.0;1077.0;340.0;957.0;-819.0;10.0;191.0;748.0;517.0;920.0
315.0;-960.0;1038.0;323.0;963.0;-812.0;-5.0;216.0;725.0;516.0;885.0
281.0;-951.0;1039.0;328.0;957.0;-804.0;-8.0;168.0;707.0;521.0;930.0
306.0;-970.0;1061.0;331.0;988.0;-824.0;3.0;204.0;769.0;530.0;932.0
265.0;-978.0;1063.0;328.0;993.0;-839.0;6.0;220.0;780.0;509.0;893.0
274.0;-962.0;1080.0;332.0;968.0;-828.0;9.0;230.0;760.0;519.0;917.0
286.0;-984.0;1090.0;314.0;983.0;-842.0;9.0;187.0;755.0;521.0;913.0
274.0;-969.0;1079.0;326.0;973.0;-831.0;8.0;229.0;748.0;523.0;909.0
244.0;-986.0;1053.0;320.0;985.0;-846.0;7.0;200.0;756.0;525.0;911.0
271.0;-954.0;1080.0;303.0;972.0;-816.0;7.0;191.0;752.0;523.0;895.0
262.0;-967.0;1060.0;303.0;972.0;-823.0;5.0;218.0;753.0;519.0;901.0
257.0;-965.0;1071.0;304.0;980.0;-826.0;9.0;189.0;756.0;516.0;904.0
256.0;-971.0;1060.0;304.0;990.0;-835.0;9.0;201.0;767.0;514.0;894.0
