InertialMeasurementUnit BACK accY;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
?;-55.0;18;22;638;431.0;533.0;?;313.0;?;-42
?;881.0;-11;21;645;764.0;?;-11;286.0;11;-42
-349.0;1089.0;20;22;?;592.0;519.0;20;268.0;5;-42
-153.0;463.0;29;21;639;-22.0;517.0;29;?;7;-42
?;-528.0;?;21;?;-363.0;517.0;?;257.0;15;-42
?;?;?;21;644;?;515.0;12;264.0;?;-42
?;-913.0;8;21;642;-359.0;513.0;8;266.0;10;-42
-201.0;-748.0;-19;?;644;-369.0;511.0;-19;265.0;16;-42
-261.0;-1147.0;9;18;644;-344.0;510.0;9;265.0;13;-42
-197.0;82.0;-49;21;646;-369.0;503.0;?;-547.0;16;-42
?;?;?;19;650;-138.0;504.0;-11;?;22;?
-223.0;32.0;-14;20;645;10.0;506.0;?;-551.0;18;-42
-228.0;471.0;-20;?;644;145.0;505.0;-20;-541.0;13;?
-217.0;949.0;26;19;650;259.0;504.0;?;-528.0;11;?
-198.0;1287.0;-1;21;?;383.0;505.0;-1;?;11;?
-192.0;1782.0;-4;13;647;-10.0;?;-4;-486.0;?;-42
-208.0;2155.0;12;15;650;-375.0;506.0;12;-446.0;18;?
?;?;0;26;642;-625.0;?;0;-397.0;18;-42
-197.0;3129.0;-13;25;641;-678.0;?;?;-338.0;13;-42
?;2854.0;8;19;647;-774.0;511.0;8;?;11;-42
?;2260.0;20;14;?;-670.0;516.0;20;-194.0;7;?
-236.0;2523.0;-17;?;648;-428.0;515.0;-17;-125.0;?;-42
-210.0;3151.0;3;14;649;?;518.0;?;-56.0;16;-42
-258.0;?;?;14;649;24.0;?;?;?;10;-42
-196.0;3096.0;?;20;644;?;522.0;-15;78.0;6;-42
-211.0;2889.0;-2;22;645;57.0;522.0;?;149.0;16;-42
-163.0;2194.0;?;18;646;?;524.0;30;209.0;9;-42
-135.0;1503.0;?;25;642;-374.0;523.0;?;?;10;-42
-185.0;?;?;21;643;-593.0;521.0;?;295.0;12;-42
-274.0;1243.0;-14;23;638;-512.0;?;-14;307.0;?;?
-123.0;895.0;-25;?;?;-415.0;518.0;-25;303.0;19;-42
-156.0;-245.0;14;?;644;468.0;514.0;14;290.0;?;-42
-249.0;?;11;22;641;952.0;512.0;11;279.0;13;-42
-216.0;44.0;7;?;639;?;512.0;7;270.0;?;-42
-166.0;-325.0;12;?;643;148.0;509.0;12;269.0;6;-42
-178.0;-530.0;-21;19;644;?;506.0;?;270.0;8;-42
-225.0;-613.0;-26;21;644;-304.0;507.0;-26;266.0;9;-42
-226.0;-771.0;-21;16;?;-182.0;506.0;-21;260.0;?;?
-144.0;-752.0;-12;15;648;-186.0;507.0;-12;254.0;11;-42
-83.0;-479.0;15;16;648;-246.0;511.0;15;250.0;9;-42
-117.0;-751.0;-23;20;?;-339.0;513.0;-23;241.0;13;-42
-198.0;8.0;?;15;642;?;504.0;-5;-530.0;8;?
-200.0;-28.0;?;19;641;-147.0;506.0;-1;-535.0;8;-42
-195.0;?;-27;21;638;-74.0;505.0;-27;-538.0;?;-42
-187.0;?;31;18;643;-56.0;505.0;31;?;5;?
?;628.0;37;23;645;?;505.0;37;-526.0;13;?
?;?;17;23;639;173.0;?;17;-515.0;15;?
-176.0;1385.0;24;18;640;164.0;503.0;24;-502.0;7;-42
-178.0;?;-2;21;?;-125.0;504.0;?;-482.0;11;-42
?;1810.0;-7;19;644;-315.0;503.0;-7;?;12;-42
-187.0;2365.0;10;14;650;-396.0;?;?;-408.0;?;-42
-208.0;?;10;15;?;-356.0;502.0;10;-354.0;15;-42
-212.0;3163.0;14;18;640;-206.0;500.0;?;-290.0;10;-42
-230.0;3145.0;?;?;639;-67.0;504.0;-2;-225.0;8;-42
-229.0;3122.0;-5;19;643;-40.0;?;-5;-154.0;15;-42
-231.0;?;11;21;640;47.0;?;?;-85.0;?;-42
-221.0;3175.0;10;?;638;?;517.0;10;-7.0;9;?
-197.0;2773.0;22;24;641;-284.0;521.0;22;71.0;9;-42
-204.0;2435.0;-5;?;638;-294.0;?;-5;?;10;-42
-171.0;1975.0;?;19;644;-455.0;531.0;-16;187.0;11;-42
-165.0;1402.0;19;20;?;-728.0;534.0;19;226.0;11;-42
-135.0;1362.0;-6;18;639;-820.0;534.0;-6;250.0;11;?
-144.0;945.0;-31;16;646;-615.0;533.0;-31;261.0;11;?
?;-154.0;2;24;642;?;?;2;259.0;15;-42
-240.0;-292.0;10;20;647;?;526.0;10;?;13;-42
-255.0;?;-4;?;648;591.0;523.0;-4;245.0;10;-42
-199.0;343.0;21;21;641;166.0;523.0;?;241.0;7;?
?;14.0;29;20;644;-179.0;520.0;29;234.0;?;?
?;-474.0;2;24;641;?;518.0;2;239.0;11;-42
-193.0;-407.0;-7;17;644;?;517.0;?;243.0;9;-42
-187.0;-363.0;?;17;?;?;516.0;-14;243.0;6;-42
-166.0;-834.0;-1;21;641;-495.0;515.0;?;241.0;11;-42
-175.0;300.0;?;22;645;?;506.0;-7;?;12;-42
-180.0;?;25;20;643;202.0;505.0;25;-555.0;?;-42
-182.0;688.0;?;16;645;443.0;502.0;?;-554.0;8;-42
?;546.0;-9;17;648;568.0;500.0;-9;-553.0;?;?
-170.0;215.0;?;21;645;?;?;?;-553.0;11;-42
-193.0;-224.0;-22;20;641;403.0;499.0;-22;-557.0;8;?
-142.0;-648.0;?;20;645;?;?;?;-570.0;9;-42
-204.0;-1365.0;11;19;648;330.0;502.0;?;-591.0;6;?
?;-1888.0;-7;19;645;507.0;501.0;-7;-620.0;12;?
-194.0;-1863.0;?;21;642;2.0;501.0;-31;-650.0;?;-42
-190.0;-1870.0;6;?;644;-689.0;499.0;6;-678.0;9;-42
?;-2399.0;-4;24;642;-1479.0;501.0;-4;-708.0;10;-42
-143.0;-2812.0;?;19;643;-1389.0;502.0;5;-733.0;10;-42
-200.0;?;?;21;638;-1169.0;?;37;-761.0;-4;?
-153.0;-2241.0;41;14;648;-1317.0;?;41;-788.0;9;-42
-125.0;-2055.0;6;16;?;-1060.0;505.0;6;?;-2;-42
-172.0;-1409.0;-10;25;631;-1205.0;508.0;-10;-838.0;-8;-42
-142.0;-779.0;85;-23;670;-962.0;509.0;85;-860.0;61;?
-124.0;-355.0;23;40;591;?;?;?;-886.0;-32;-42
?;-175.0;404;?;652;-368.0;511.0;404;-909.0;155;?
-156.0;-264.0;1072;?;?;-152.0;516.0;1072;-929.0;?;-42
-101.0;-333.0;809;11;348;-39.0;?;?;-946.0;?;-42
-75.0;49.0;?;?;255;?;517.0;216;-953.0;-127;?
-69.0;?;?;?;453;777.0;?;-99;?;?;-36
-64.0;?;-307;14;525;?;515.0;-307;-947.0;-81;-32
?;1130.0;-375;105;?;1212.0;?;?;-943.0;8;-28
-57.0;?;-358;48;732;1088.0;510.0;-358;-933.0;?;-25
?;?;-143;71;762;?;?;-143;-921.0;-132;-22
?;?;?;270;833;675.0;?;171;-905.0;-133;-19
10.0;-74.0;192;?;385;?;503.0;192;-893.0;?;-18
?;-173.0;6;-3;?;230.0;503.0;6;-884.0;-125;-17
18.0;-217.0;-84;85;262;99.0;?;-84;-875.0;-38;-15
21.0;-136.0;-82;-1;249;46.0;?;-82;-869.0;-35;?
19.0;-6.0;13;-8;?;?;?;13;-868.0;24;?
15.0;41.0;129;56;183;108.0;497.0;129;?;?;-13
?;62.0;?;16;?;100.0;?;?;?;-21;-12
?;20.0;112;105;136;60.0;500.0;112;-874.0;-57;-11
-79.0;-99.0;24;144;68;-16.0;502.0;24;-878.0;-45;-11
-92.0;-136.0;-101;18;186;23.0;504.0;-101;?;-120;-11
-61.0;-160.0;-135;26;186;59.0;505.0;?;?;-139;-11
0.0;?;?;68;97;?;508.0;-118;-887.0;51;-11
-32.0;?;-102;54;117;-86.0;510.0;-102;-889.0;?;?
-65.0;98.0;-2;73;119;?;511.0;-2;?;115;-11
-58.0;-25.0;115;47;140;-322.0;517.0;115;-892.0;86;-11
?;-167.0;153;?;139;-175.0;518.0;153;-895.0;24;-11
