InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
?;1338.0;-1854.0;44;263.0;740;44;-943.0;-431.0
458.0;1228.0;?;26;-591.0;736;?;-1134.0;-235.0
188.0;638.0;-598.0;0;79.0;738;0;-565.0;-361.0
206.0;?;-208.0;-4;-52.0;742;-4;-83.0;-238.0
?;?;242.0;12;?;736;?;198.0;?
169.0;?;583.0;?;-127.0;737;-1;178.0;456.0
200.0;-239.0;751.0;?;-49.0;?;-7;90.0;726.0
79.0;?;?;12;?;740;12;160.0;?
44.0;-346.0;1249.0;1;319.0;?;1;257.0;?
?;162.0;-130.0;17;-56.0;737;17;?;-49.0
-47.0;?;-89.0;14;?;734;14;-213.0;-53.0
?;177.0;?;47;?;?;47;?;-252.0
-74.0;413.0;-685.0;-16;-89.0;738;?;-251.0;-780.0
-46.0;663.0;?;?;-81.0;735;-15;-377.0;-1234.0
-14.0;481.0;?;39;-64.0;738;39;-319.0;-1419.0
77.0;222.0;-2127.0;-21;42.0;745;?;199.0;-1847.0
-8.0;64.0;?;-17;192.0;739;-17;526.0;-2518.0
-44.0;-30.0;-3156.0;?;-56.0;?;5;?;-2854.0
?;-195.0;-3397.0;-16;-200.0;735;-16;928.0;-3182.0
?;-191.0;-3704.0;-9;-189.0;738;-9;1092.0;-3443.0
-214.0;-132.0;-3867.0;-10;?;742;-10;973.0;-3445.0
-221.0;-133.0;-3776.0;15;-282.0;746;15;?;-3451.0
?;-14.0;?;23;-305.0;?;?;734.0;-3601.0
-349.0;-41.0;-3649.0;19;-318.0;742;19;?;-3656.0
-305.0;-133.0;-3477.0;?;-284.0;739;?;644.0;-3709.0
-323.0;?;-3170.0;?;?;736;-43;684.0;?
?;-701.0;-2896.0;-21;-114.0;740;-21;915.0;-3295.0
-162.0;-790.0;-2643.0;-15;67.0;734;-15;?;-2649.0
-250.0;?;?;-31;-29.0;738;?;992.0;?
-260.0;93.0;-2064.0;7;474.0;739;7;453.0;-936.0
129.0;699.0;-1677.0;?;?;732;?;-239.0;-1008.0
128.0;964.0;-1277.0;-22;?;?;-22;-827.0;-981.0
100.0;667.0;-607.0;?;?;740;-11;-632.0;-606.0
?;?;11.0;-10;-204.0;?;-10;-107.0;?
57.0;-165.0;?;-4;?;742;-4;159.0;480.0
45.0;-228.0;869.0;-3;-128.0;740;?;161.0;666.0
16.0;58.0;799.0;-10;-45.0;738;-10;-167.0;919.0
-96.0;?;743.0;1;?;744;?;-257.0;747.0
-215.0;98.0;?;?;293.0;742;?;-138.0;339.0
?;122.0;462.0;29;207.0;741;29;-47.0;463.0
-122.0;-27.0;623.0;15;131.0;740;15;?;774.0
-71.0;?;?;?;?;747;10;-160.0;?
-49.0;165.0;-7.0;-23;-89.0;743;-23;-163.0;-8.0
?;95.0;?;?;-103.0;742;?;?;29.0
-34.0;223.0;?;10;-97.0;744;10;-203.0;?
-15.0;?;?;-18;-19.0;734;-18;-276.0;-581.0
24.0;479.0;-734.0;-21;6.0;739;-21;?;-1032.0
103.0;?;-1144.0;-24;13.0;744;-24;-133.0;-1111.0
163.0;170.0;-1592.0;-32;62.0;?;-32;245.0;-1445.0
230.0;102.0;-2276.0;-1;?;740;-1;?;-2011.0
160.0;140.0;-2723.0;40;138.0;742;?;691.0;-2514.0
?;?;-3095.0;18;?;741;18;721.0;-2872.0
?;53.0;?;-1;?;?;-1;713.0;-3138.0
-272.0;-49.0;-3473.0;-2;-17.0;744;-2;825.0;-3297.0
-356.0;-111.0;?;-12;?;741;-12;?;-3494.0
-472.0;-118.0;-3824.0;?;?;741;15;1017.0;?
-471.0;-282.0;-3766.0;12;-458.0;738;12;980.0;-3691.0
-560.0;-369.0;-3661.0;-40;-435.0;736;?;?;-3602.0
-596.0;-382.0;?;-4;?;741;-4;998.0;-3312.0
-534.0;-256.0;-3175.0;19;-62.0;?;19;813.0;-2889.0
