InertialMeasurementUnit BACK accY;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-151.0;-72.0;-20;7;766;-135.0;506.0;-20;-329.0;7;-51
-250.0;-111.0;-3;18;657;-60.0;429.0;-3;-351.0;8;-42
-261.0;-126.0;-35;23;659;-74.0;424.0;-35;-360.0;11;-42
-246.0;-133.0;-14;18;659;-30.0;430.0;-14;-364.0;7;-42
-276.0;-125.0;5;19;655;-78.0;446.0;5;-252.0;11;-42
-200.0;-57.0;23;25;657;-53.0;400.0;23;-369.0;24;-40
-201.0;-65.0;-18;19;659;-17.0;401.0;-18;-365.0;25;-40
-188.0;-88.0;13;17;654;-75.0;458.0;13;-352.0;23;-43
-185.0;-85.0;7;20;654;-47.0;458.0;7;-359.0;28;-43
-187.0;-23.0;8;19;660;-14.0;459.0;8;-367.0;28;-43
-196.0;-164.0;-7;22;653;-137.0;460.0;-7;-394.0;24;-43
-111.0;-86.0;-61;16;710;-72.0;482.0;-61;-306.0;69;12
-198.0;-106.0;-6;18;675;-60.0;496.0;-6;-258.0;44;-42
-200.0;-74.0;-47;-13;712;-52.0;497.0;-47;-261.0;-10;-42
-140.0;-72.0;-56;13;756;-23.0;492.0;-56;-243.0;11;-52
-134.0;-28.0;-53;14;755;-24.0;493.0;-53;-239.0;10;-52
-78.0;-83.0;-31;12;763;-59.0;500.0;-31;-267.0;7;-52
-114.0;-64.0;-1;16;758;-44.0;496.0;-1;-275.0;-1;-52
-242.0;-41.0;-31;20;652;-43.0;426.0;-31;-370.0;11;-42
-188.0;-309.0;20;17;653;-8.0;366.0;20;-373.0;7;-45
-46.0;-55.0;-44;14;745;17.0;593.0;-44;-206.0;22;-50
-80.0;-58.0;4;13;749;-18.0;619.0;4;-216.0;24;-50
-69.0;-36.0;-55;14;742;-30.0;619.0;-55;-217.0;19;-50
-54.0;-58.0;-22;10;750;-47.0;580.0;-22;-217.0;22;-50
-48.0;-102.0;4;18;744;-102.0;574.0;4;-204.0;23;-50
-61.0;-213.0;10;18;740;118.0;595.0;10;-179.0;17;-50
-14.0;-63.0;10;16;743;-54.0;556.0;10;-182.0;26;-50
-57.0;-115.0;14;15;743;-83.0;547.0;14;-93.0;23;-50
-49.0;-93.0;-4;15;745;-3.0;553.0;-4;-64.0;23;-50
-29.0;-68.0;0;13;750;-54.0;544.0;0;29.0;21;-50
-255.0;-27.0;-39;17;649;11.0;424.0;-39;-385.0;2;-42
-37.0;-124.0;-13;15;743;-95.0;601.0;-13;-172.0;22;-50
-30.0;-60.0;-27;15;747;-21.0;550.0;-27;-28.0;25;-50
-31.0;-91.0;-19;13;750;-117.0;559.0;-19;-109.0;26;-50
-138.0;-30.0;-26;15;656;34.0;376.0;-26;-469.0;-4;-41
-167.0;-89.0;-26;17;654;2.0;367.0;-26;-410.0;-7;-41
-166.0;-52.0;10;16;653;13.0;368.0;10;-408.0;-8;-41
14.0;-963.0;2360;-143;1250;-1182.0;575.0;2360;-438.0;597;-38
-161.0;-30.0;-14;25;646;-23.0;366.0;-14;-396.0;-5;-41
-155.0;-37.0;-24;17;654;-10.0;363.0;-24;-373.0;-15;-41
-25.0;-16.0;23;16;746;-62.0;563.0;23;-148.0;19;-50
-237.0;-186.0;15;16;672;-165.0;500.0;15;-396.0;-7;-39
-310.0;-156.0;-4;25;665;-178.0;515.0;-4;-580.0;1;-39
-267.0;-340.0;-48;-2;654;-298.0;521.0;-48;-781.0;38;-43
-45.0;-8.0;-7;11;747;-35.0;577.0;-7;-244.0;23;-50
-125.0;11.0;-12;14;655;54.0;482.0;-12;-565.0;-12;-45
-154.0;-39.0;-39;17;652;-34.0;362.0;-39;-364.0;-3;-41
-150.0;-42.0;30;18;652;-37.0;482.0;30;-563.0;-12;-45
-153.0;62.0;-20;21;649;49.0;480.0;-20;-553.0;-2;-45
-157.0;-16.0;2;20;652;18.0;480.0;2;-565.0;-7;-45
37.0;350.0;-32;5;671;672.0;470.0;-32;-483.0;51;-43
-154.0;-68.0;9;19;653;-22.0;363.0;9;-363.0;-9;-41
-155.0;-39.0;5;20;658;-51.0;366.0;5;-369.0;1;-41
-151.0;-64.0;-16;16;651;-28.0;365.0;-16;-374.0;-2;-41
50.0;-227.0;-499;-78;862;204.0;491.0;-499;-514.0;468;-41
-44.0;-16.0;11;11;746;-47.0;577.0;11;-250.0;23;-50
-218.0;-273.0;-5;17;647;-158.0;380.0;-5;-282.0;-12;-40
-86.0;-14.0;-11;20;665;-11.0;270.0;-11;173.0;20;-40
-196.0;18.0;-59;26;656;143.0;488.0;-59;-531.0;62;-44
-393.0;-1.0;-71;18;668;261.0;569.0;-71;-547.0;37;-28
-262.0;-63.0;44;17;634;58.0;551.0;44;-374.0;-2;-10
-275.0;-98.0;-39;20;654;11.0;428.0;-39;-322.0;15;-42
-223.0;143.0;14;12;670;415.0;447.0;14;-107.0;16;-42
-294.0;-76.0;-14;15;661;-91.0;432.0;-14;-228.0;8;-42
-281.0;-163.0;-12;19;658;-226.0;442.0;-12;-261.0;10;-42
-388.0;-362.0;-24;24;667;-166.0;475.0;-24;-380.0;30;-43
-365.0;-65.0;22;19;669;-42.0;457.0;22;-416.0;19;-43
-347.0;-42.0;16;15;672;-7.0;456.0;16;-421.0;17;-43
-349.0;-109.0;31;17;675;-83.0;456.0;31;-430.0;19;-43
-269.0;27.0;-36;20;650;-88.0;529.0;-36;-511.0;14;-39
-274.0;65.0;-39;21;649;-52.0;528.0;-39;-504.0;14;-39
-280.0;-38.0;-23;24;646;-111.0;527.0;-23;-504.0;22;-39
-31.0;-31.0;1;15;741;2.0;578.0;1;-211.0;17;-50
-17.0;-119.0;-27;17;739;5.0;592.0;-27;-167.0;26;-50
-19.0;-94.0;6;12;746;-32.0;605.0;6;-244.0;22;-50
-8.0;-73.0;14;11;747;-99.0;603.0;14;-216.0;19;-50
-284.0;-13.0;-3;20;650;-72.0;527.0;-3;-499.0;20;-39
-277.0;-106.0;-35;23;652;-39.0;520.0;-35;-488.0;15;-39
-276.0;-64.0;-19;17;656;-46.0;524.0;-19;-489.0;14;-39
-276.0;-166.0;-19;19;647;19.0;520.0;-19;-505.0;16;-39
-227.0;-367.0;388;-3;868;-398.0;667.0;388;-416.0;-511;-66
-300.0;-75.0;53;24;665;25.0;534.0;53;-469.0;75;-32
-186.0;-155.0;17;15;755;-733.0;489.0;17;-311.0;9;-51
-277.0;12.0;-10;18;669;98.0;528.0;-10;-463.0;53;-33
-291.0;-117.0;42;20;660;-245.0;542.0;42;-475.0;57;-33
-186.0;-253.0;30;19;658;-280.0;347.0;30;-329.0;13;-45
-157.0;-240.0;22;16;658;54.0;359.0;22;-325.0;9;-45
-39.0;-255.0;-11;17;744;-56.0;604.0;-11;-203.0;19;-50
-57.0;-48.0;15;13;662;-81.0;470.0;15;-510.0;55;-41
-203.0;-153.0;13;16;657;-147.0;414.0;13;-416.0;19;-40
-202.0;-173.0;5;19;657;-199.0;410.0;5;-412.0;22;-40
-206.0;-125.0;-10;21;656;-180.0;407.0;-10;-408.0;20;-40
