Accelerometer RKN_ accY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;Accelerometer HIP accX;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
848.0;-19.0;21;935.0;-385.0;217;-893.0;54.0;-228.0;-26.0;135.0;-399.0;21
850.0;8.0;0;956.0;-374.0;221;-906.0;56.0;-225.0;-57.0;132.0;-424.0;0
997.0;216.0;45;900.0;-52.0;257;-964.0;478.0;226.0;62.0;878.0;512.0;45
842.0;358.0;-18;897.0;-381.0;220;-917.0;36.0;-273.0;-28.0;125.0;-392.0;-18
852.0;63.0;-4;798.0;-369.0;220;-927.0;25.0;67.0;-6.0;71.0;-414.0;-4
989.0;406.0;-16;916.0;15.0;269;-1014.0;256.0;-10.0;16.0;141.0;599.0;-16
986.0;663.0;-10;938.0;13.0;265;-795.0;542.0;340.0;-165.0;395.0;543.0;-10
835.0;57.0;7;790.0;-379.0;214;-945.0;15.0;74.0;-17.0;120.0;-370.0;7
1303.0;-351.0;-89;836.0;262.0;300;-952.0;-395.0;-442.0;19.0;188.0;-408.0;-89
991.0;-11.0;-10;977.0;17.0;276;-905.0;589.0;450.0;-28.0;351.0;692.0;-10
853.0;4.0;25;859.0;-348.0;217;-928.0;257.0;-129.0;-25.0;418.0;-327.0;25
864.0;34.0;-20;805.0;-377.0;221;-941.0;16.0;75.0;-45.0;121.0;-370.0;-20
841.0;-38.0;4;819.0;-362.0;218;-947.0;1.0;61.0;-35.0;124.0;-371.0;4
975.0;335.0;-33;923.0;-12.0;246;-991.0;-292.0;-207.0;-40.0;-631.0;-609.0;-33
1438.0;447.0;-74;679.0;-804.0;552;-1222.0;110.0;-200.0;-128.0;654.0;-19.0;-74
