Accelerometer LUA^ accY;InertialMeasurementUnit LUA magneticX;Accelerometer RKN^ accY;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit R-SHOE EuY
886.0;558.0;1013.0;29.0;-195.0;111.0;350.0;33.0;-959.0;-3
988.0;244.0;933.0;251.0;-581.0;74.0;251.0;283.0;-1014.0;-11
896.0;792.0;1031.0;119.0;-152.0;181.0;281.0;186.0;-919.0;-23
1189.0;571.0;713.0;90.0;-215.0;210.0;212.0;214.0;-829.0;-31
506.0;-779.0;324.0;891.0;-604.0;711.0;90.0;-376.0;-573.0;-73
1004.0;58.0;1012.0;141.0;-304.0;306.0;211.0;225.0;-989.0;-50
985.0;579.0;921.0;297.0;-169.0;112.0;355.0;-21.0;-968.0;-28
969.0;692.0;1002.0;394.0;-70.0;120.0;200.0;163.0;-983.0;-28
974.0;382.0;977.0;354.0;-331.0;46.0;374.0;133.0;-877.0;-25
477.0;-63.0;925.0;469.0;-302.0;-631.0;708.0;-727.0;-573.0;-35
886.0;269.0;1007.0;320.0;-4.0;305.0;187.0;14.0;-952.0;-26
981.0;360.0;1010.0;119.0;388.0;89.0;114.0;486.0;-1002.0;-27
855.0;242.0;962.0;257.0;-340.0;-326.0;439.0;671.0;-830.0;-36
929.0;592.0;1026.0;58.0;-190.0;142.0;250.0;1.0;-938.0;-29
1002.0;274.0;870.0;119.0;-60.0;273.0;341.0;-13.0;-867.0;-31
796.0;320.0;1031.0;135.0;-259.0;-153.0;599.0;96.0;-782.0;-26
931.0;220.0;1041.0;85.0;-586.0;204.0;177.0;63.0;-965.0;-31
804.0;254.0;948.0;-92.0;-100.0;56.0;322.0;80.0;-942.0;-56
844.0;458.0;959.0;190.0;-89.0;7.0;148.0;-307.0;-909.0;-22
1006.0;285.0;979.0;304.0;81.0;204.0;129.0;133.0;-967.0;-26
544.0;-73.0;878.0;376.0;-292.0;-688.0;651.0;209.0;-505.0;-24
927.0;408.0;1022.0;169.0;329.0;233.0;252.0;798.0;-904.0;-27
905.0;223.0;972.0;151.0;318.0;301.0;133.0;-343.0;-1006.0;-28
972.0;357.0;981.0;163.0;142.0;219.0;73.0;237.0;-1022.0;-26
890.0;387.0;1000.0;178.0;228.0;495.0;188.0;210.0;-951.0;-45
854.0;256.0;1010.0;50.0;225.0;284.0;317.0;403.0;-909.0;-26
927.0;367.0;934.0;406.0;98.0;-14.0;355.0;-168.0;-921.0;-25
909.0;313.0;1003.0;-59.0;348.0;265.0;215.0;148.0;-939.0;-25
744.0;282.0;970.0;119.0;23.0;-211.0;333.0;-12.0;-928.0;-62
755.0;-71.0;973.0;130.0;171.0;438.0;163.0;-114.0;-902.0;-25
799.0;-219.0;286.0;856.0;-614.0;531.0;4.0;-486.0;-853.0;-69
869.0;501.0;875.0;472.0;-205.0;190.0;220.0;-53.0;-930.0;-38
829.0;298.0;938.0;450.0;-288.0;174.0;481.0;-134.0;-862.0;-27
1032.0;365.0;1020.0;262.0;-122.0;265.0;137.0;69.0;-990.0;-41
651.0;805.0;752.0;189.0;-300.0;76.0;229.0;138.0;-734.0;-21
993.0;515.0;864.0;174.0;201.0;321.0;333.0;133.0;-841.0;-1
1028.0;861.0;1001.0;234.0;191.0;319.0;151.0;77.0;-976.0;-26
712.0;863.0;962.0;592.0;23.0;350.0;91.0;291.0;-835.0;-28
745.0;227.0;975.0;189.0;-267.0;224.0;398.0;619.0;-766.0;-17
728.0;511.0;1006.0;-209.0;-281.0;69.0;496.0;67.0;-952.0;-26
828.0;639.0;1075.0;351.0;276.0;276.0;433.0;234.0;-859.0;-32
855.0;504.0;1014.0;68.0;-121.0;295.0;302.0;215.0;-885.0;-27
853.0;504.0;1041.0;4.0;-125.0;258.0;278.0;233.0;-893.0;-27
809.0;336.0;1012.0;75.0;387.0;225.0;299.0;-204.0;-784.0;-18
884.0;485.0;1002.0;-40.0;-5.0;281.0;88.0;275.0;-1043.0;-28
