InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
19.0;-40.0;-28.0;0;-39.0;638;0;40.0;-13.0
-103.0;6.0;-129.0;3;111.0;640;3;24.0;2.0
-29.0;66.0;11.0;-24;-8.0;717;-24;30.0;-58.0
-49.0;165.0;-7.0;-23;-89.0;743;-23;-163.0;-8.0
-5.0;36.0;-25.0;10;26.0;718;10;91.0;246.0
51.0;-35.0;57.0;-27;-84.0;730;-27;77.0;-40.0
-152.0;-46.0;-186.0;32;-162.0;727;32;-200.0;-144.0
67.0;75.0;-38.0;-7;-10.0;712;-7;-141.0;-182.0
47.0;36.0;-126.0;-3;-49.0;722;-3;-39.0;-188.0
67.0;-20.0;-239.0;-20;76.0;723;-20;-24.0;-148.0
-47.0;50.0;-58.0;-1;-5.0;723;-1;31.0;75.0
20.0;-109.0;-110.0;12;83.0;724;12;53.0;-365.0
-75.0;236.0;194.0;-10;-222.0;734;-10;-216.0;79.0
-74.0;-91.0;42.0;-17;-31.0;731;-17;197.0;293.0
4.0;29.0;14.0;6;-39.0;738;6;14.0;159.0
-22.0;-49.0;127.0;8;-38.0;736;8;75.0;-298.0
13.0;-28.0;12.0;0;-95.0;735;0;-93.0;-158.0
-16.0;-4.0;95.0;-10;-112.0;732;-10;103.0;138.0
38.0;96.0;-119.0;8;-101.0;697;8;-289.0;-213.0
33.0;74.0;96.0;-18;-66.0;729;-18;-129.0;143.0
55.0;337.0;120.0;-1;54.0;737;-1;-10.0;-217.0
-18.0;-194.0;-249.0;-21;-64.0;722;-21;-53.0;6.0
-4.0;29.0;-13.0;10;-98.0;732;10;-106.0;-75.0
-209.0;28.0;-40.0;0;190.0;875;0;129.0;130.0
-14.0;-8.0;34.0;0;-4.0;733;0;7.0;95.0
94.0;-21.0;11.0;155;-123.0;929;155;-45.0;-14.0
10.0;-1.0;6.0;-7;24.0;733;-7;24.0;31.0
3.0;-10.0;-36.0;-25;28.0;733;-25;11.0;-43.0
1.0;-11.0;-33.0;-26;-21.0;736;-26;52.0;-67.0
-20.0;7.0;-22.0;-22;11.0;734;-22;-2.0;-35.0
-3.0;52.0;-28.0;-33;3.0;734;-33;-51.0;-58.0
75.0;53.0;-8.0;29;49.0;722;29;186.0;173.0
-16.0;32.0;-43.0;-3;-21.0;734;-3;41.0;-62.0
19.0;25.0;-43.0;-6;8.0;731;-6;0.0;-55.0
-20.0;-17.0;81.0;27;-6.0;735;27;49.0;39.0
44.0;-43.0;52.0;-1;-39.0;733;-1;42.0;27.0
30.0;-81.0;18.0;0;-105.0;732;0;294.0;-221.0
-13.0;-5.0;-29.0;-3;-22.0;736;-3;-7.0;-27.0
122.0;56.0;-10.0;-11;51.0;722;-11;-61.0;52.0
149.0;154.0;-31.0;18;-37.0;726;18;-138.0;-311.0
-22.0;62.0;-13.0;4;-20.0;736;4;-25.0;24.0
-17.0;84.0;-18.0;18;21.0;732;18;-47.0;-35.0
-28.0;16.0;-1.0;-6;-11.0;732;-6;-17.0;-7.0
21.0;-97.0;-74.0;-12;-59.0;732;-12;175.0;227.0
38.0;17.0;16.0;-33;10.0;732;-33;75.0;360.0
13.0;-67.0;44.0;1;-18.0;731;1;25.0;17.0
23.0;87.0;52.0;39;37.0;926;39;136.0;79.0
12.0;-83.0;-21.0;-24;199.0;725;-24;108.0;89.0
-3.0;-105.0;84.0;-10;-58.0;727;-10;28.0;-93.0
29.0;-73.0;-1.0;12;-59.0;730;12;69.0;-41.0
-12.0;21.0;183.0;6;16.0;725;6;-80.0;-111.0
-25.0;205.0;127.0;6;-31.0;729;6;-253.0;-70.0
84.0;-49.0;17.0;-6;-95.0;723;-6;35.0;20.0
-5.0;68.0;2.0;-15;92.0;727;-15;-35.0;-48.0
-45.0;-111.0;-59.0;-7;4.0;733;-7;-82.0;-61.0
-12.0;-130.0;-85.0;0;13.0;727;0;-33.0;-67.0
18.0;-151.0;-89.0;-8;71.0;723;-8;-41.0;-77.0
-64.0;155.0;-201.0;-6;-100.0;731;-6;-175.0;-19.0
-10.0;0.0;211.0;-4;-2.0;723;-4;72.0;52.0
13.0;-237.0;4.0;-11;-35.0;730;-11;-112.0;80.0
43.0;-304.0;27.0;-1;117.0;727;-1;-30.0;103.0
52.0;-161.0;25.0;-4;137.0;726;-4;58.0;151.0
84.0;-98.0;58.0;-1;102.0;731;-1;79.0;120.0
35.0;141.0;-23.0;-11;-2.0;737;-11;142.0;33.0
27.0;118.0;-10.0;16;-18.0;734;16;122.0;1.0
-154.0;91.0;-138.0;-9;-1.0;729;-9;222.0;91.0
