InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA_ accZ
-157;651.0;-494.0;-173;-512.0;180.0;330.0;544.0;-558.0;596;-137.0
-159;425.0;-645.0;116;-406.0;372.0;369.0;573.0;-667.0;792;655.0
-159;284.0;-214.0;116;-726.0;85.0;310.0;190.0;-650.0;795;74.0
-159;241.0;-198.0;116;-727.0;66.0;320.0;173.0;-641.0;794;89.0
-159;404.0;-412.0;116;-619.0;50.0;382.0;412.0;-778.0;793;479.0
-159;202.0;-182.0;116;-733.0;261.0;325.0;208.0;-652.0;798;448.0
-159;436.0;-674.0;116;-419.0;192.0;331.0;587.0;-667.0;803;481.0
-159;-158.0;-573.0;116;-802.0;267.0;239.0;677.0;-696.0;797;148.0
-158;91.0;-643.0;106;-760.0;242.0;258.0;733.0;-732.0;794;116.0
-160;72.0;-668.0;100;-734.0;145.0;267.0;753.0;-735.0;799;-36.0
-160;88.0;-672.0;100;-731.0;222.0;267.0;754.0;-733.0;804;-17.0
-160;105.0;-654.0;101;-746.0;170.0;280.0;712.0;-714.0;807;102.0
-160;101.0;-647.0;101;-753.0;151.0;281.0;700.0;-711.0;791;78.0
-160;97.0;-645.0;102;-755.0;142.0;279.0;696.0;-710.0;797;93.0
-160;117.0;-636.0;103;-766.0;212.0;246.0;708.0;-717.0;797;121.0
-160;79.0;-638.0;107;-760.0;188.0;216.0;696.0;-724.0;807;52.0
-160;106.0;-638.0;107;-759.0;138.0;179.0;719.0;-730.0;796;12.0
-160;116.0;-631.0;107;-764.0;151.0;183.0;693.0;-720.0;799;28.0
-159;67.0;-619.0;105;-775.0;154.0;182.0;678.0;-717.0;794;69.0
-159;140.0;-638.0;106;-764.0;249.0;234.0;714.0;-730.0;803;90.0
-160;157.0;-635.0;105;-765.0;232.0;240.0;711.0;-726.0;805;96.0
-160;162.0;-629.0;102;-770.0;232.0;250.0;697.0;-717.0;803;108.0
-159;183.0;-623.0;97;-771.0;138.0;252.0;709.0;-719.0;799;-6.0
-159;93.0;-614.0;104;-785.0;193.0;248.0;678.0;-716.0;798;69.0
-159;112.0;-622.0;107;-779.0;208.0;258.0;688.0;-722.0;799;72.0
-159;267.0;-626.0;103;-759.0;238.0;350.0;704.0;-700.0;793;-12.0
-159;186.0;-611.0;112;-782.0;142.0;329.0;656.0;-703.0;800;40.0
-159;288.0;-627.0;99;-756.0;33.0;340.0;686.0;-700.0;805;-64.0
-159;354.0;-627.0;99;-744.0;171.0;329.0;714.0;-700.0;798;-7.0
-159;316.0;-589.0;99;-734.0;155.0;254.0;758.0;-709.0;802;110.0
-159;184.0;-598.0;99;-537.0;143.0;233.0;512.0;-725.0;798;39.0
-159;199.0;-597.0;99;-536.0;128.0;234.0;512.0;-720.0;800;22.0
-159;244.0;-581.0;99;-669.0;148.0;258.0;598.0;-728.0;799;38.0
-159;252.0;-560.0;99;-763.0;136.0;278.0;698.0;-722.0;800;37.0
-159;74.0;-622.0;99;-775.0;151.0;298.0;680.0;-712.0;807;83.0
-159;135.0;-626.0;99;-767.0;137.0;304.0;697.0;-716.0;803;60.0
-159;145.0;-657.0;99;-747.0;128.0;329.0;708.0;-709.0;801;55.0
-159;161.0;-641.0;99;-758.0;120.0;317.0;697.0;-697.0;802;20.0
-159;190.0;-640.0;99;-758.0;125.0;326.0;694.0;-707.0;800;-29.0
-159;191.0;-641.0;99;-757.0;126.0;329.0;695.0;-707.0;799;62.0
-159;179.0;-645.0;99;-754.0;141.0;317.0;695.0;-707.0;796;132.0
-159;95.0;-648.0;99;-755.0;140.0;249.0;704.0;-723.0;802;99.0
-159;90.0;-643.0;99;-759.0;133.0;242.0;692.0;-724.0;807;99.0
-160;117.0;-636.0;99;-762.0;101.0;254.0;686.0;-708.0;798;90.0
-159;180.0;-639.0;99;-758.0;83.0;304.0;696.0;-701.0;802;68.0
-159;188.0;-644.0;99;-752.0;68.0;337.0;695.0;-695.0;805;62.0
-159;182.0;-638.0;99;-760.0;53.0;322.0;694.0;-692.0;798;46.0
-159;183.0;-638.0;99;-759.0;55.0;322.0;694.0;-692.0;800;38.0
-159;187.0;-638.0;99;-759.0;52.0;328.0;693.0;-689.0;795;62.0
-159;183.0;-638.0;99;-759.0;72.0;328.0;694.0;-690.0;805;80.0
-159;183.0;-638.0;99;-759.0;62.0;327.0;695.0;-691.0;801;68.0
-159;169.0;-640.0;99;-760.0;80.0;314.0;698.0;-697.0;799;104.0
-159;167.0;-640.0;99;-760.0;80.0;310.0;698.0;-698.0;796;72.0
-159;187.0;-638.0;99;-760.0;86.0;316.0;697.0;-692.0;795;95.0
-159;188.0;-638.0;99;-759.0;83.0;319.0;698.0;-692.0;798;79.0
-159;211.0;-637.0;99;-759.0;71.0;334.0;692.0;-688.0;799;55.0
-159;219.0;-637.0;99;-758.0;67.0;342.0;690.0;-686.0;796;72.0
-159;223.0;-637.0;99;-757.0;67.0;344.0;689.0;-685.0;800;69.0
-159;275.0;-641.0;99;-747.0;62.0;383.0;686.0;-672.0;796;68.0
-159;308.0;-645.0;99;-738.0;63.0;407.0;684.0;-667.0;807;60.0
-159;254.0;-636.0;99;-753.0;46.0;367.0;682.0;-673.0;797;45.0
-159;250.0;-636.0;99;-754.0;65.0;368.0;681.0;-672.0;800;9.0
-159;240.0;-638.0;99;-753.0;54.0;361.0;685.0;-680.0;799;55.0
-159;239.0;-639.0;99;-752.0;55.0;360.0;686.0;-681.0;802;47.0
-159;222.0;-641.0;99;-753.0;57.0;362.0;688.0;-682.0;803;49.0
-159;224.0;-641.0;99;-752.0;49.0;364.0;687.0;-681.0;808;48.0
-159;226.0;-643.0;99;-750.0;48.0;364.0;688.0;-681.0;800;71.0
-159;238.0;-642.0;99;-749.0;47.0;373.0;687.0;-678.0;805;51.0
-159;217.0;-641.0;99;-752.0;41.0;367.0;688.0;-678.0;801;41.0
-159;228.0;-640.0;99;-752.0;38.0;370.0;685.0;-676.0;807;40.0
-159;237.0;-639.0;99;-752.0;49.0;370.0;685.0;-676.0;801;71.0
-159;225.0;-638.0;99;-756.0;57.0;356.0;690.0;-681.0;799;67.0
-159;213.0;-637.0;99;-758.0;58.0;352.0;690.0;-683.0;795;60.0
-159;214.0;-635.0;99;-759.0;52.0;352.0;688.0;-682.0;808;58.0
-159;235.0;-637.0;99;-755.0;47.0;360.0;689.0;-681.0;799;40.0
-159;231.0;-636.0;99;-755.0;51.0;360.0;687.0;-678.0;801;60.0
-159;233.0;-637.0;99;-755.0;53.0;362.0;688.0;-678.0;799;69.0
-159;225.0;-637.0;99;-757.0;54.0;348.0;692.0;-684.0;797;59.0
-159;255.0;-628.0;99;-761.0;74.0;335.0;678.0;-676.0;808;56.0
-159;303.0;-627.0;99;-753.0;79.0;359.0;675.0;-670.0;805;51.0
