Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass
81.0;-366.0;-253.0;12.0;80.0;-144;-13
-165.0;-580.0;34.0;119.0;-66.0;34;-65
15.0;-339.0;-30.0;378.0;-6.0;134;-50
10.0;-319.0;12.0;69.0;41.0;49;-10
80.0;-339.0;-103.0;27.0;70.0;74;-29
194.0;-250.0;-219.0;-60.0;68.0;74;-29
-209.0;-394.0;-181.0;166.0;52.0;86;18
125.0;-231.0;-17.0;-321.0;57.0;92;-4
-56.0;-301.0;-114.0;-163.0;18.0;-1;-6
-89.0;-355.0;241.0;95.0;121.0;81;18
-125.0;-229.0;22.0;122.0;-82.0;68;-32
0.0;-223.0;30.0;6.0;-76.0;71;-13
78.0;-167.0;-233.0;58.0;-140.0;118;-21
14.0;-398.0;6.0;121.0;8.0;55;-10
-63.0;-236.0;-501.0;136.0;-25.0;-162;1
97.0;-449.0;-108.0;201.0;-78.0;52;-46
122.0;-369.0;-73.0;84.0;10.0;29;-33
53.0;-309.0;3.0;159.0;0.0;34;-63
-261.0;-597.0;113.0;-237.0;-473.0;21;-16
114.0;-294.0;-158.0;145.0;39.0;59;-11
220.0;-356.0;-219.0;71.0;-144.0;1;-31
24.0;-311.0;20.0;91.0;25.0;-15;-71
54.0;-341.0;21.0;88.0;19.0;-15;-70
62.0;-348.0;23.0;91.0;21.0;-15;-70
48.0;-331.0;18.0;89.0;19.0;-15;-70
66.0;-370.0;19.0;92.0;19.0;-15;-70
39.0;-332.0;21.0;92.0;8.0;-15;-70
22.0;-310.0;-112.0;141.0;93.0;64;-94
69.0;-379.0;-110.0;-7.0;32.0;115;-10
59.0;-275.0;-48.0;136.0;39.0;54;-11
-380.0;-679.0;-228.0;503.0;-339.0;18;-75
-84.0;-497.0;247.0;97.0;35.0;82;19
-49.0;-319.0;-103.0;203.0;130.0;-15;-89
-300.0;-722.0;357.0;-113.0;-360.0;35;-18
-120.0;-457.0;289.0;-87.0;-171.0;85;-6
-105.0;-409.0;-270.0;412.0;-182.0;44;-42
208.0;-253.0;-171.0;-176.0;-23.0;50;-15
-25.0;-266.0;73.0;364.0;-55.0;-84;-75
38.0;-278.0;492.0;-420.0;63.0;62;-7
73.0;-379.0;29.0;111.0;113.0;113;-114
-5.0;-329.0;-140.0;475.0;-157.0;-7;-100
195.0;54.0;-131.0;107.0;188.0;84;18
-19.0;-485.0;-193.0;-3.0;-112.0;88;-5
-243.0;-236.0;86.0;339.0;-40.0;132;-48
107.0;-637.0;-9.0;316.0;-80.0;19;-115
-58.0;-139.0;-118.0;301.0;-120.0;63;-36
58.0;-283.0;484.0;-150.0;68.0;92;-10
-158.0;-555.0;-5.0;-178.0;145.0;119;-11
-127.0;-374.0;-186.0;-182.0;112.0;-34;-2
243.0;-76.0;-103.0;-241.0;169.0;72;-3
34.0;-292.0;256.0;-334.0;26.0;63;-5
