InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;Accelerometer RUA_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RUA magneticZ;Accelerometer LH accX;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA gyroZ;Accelerometer RKN_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4
-14;?;752.0;14;375.0;?;-23.0;3;1081.0;-1360.0;-86.0;367.0;?
2;-25.0;?;-2;380.0;303.0;45.0;?;1082.0;-1187.0;-108.0;?;?
0;204.0;?;0;483.0;287.0;38.0;-6;1068.0;-778.0;-103.0;378.0;?
19;37.0;791.0;-19;486.0;273.0;49.0;?;981.0;-299.0;-115.0;380.0;-294.0
15;93.0;772.0;-15;511.0;272.0;?;?;962.0;41.0;-168.0;382.0;?
?;84.0;?;-15;446.0;283.0;-147.0;1;935.0;283.0;-154.0;383.0;-294.0
-4;46.0;759.0;4;394.0;283.0;-47.0;-2;888.0;485.0;-142.0;?;?
-46;63.0;734.0;46;344.0;280.0;184.0;4;850.0;618.0;?;385.0;-292.0
-23;93.0;702.0;23;309.0;274.0;218.0;2;954.0;662.0;-110.0;383.0;-287.0
-37;?;?;37;-14.0;?;610.0;3;1015.0;-11.0;-87.0;390.0;-249.0
-21;?;591.0;21;-7.0;-515.0;747.0;9;988.0;-117.0;-78.0;?;-251.0
22;-12.0;596.0;-22;3.0;?;676.0;?;?;-218.0;-94.0;?;-252.0
?;-31.0;663.0;-23;?;-527.0;661.0;-4;997.0;-52.0;-95.0;?;-254.0
33;-50.0;?;-33;38.0;?;?;-3;972.0;-85.0;?;392.0;-254.0
-2;-39.0;754.0;2;-175.0;-520.0;472.0;-6;853.0;-396.0;-134.0;?;-254.0
-33;?;732.0;?;?;-497.0;454.0;?;801.0;-731.0;?;394.0;?
