InertialMeasurementUnit BACK accY;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-180.0;-484.0;38;18;663;126.0;395.0;38;48.0;10;-45
-146.0;44.0;14;15;742;-162.0;577.0;14;-183.0;27;-50
-61.0;-213.0;10;18;740;118.0;595.0;10;-179.0;17;-50
-37.0;-124.0;-13;15;743;-95.0;601.0;-13;-172.0;22;-50
-39.0;-255.0;-11;17;744;-56.0;604.0;-11;-203.0;19;-50
-53.0;200.0;19;13;748;-7.0;604.0;19;-264.0;19;-50
-42.0;-222.0;-21;11;750;-109.0;604.0;-21;-211.0;21;-50
-62.0;-76.0;-10;17;747;-24.0;605.0;-10;-157.0;24;-50
-63.0;-43.0;-10;16;741;12.0;608.0;-10;-154.0;26;-50
-60.0;-227.0;11;11;748;-191.0;606.0;11;-182.0;19;-50
-60.0;-58.0;-46;11;749;-90.0;615.0;-46;-220.0;25;-50
-37.0;427.0;-11;12;744;-13.0;612.0;-11;-265.0;19;-50
-53.0;27.0;-27;14;742;101.0;609.0;-27;-274.0;24;-50
-60.0;111.0;-45;24;670;460.0;347.0;-45;-79.0;43;-38
-53.0;56.0;10;13;746;-33.0;605.0;10;-273.0;23;-50
-40.0;118.0;10;12;750;-146.0;607.0;10;-272.0;17;-50
-39.0;-149.0;0;17;744;131.0;605.0;0;-272.0;20;-50
-46.0;67.0;3;12;753;-270.0;605.0;3;-281.0;21;-50
-12.0;-23.0;22;11;749;-83.0;600.0;22;-262.0;23;-50
-46.0;-55.0;-44;14;745;17.0;593.0;-44;-206.0;22;-50
-168.0;-119.0;11;22;664;14.0;555.0;11;-869.0;-4;-26
-80.0;-58.0;4;13;749;-18.0;619.0;4;-216.0;24;-50
-69.0;-36.0;-55;14;742;-30.0;619.0;-55;-217.0;19;-50
-54.0;-58.0;-22;10;750;-47.0;580.0;-22;-217.0;22;-50
-48.0;-102.0;4;18;744;-102.0;574.0;4;-204.0;23;-50
-165.0;-177.0;-2;-70;725;-158.0;536.0;-2;-895.0;74;-39
-14.0;-63.0;10;16;743;-54.0;556.0;10;-182.0;26;-50
-57.0;-115.0;14;15;743;-83.0;547.0;14;-93.0;23;-50
-49.0;-93.0;-4;15;745;-3.0;553.0;-4;-64.0;23;-50
-24.0;-74.0;-5;14;750;-56.0;545.0;-5;20.0;23;-50
-22.0;-62.0;0;14;751;-37.0;544.0;0;29.0;24;-50
-29.0;-68.0;0;13;750;-54.0;544.0;0;29.0;21;-50
-30.0;-60.0;-27;15;747;-21.0;550.0;-27;-28.0;25;-50
-31.0;-91.0;-19;13;750;-117.0;559.0;-19;-109.0;26;-50
-120.0;-123.0;28;13;657;-106.0;524.0;28;-873.0;1;-41
-116.0;-127.0;20;18;656;-78.0;519.0;20;-878.0;3;-41
-133.0;-39.0;4;20;660;37.0;525.0;4;-884.0;3;-41
-128.0;30.0;2;16;654;101.0;524.0;2;-877.0;7;-41
-140.0;58.0;14;17;658;145.0;524.0;14;-683.0;8;-41
