InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
0;?;?;-809.0;1544.0;?;-22;370;22;-44
-3;5;-2;-394.0;?;68;-8;375;8;5
-4;15;-3;?;?;63;?;378;-6;15
0;-21;?;-309.0;520.0;69;-14;371;14;-21
10;-17;-1;?;-52.0;71;2;369;-2;-17
1;2;-2;62.0;-319.0;66;-5;374;5;?
?;-12;1;302.0;-401.0;65;-6;372;6;?
3;0;-1;?;-487.0;?;28;372;-28;?
-4;25;-2;574.0;-435.0;?;7;374;-7;25
-4;-7;-3;-99.0;?;66;23;377;-23;-7
4;-19;-6;?;135.0;64;40;379;-40;-19
6;-29;-2;-249.0;220.0;68;18;373;-18;?
2;-22;-1;-200.0;368.0;71;4;371;-4;-22
?;4;-3;-276.0;552.0;69;-10;?;10;4
0;25;-1;-463.0;670.0;67;?;374;23;25
-2;?;-1;?;765.0;67;4;375;-4;-10
?;-10;-7;-1519.0;?;?;-6;?;6;-10
2;22;-5;-2177.0;?;64;-15;?;15;22
0;-2;?;-2750.0;1251.0;?;-22;373;?;-2
-1;-41;1;-3016.0;?;69;-46;372;46;-41
?;?;4;-2774.0;1338.0;?;-34;372;34;-45
4;-22;3;-2655.0;1193.0;70;-26;?;?;-22
?;?;-1;-2536.0;1318.0;67;-4;377;4;8
?;19;?;?;1454.0;70;12;373;-12;19
?;26;3;-2343.0;1581.0;72;?;?;1;26
-7;-5;0;-2434.0;1624.0;68;-30;376;30;-5
-3;?;1;?;1616.0;72;-35;374;35;-25
-2;21;?;-2237.0;1634.0;67;2;?;-2;21
-2;-4;3;-2101.0;1522.0;?;-2;373;2;?
-1;-33;?;-1919.0;?;71;4;369;-4;-33
?;?;?;-1496.0;1711.0;?;-4;?;4;-5
3;6;2;-425.0;1864.0;69;?;372;7;6
?;4;-1;-67.0;1726.0;66;64;376;-64;4
?;?;0;41.0;1123.0;63;62;376;-62;?
-2;8;0;115.0;387.0;?;1;377;-1;8
-1;27;-5;-4.0;-308.0;64;?;379;19;27
