InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA magneticY
328.0;503.0;17;306.0;679.0;1280.0;455.0;-780.0;-362.0
297.0;368.0;16;536.0;-521.0;753.0;-370.0;-785.0;-154.0
363.0;16.0;-1;588.0;-370.0;779.0;-169.0;638.0;313.0
491.0;-104.0;-3;439.0;303.0;255.0;95.0;-89.0;393.0
698.0;-48.0;6;322.0;301.0;65.0;-83.0;29.0;484.0
370.0;123.0;11;106.0;-767.0;879.0;-627.0;837.0;-550.0
281.0;255.0;126;344.0;-758.0;100.0;-644.0;868.0;-604.0
283.0;300.0;82;-167.0;-768.0;-175.0;-351.0;724.0;-461.0
344.0;314.0;53;-63.0;555.0;330.0;330.0;-433.0;-13.0
271.0;431.0;103;-356.0;910.0;173.0;331.0;-761.0;-406.0
301.0;523.0;16;351.0;-688.0;-58.0;-583.0;-853.0;-595.0
447.0;185.0;168;371.0;-841.0;-684.0;-498.0;-793.0;-678.0
379.0;372.0;16;425.0;584.0;-155.0;327.0;-553.0;-558.0
592.0;-8.0;129;706.0;745.0;289.0;559.0;-887.0;-956.0
354.0;111.0;140;816.0;701.0;-93.0;504.0;-932.0;-976.0
125.0;69.0;2;282.0;877.0;301.0;439.0;-870.0;-666.0
223.0;217.0;39;450.0;794.0;-37.0;308.0;-847.0;-510.0
541.0;13.0;-165;-165.0;766.0;374.0;636.0;-922.0;-495.0
737.0;-273.0;-99;238.0;728.0;68.0;571.0;-613.0;-240.0
873.0;-559.0;-176;431.0;568.0;389.0;463.0;-443.0;-181.0
881.0;-666.0;-157;721.0;43.0;1135.0;221.0;11.0;331.0
192.0;146.0;77;511.0;840.0;365.0;301.0;-818.0;-633.0
231.0;444.0;27;405.0;646.0;621.0;501.0;-795.0;-452.0
249.0;269.0;37;453.0;669.0;343.0;346.0;-712.0;-139.0
394.0;256.0;30;545.0;560.0;589.0;348.0;-739.0;-165.0
15.0;246.0;-160;412.0;556.0;597.0;381.0;-600.0;-67.0
501.0;-1.0;-11;832.0;604.0;1144.0;41.0;-469.0;505.0
689.0;-130.0;7;472.0;366.0;-506.0;-132.0;-259.0;486.0
363.0;-32.0;47;613.0;374.0;-218.0;164.0;-510.0;349.0
499.0;-159.0;24;551.0;315.0;491.0;137.0;-506.0;425.0
291.0;525.0;16;359.0;-682.0;48.0;-570.0;-855.0;-566.0
-217.0;119.0;27;-203.0;-682.0;-65.0;-570.0;-852.0;-673.0
867.0;-658.0;-147;960.0;282.0;71.0;369.0;-810.0;-334.0
1095.0;-704.0;-40;1013.0;186.0;-973.0;245.0;71.0;199.0
127.0;388.0;127;218.0;766.0;-175.0;599.0;-786.0;-597.0
1033.0;-751.0;-73;913.0;184.0;470.0;267.0;94.0;213.0
337.0;503.0;27;380.0;573.0;30.0;430.0;-751.0;-271.0
944.0;-760.0;-174;600.0;476.0;-17.0;268.0;-513.0;138.0
121.0;449.0;108;295.0;755.0;16.0;584.0;-805.0;-527.0
212.0;400.0;71;309.0;768.0;96.0;516.0;-780.0;-516.0
610.0;-158.0;104;462.0;690.0;54.0;592.0;560.0;-246.0
815.0;-651.0;-13;821.0;-80.0;711.0;-204.0;-1.0;468.0
598.0;-600.0;-17;762.0;-57.0;-182.0;-106.0;268.0;451.0
568.0;44.0;18;963.0;282.0;-652.0;207.0;-566.0;238.0
565.0;-248.0;151;98.0;675.0;737.0;605.0;-696.0;-376.0
541.0;-278.0;11;10.0;744.0;206.0;402.0;-549.0;-256.0
543.0;-41.0;14;984.0;419.0;469.0;232.0;-657.0;55.0
1036.0;-42.0;-5;946.0;755.0;1036.0;533.0;-755.0;-288.0
390.0;162.0;167;-27.0;780.0;371.0;620.0;-823.0;-547.0
818.0;-556.0;29;864.0;-2.0;146.0;-93.0;278.0;362.0
333.0;-611.0;-138;675.0;394.0;-90.0;440.0;-717.0;-721.0
583.0;-708.0;-150;352.0;546.0;-775.0;516.0;-340.0;-56.0
51.0;367.0;11;-227.0;849.0;-513.0;468.0;-756.0;-519.0
-188.0;184.0;70;11.0;725.0;661.0;634.0;-728.0;-545.0
518.0;130.0;141;452.0;771.0;-48.0;612.0;-826.0;-573.0
-194.0;459.0;31;378.0;530.0;45.0;383.0;-713.0;-386.0
286.0;543.0;39;376.0;646.0;-1528.0;476.0;-801.0;-401.0
87.0;255.0;52;428.0;731.0;39.0;305.0;-587.0;-113.0
133.0;263.0;45;418.0;724.0;129.0;317.0;-593.0;-87.0
72.0;102.0;26;602.0;596.0;116.0;365.0;-568.0;73.0
108.0;441.0;103;396.0;749.0;-19.0;550.0;-779.0;-446.0
29.0;233.0;135;-337.0;838.0;0.0;541.0;-872.0;-866.0
221.0;270.0;141;-84.0;798.0;14.0;593.0;-864.0;-636.0
588.0;-398.0;-181;123.0;638.0;-146.0;562.0;-580.0;-230.0
49.0;493.0;83;326.0;728.0;-122.0;527.0;-736.0;-331.0
322.0;497.0;-2;-191.0;699.0;560.0;527.0;-817.0;-530.0
894.0;-7.0;21;893.0;703.0;-980.0;522.0;-838.0;-344.0
1009.0;-60.0;91;1079.0;669.0;396.0;483.0;-808.0;-553.0
40.0;485.0;113;254.0;724.0;-159.0;491.0;-593.0;-283.0
38.0;471.0;113;252.0;741.0;-8.0;492.0;-608.0;-292.0
-438.0;418.0;81;275.0;645.0;47.0;602.0;-220.0;-303.0
25.0;469.0;113;244.0;749.0;99.0;501.0;-636.0;-327.0
-406.0;200.0;135;-314.0;822.0;36.0;570.0;-866.0;-684.0
853.0;-352.0;6;511.0;320.0;175.0;-251.0;-233.0;266.0
863.0;-635.0;-169;367.0;-437.0;-142.0;-419.0;118.0;19.0
-531.0;109.0;139;21.0;712.0;22.0;672.0;-450.0;-342.0
785.0;-645.0;120;787.0;-168.0;-1014.0;-218.0;128.0;451.0
449.0;-288.0;210;407.0;-983.0;-248.0;-18.0;-764.0;-656.0
542.0;-489.0;-11;610.0;84.0;537.0;-46.0;-286.0;625.0
742.0;-499.0;-38;981.0;105.0;88.0;189.0;-236.0;348.0
558.0;-177.0;18;982.0;220.0;-170.0;126.0;-520.0;327.0
546.0;-285.0;8;748.0;237.0;112.0;157.0;-543.0;310.0
337.0;126.0;16;575.0;-498.0;468.0;-314.0;-718.0;-8.0
693.0;-666.0;150;859.0;-198.0;-13.0;-160.0;-167.0;604.0
-335.0;474.0;143;119.0;719.0;407.0;636.0;-597.0;-512.0
-5.0;622.0;81;102.0;653.0;142.0;499.0;-760.0;-538.0
37.0;503.0;113;216.0;721.0;34.0;514.0;-660.0;-354.0
55.0;472.0;113;229.0;754.0;26.0;512.0;-667.0;-414.0
53.0;491.0;113;208.0;739.0;-67.0;521.0;-696.0;-408.0
1034.0;-743.0;-177;821.0;665.0;60.0;263.0;-595.0;-362.0
-93.0;626.0;58;204.0;645.0;-337.0;510.0;-688.0;-609.0
1006.0;47.0;-2;773.0;733.0;-280.0;553.0;-761.0;-335.0
47.0;427.0;113;255.0;779.0;25.0;484.0;-711.0;-505.0
45.0;499.0;110;207.0;745.0;191.0;544.0;-809.0;-529.0
104.0;459.0;107;283.0;752.0;-41.0;579.0;-804.0;-510.0
662.0;-140.0;175;691.0;284.0;167.0;173.0;-581.0;380.0
631.0;-132.0;174;644.0;282.0;-6.0;164.0;-605.0;381.0
584.0;-142.0;149;551.0;335.0;56.0;146.0;-599.0;377.0
166.0;326.0;31;402.0;580.0;-657.0;417.0;-694.0;-54.0
-465.0;447.0;101;49.0;726.0;14.0;651.0;-498.0;-446.0
