InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
0;33;-6;-4.0;-2.0;70;46;368;-46;33
5;18;4;30.0;54.0;72;-31;383;31;18
3;18;-194;180.0;-356.0;112;24;378;-24;18
4;-3;5;-67.0;228.0;68;3;382;-3;-3
-4;-21;2;-2.0;13.0;71;-4;385;4;-21
4;-14;-4;23.0;42.0;67;1;373;-1;-14
88;-21;-403;-1238.0;671.0;81;-1463;563;1463;-21
-2;-6;-3;68.0;54.0;62;9;392;-9;-6
4;18;-4;-12.0;101.0;71;-41;381;41;18
0;23;-24;323.0;-114.0;72;-26;386;26;23
5;13;6;144.0;-20.0;76;-20;391;20;13
-3;8;-2;30.0;6.0;67;19;386;-19;8
0;5;4;39.0;53.0;71;48;372;-48;5
4;24;1;44.0;34.0;72;-25;375;25;24
214;398;-298;577.0;-1245.0;197;-2051;300;2051;398
1;4;5;11.0;28.0;70;15;373;-15;4
-1;-13;4;6.0;26.0;70;-12;374;12;-13
-12;-33;-6;-212.0;1014.0;66;-26;404;26;-33
-2;-8;3;20.0;49.0;137;-4;836;4;-8
-5;15;7;-17.0;37.0;69;-38;382;38;15
-8;1220;-337;-574.0;587.0;-200;5837;829;-5837;1220
0;35;-2;19.0;64.0;67;-5;365;5;35
2;-17;-9;25.0;-21.0;65;-10;386;10;-17
-144;452;-39;-164.0;-357.0;101;-402;529;402;452
-8;-16;3;72.0;59.0;101;-30;631;30;-16
-33;328;-55;216.0;-32.0;79;-131;405;131;328
5;-24;-5;27.0;-19.0;71;58;390;-58;-24
3;10;4;12.0;60.0;73;-16;402;16;10
-5;-47;-1;2.0;78.0;58;-27;374;27;-47
9;4;3;15.0;69.0;71;-23;403;23;4
0;21;4;13.0;66.0;68;-20;405;20;21
6;13;4;32.0;-2.0;73;-9;383;9;13
8;10;3;44.0;0.0;68;25;404;-25;10
7;5;4;15.0;65.0;60;-16;407;16;5
3;-4;0;4.0;39.0;67;-9;386;9;-4
-3;-29;-1;-27.0;78.0;70;56;388;-56;-29
-1;-9;2;58.0;23.0;67;5;375;-5;-9
-2;10;-1;543.0;-408.0;67;-34;382;34;10
250;-513;193;226.0;122.0;-28;1348;577;-1348;-513
-1;21;6;50.0;18.0;67;-30;378;30;21
-9;-6;2;-35.0;51.0;65;-11;390;11;-6
1;7;-4;21.0;25.0;76;-26;383;26;7
-6;-20;-1;44.0;47.0;68;-5;386;5;-20
-3;6;-1;10.0;-83.0;74;24;381;-24;6
-6;-19;2;65.0;31.0;68;8;384;-8;-19
4;0;8;-13.0;-20.0;70;12;361;-12;0
4;28;-9;143.0;-113.0;56;30;379;-30;28
-6;18;3;18.0;44.0;67;-5;366;5;18
2;-8;-3;-117.0;35.0;77;-25;390;25;-8
7;-1648;-23;-108.0;349.0;9;-22;525;22;-1648
-248;201;-292;49.0;313.0;110;-861;761;861;201
-135;12;-22;952.0;-1731.0;72;-245;407;245;12
-1;16;3;-9.0;87.0;64;28;392;-28;16
158;-421;139;-682.0;-63.0;-64;-5133;982;5133;-421
4;12;-4;20.0;63.0;69;-26;393;26;12
7;3;-4;110.0;12.0;70;-16;386;16;3
-6;19;2;82.0;12.0;74;-17;389;17;19
2;-16;0;77.0;91.0;67;-29;371;29;-16
-6;23;0;35.0;36.0;71;-16;391;16;23
-2;-63;-5;35.0;44.0;70;-34;384;34;-63
5;-31;2;47.0;14.0;70;-9;375;9;-31
-2;-1;0;36.0;51.0;64;15;367;-15;-1
4;12;-4;27.0;55.0;68;6;374;-6;12
7;14;-3;7.0;34.0;68;-32;372;32;14
-5;3;1;69.0;38.0;66;-4;366;4;3
5;16;0;71.0;15.0;64;18;369;-18;16
2;21;1;50.0;40.0;66;-19;365;19;21
5;-23;7;-74.0;92.0;68;-14;403;14;-23
-155;-430;79;106.0;13.0;71;-67;375;67;-430
3;34;6;25.0;24.0;61;2;362;-2;34
-1;17;-4;92.0;27.0;57;26;374;-26;17
-1137;-5636;-785;294.0;-309.0;-230;-208;1603;208;-5636
-1;-28;6;75.0;-53.0;64;10;380;-10;-28
-7;81;-23;66.0;-53.0;93;-48;408;48;81
5;13;-5;-1229.0;1029.0;64;6;390;-6;13
0;-6;7;84.0;-983.0;66;-32;364;32;-6
-13;-862;69;-447.0;946.0;37;-1412;379;1412;-862
-2;131;-31;1.0;131.0;92;-4;407;4;131
7;-105;9;102.0;-70.0;93;-430;497;430;-105
109;574;63;-418.0;-176.0;4;-738;369;738;574
-4;-26;-2;19.0;118.0;69;0;368;0;-26
-8;-8;2;150.0;178.0;72;-3;377;3;-8
-2;23;1;-328.0;127.0;71;-1;392;1;23
-38;-104;59;-251.0;435.0;60;-177;391;177;-104
126;737;34;-1036.0;1366.0;63;1637;715;-1637;737
4;13;-6;-159.0;-187.0;73;-22;384;22;13
-2;5;-2;15.0;112.0;64;-1;378;1;5
-59;1869;83;-402.0;-5.0;59;-647;398;647;1869
2;18;2;-34.0;38.0;70;3;380;-3;18
18;20;22;-20.0;3.0;74;-25;380;25;20
-9;-27;4;-9.0;-27.0;65;-28;373;28;-27
0;-30;-5;54.0;95.0;68;31;391;-31;-30
-325;822;-41;-494.0;614.0;882;3701;-62;-3701;822
-5;6;-1;-223.0;549.0;74;-34;381;34;6
16;68;-13;-895.0;-112.0;74;0;437;0;68
-84;260;0;117.0;46.0;36;836;530;-836;260
11;-58;8;-47.0;274.0;65;-337;451;337;-58
-12;29;0;964.0;276.0;69;4;378;-4;29
-6;39;-21;342.0;412.0;71;-16;415;16;39
-2;-9;-2;103.0;-144.0;68;-16;399;16;-9
