Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RWR accZ;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
751.0;?;-1270.0;?;-1078.0;540.0;?;-628.0;554.0
691.0;-743.0;-1200.0;-1129.0;-1076.0;538.0;1136.0;-732.0;388.0
699.0;-695.0;-1072.0;-1011.0;?;533.0;1202.0;-710.0;330.0
753.0;-803.0;-932.0;-956.0;-913.0;471.0;1178.0;-744.0;343.0
804.0;-1004.0;-1011.0;-889.0;-772.0;427.0;?;-641.0;323.0
796.0;-1025.0;?;-906.0;-1049.0;344.0;944.0;?;257.0
926.0;-804.0;-980.0;?;-1313.0;?;853.0;-709.0;?
927.0;-739.0;-921.0;-1278.0;-1257.0;351.0;822.0;-620.0;?
?;-633.0;-913.0;?;-1186.0;496.0;?;-547.0;466.0
952.0;-151.0;-1018.0;?;-658.0;406.0;668.0;-632.0;841.0
943.0;-300.0;-1013.0;-413.0;-659.0;513.0;635.0;-664.0;?
912.0;-325.0;-1070.0;-330.0;-628.0;536.0;560.0;?;?
932.0;-461.0;-1091.0;-375.0;-693.0;590.0;?;-828.0;?
921.0;-443.0;-1093.0;-413.0;?;497.0;243.0;?;?
?;-438.0;-1026.0;-471.0;-801.0;472.0;?;-999.0;1098.0
872.0;-464.0;-957.0;?;-810.0;511.0;58.0;-1026.0;1063.0
850.0;-532.0;-929.0;-572.0;-877.0;?;106.0;-1001.0;?
?;-489.0;-925.0;?;-936.0;543.0;156.0;-999.0;897.0
768.0;-512.0;-914.0;-646.0;-867.0;?;267.0;-977.0;706.0
758.0;-514.0;-936.0;?;?;683.0;369.0;?;688.0
714.0;?;-1024.0;?;-801.0;752.0;401.0;?;?
?;?;-991.0;-652.0;-753.0;757.0;434.0;-1036.0;?
652.0;?;-960.0;-636.0;-524.0;?;?;-989.0;?
692.0;-558.0;-849.0;-588.0;-695.0;709.0;460.0;-895.0;453.0
629.0;-811.0;-804.0;?;?;606.0;491.0;-811.0;473.0
663.0;-1163.0;-713.0;-664.0;-719.0;465.0;?;-773.0;356.0
678.0;-1273.0;-652.0;-832.0;-581.0;358.0;456.0;-639.0;184.0
787.0;-1227.0;-691.0;?;-1035.0;298.0;?;?;-196.0
?;-957.0;-740.0;-1419.0;-1387.0;324.0;513.0;?;14.0
927.0;?;-825.0;-1492.0;-1410.0;356.0;631.0;?;319.0
925.0;-679.0;-1159.0;-1385.0;-1391.0;384.0;1013.0;-387.0;671.0
881.0;-611.0;?;-1207.0;-1329.0;465.0;1360.0;-432.0;783.0
801.0;-588.0;-1308.0;-1024.0;?;463.0;1413.0;-753.0;796.0
662.0;-673.0;-1185.0;-880.0;-921.0;479.0;?;?;681.0
?;?;-1039.0;-795.0;?;515.0;1132.0;?;517.0
690.0;-812.0;?;-818.0;-891.0;?;904.0;-982.0;?
?;-861.0;-1051.0;-909.0;-867.0;383.0;745.0;-859.0;317.0
715.0;-733.0;?;-1013.0;-965.0;322.0;652.0;-802.0;?
830.0;-689.0;?;-1073.0;-905.0;343.0;?;-663.0;251.0
888.0;-704.0;-857.0;-1017.0;-870.0;436.0;?;-605.0;207.0
863.0;-787.0;-791.0;-989.0;-975.0;562.0;851.0;-581.0;233.0
?;-330.0;-1062.0;-751.0;-932.0;267.0;682.0;-723.0;711.0
920.0;-278.0;-1028.0;-683.0;?;353.0;695.0;?;802.0
906.0;-330.0;-1021.0;?;?;?;649.0;-720.0;999.0
917.0;-379.0;-1065.0;-431.0;-630.0;?;585.0;-785.0;1117.0
904.0;-371.0;-1083.0;-430.0;-715.0;?;?;-813.0;1066.0
935.0;-384.0;?;-435.0;?;486.0;376.0;?;1127.0
