Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer LUA^ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit RLA magneticX;Accelerometer RKN^ accX;Accelerometer RWR accY;InertialMeasurementUnit LLA magneticY;Accelerometer BACK accY
286.0;-956.0;1051.0;606.0;889.0;-785.0;878.0;165.0;685.0;-16.0;902.0
947.0;-784.0;706.0;536.0;823.0;-575.0;-509.0;184.0;2.0;734.0;871.0
318.0;-866.0;1049.0;345.0;940.0;-833.0;1257.0;395.0;573.0;138.0;606.0
239.0;-974.0;1086.0;313.0;966.0;-838.0;-17.0;191.0;744.0;440.0;843.0
185.0;-963.0;1055.0;333.0;942.0;-844.0;5.0;-54.0;767.0;418.0;824.0
124.0;-922.0;938.0;277.0;1019.0;-810.0;34.0;300.0;713.0;361.0;938.0
296.0;-955.0;1072.0;267.0;954.0;-803.0;-8.0;10.0;734.0;460.0;930.0
215.0;-961.0;1089.0;341.0;990.0;-847.0;71.0;189.0;714.0;445.0;850.0
156.0;-883.0;1222.0;334.0;834.0;-764.0;50.0;276.0;871.0;405.0;783.0
174.0;-1000.0;1067.0;365.0;1029.0;-902.0;54.0;-17.0;732.0;459.0;848.0
463.0;-1030.0;1014.0;199.0;389.0;-397.0;313.0;365.0;87.0;288.0;979.0
222.0;-961.0;1048.0;287.0;988.0;-840.0;72.0;151.0;710.0;369.0;859.0
214.0;-945.0;1042.0;321.0;953.0;-821.0;63.0;205.0;736.0;382.0;837.0
240.0;-921.0;1045.0;315.0;951.0;-799.0;60.0;149.0;749.0;393.0;829.0
237.0;-950.0;1060.0;311.0;971.0;-834.0;60.0;197.0;728.0;442.0;843.0
221.0;-954.0;1055.0;313.0;989.0;-831.0;70.0;188.0;754.0;473.0;838.0
245.0;-939.0;1008.0;309.0;968.0;-799.0;66.0;246.0;700.0;477.0;576.0
546.0;-992.0;945.0;243.0;447.0;-360.0;282.0;391.0;15.0;312.0;872.0
177.0;-909.0;1100.0;407.0;976.0;-856.0;63.0;284.0;907.0;422.0;820.0
228.0;-983.0;1071.0;389.0;988.0;-850.0;46.0;269.0;742.0;502.0;897.0
269.0;-986.0;1097.0;365.0;1000.0;-852.0;61.0;249.0;790.0;480.0;921.0
262.0;-975.0;1094.0;353.0;1006.0;-835.0;68.0;218.0;811.0;466.0;884.0
