Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RWR accZ;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LWR accZ
316.0;942.0;264.0;821.0;702.0;748.0;-876.0;-194.0;38.0
507.0;962.0;-187.0;865.0;1094.0;609.0;-921.0;-358.0;493.0
361.0;934.0;-272.0;874.0;1013.0;589.0;-948.0;-335.0;410.0
368.0;943.0;-222.0;857.0;990.0;592.0;-947.0;-317.0;393.0
366.0;935.0;-260.0;830.0;996.0;608.0;-929.0;-411.0;453.0
401.0;901.0;-262.0;843.0;1034.0;677.0;-927.0;-368.0;451.0
427.0;893.0;-199.0;766.0;967.0;663.0;-963.0;-270.0;385.0
402.0;948.0;-238.0;849.0;964.0;611.0;-948.0;-370.0;384.0
380.0;952.0;-216.0;862.0;1005.0;581.0;-939.0;-324.0;392.0
369.0;953.0;-214.0;857.0;997.0;670.0;-929.0;-316.0;396.0
350.0;955.0;-221.0;860.0;972.0;607.0;-947.0;-307.0;384.0
317.0;921.0;-147.0;857.0;968.0;659.0;-999.0;-274.0;327.0
372.0;933.0;-220.0;877.0;988.0;600.0;-940.0;-343.0;374.0
363.0;943.0;-220.0;849.0;986.0;618.0;-952.0;-336.0;393.0
360.0;927.0;-214.0;887.0;986.0;579.0;-945.0;-337.0;401.0
385.0;960.0;-210.0;852.0;996.0;617.0;-958.0;-322.0;416.0
352.0;944.0;-203.0;869.0;975.0;610.0;-956.0;-309.0;377.0
349.0;969.0;-191.0;890.0;985.0;610.0;-958.0;-308.0;402.0
350.0;933.0;-125.0;867.0;1046.0;588.0;-961.0;-219.0;503.0
303.0;1001.0;-171.0;950.0;1082.0;779.0;-896.0;-343.0;428.0
417.0;947.0;-342.0;1019.0;1190.0;547.0;-868.0;-498.0;468.0
311.0;946.0;-212.0;872.0;1002.0;502.0;-934.0;-318.0;279.0
409.0;962.0;-178.0;846.0;888.0;685.0;-937.0;-429.0;395.0
513.0;855.0;113.0;674.0;502.0;806.0;-844.0;-541.0;635.0
573.0;839.0;-260.0;690.0;811.0;755.0;-867.0;-510.0;497.0
1009.0;-162.0;-770.0;-402.0;-422.0;789.0;103.0;-1003.0;739.0
341.0;949.0;-181.0;765.0;820.0;578.0;-945.0;-209.0;631.0
445.0;867.0;-211.0;860.0;1056.0;875.0;-929.0;-345.0;566.0
433.0;938.0;-192.0;865.0;969.0;597.0;-935.0;-311.0;404.0
348.0;895.0;21.0;826.0;892.0;743.0;-1003.0;-213.0;353.0
592.0;810.0;-238.0;725.0;908.0;610.0;-634.0;-515.0;492.0
434.0;1084.0;-318.0;844.0;934.0;554.0;-859.0;-545.0;282.0
432.0;931.0;-235.0;794.0;877.0;682.0;-916.0;-418.0;437.0
352.0;919.0;-25.0;880.0;1041.0;538.0;-1075.0;-343.0;494.0
493.0;809.0;-418.0;746.0;891.0;513.0;-822.0;-414.0;650.0
338.0;946.0;-211.0;888.0;977.0;642.0;-950.0;-325.0;396.0
148.0;1010.0;-156.0;1222.0;1101.0;554.0;-1036.0;-104.0;389.0
218.0;943.0;-75.0;926.0;1091.0;597.0;-1107.0;-280.0;213.0
390.0;948.0;-207.0;867.0;1012.0;592.0;-940.0;-307.0;393.0
334.0;934.0;-37.0;934.0;1106.0;781.0;-991.0;-237.0;380.0
220.0;988.0;11.0;934.0;1047.0;688.0;-972.0;-129.0;314.0
310.0;1099.0;44.0;546.0;577.0;983.0;-770.0;-554.0;497.0
439.0;978.0;-298.0;893.0;1177.0;765.0;-876.0;-458.0;514.0
295.0;1008.0;-263.0;901.0;1051.0;550.0;-1123.0;-274.0;262.0
262.0;1164.0;-195.0;863.0;810.0;768.0;-770.0;-125.0;226.0
330.0;1052.0;-185.0;861.0;1012.0;476.0;-1038.0;-455.0;368.0
312.0;979.0;-97.0;905.0;1040.0;681.0;-973.0;-247.0;385.0
437.0;914.0;-180.0;850.0;1082.0;431.0;-898.0;-293.0;500.0
329.0;947.0;-229.0;912.0;1005.0;566.0;-966.0;-338.0;386.0
383.0;932.0;-224.0;880.0;1006.0;593.0;-946.0;-328.0;417.0
439.0;874.0;-191.0;785.0;990.0;546.0;-843.0;-288.0;429.0
320.0;949.0;-124.0;904.0;1014.0;555.0;-981.0;-276.0;333.0
211.0;858.0;-326.0;829.0;870.0;500.0;-1477.0;-345.0;305.0
389.0;880.0;-261.0;830.0;970.0;588.0;-927.0;-362.0;423.0
311.0;964.0;-337.0;861.0;979.0;581.0;-953.0;-371.0;276.0
217.0;894.0;-228.0;812.0;918.0;525.0;-1155.0;-392.0;255.0
372.0;982.0;-230.0;869.0;1011.0;576.0;-957.0;-328.0;434.0
396.0;1074.0;-165.0;852.0;1013.0;471.0;-910.0;-170.0;246.0
377.0;953.0;-172.0;869.0;1007.0;566.0;-953.0;-294.0;376.0
333.0;979.0;-155.0;888.0;968.0;501.0;-1003.0;-244.0;365.0
422.0;1268.0;-363.0;1068.0;1383.0;485.0;-742.0;-388.0;519.0
574.0;733.0;-31.0;653.0;642.0;648.0;-698.0;-330.0;60.0
475.0;892.0;-194.0;775.0;1083.0;524.0;-1008.0;-247.0;457.0
441.0;1107.0;-195.0;1199.0;1418.0;777.0;-896.0;-341.0;515.0
358.0;950.0;-223.0;882.0;1020.0;560.0;-943.0;-315.0;425.0
393.0;966.0;-304.0;875.0;1090.0;543.0;-909.0;-335.0;554.0
284.0;829.0;-349.0;968.0;1091.0;511.0;-1114.0;-486.0;352.0
386.0;942.0;-260.0;858.0;978.0;661.0;-956.0;-311.0;374.0
359.0;1009.0;-201.0;834.0;933.0;446.0;-910.0;-311.0;387.0
363.0;970.0;-215.0;878.0;983.0;552.0;-944.0;-322.0;383.0
339.0;962.0;-213.0;875.0;987.0;626.0;-951.0;-337.0;389.0
437.0;971.0;-116.0;784.0;1101.0;556.0;-809.0;-535.0;447.0
388.0;951.0;-250.0;842.0;989.0;592.0;-943.0;-350.0;445.0
315.0;1230.0;-212.0;1126.0;1232.0;578.0;-1006.0;-316.0;316.0
430.0;960.0;-293.0;885.0;1039.0;610.0;-972.0;-448.0;547.0
323.0;952.0;-216.0;864.0;1007.0;591.0;-937.0;-340.0;405.0
376.0;953.0;-237.0;882.0;974.0;593.0;-941.0;-322.0;412.0
883.0;571.0;-283.0;278.0;315.0;876.0;-468.0;-773.0;552.0
318.0;829.0;-132.0;975.0;1153.0;422.0;-945.0;-340.0;308.0
442.0;1044.0;-253.0;934.0;1149.0;579.0;-909.0;-379.0;510.0
387.0;1054.0;-255.0;959.0;1176.0;485.0;-859.0;-319.0;417.0
207.0;1124.0;-379.0;914.0;1005.0;538.0;-904.0;-502.0;271.0
331.0;1121.0;-319.0;1105.0;1151.0;702.0;-1061.0;-526.0;420.0
387.0;953.0;-244.0;861.0;995.0;394.0;-950.0;-342.0;392.0
349.0;971.0;-169.0;885.0;1007.0;541.0;-952.0;-322.0;375.0
405.0;964.0;-200.0;923.0;914.0;603.0;-1017.0;-326.0;434.0
447.0;923.0;-264.0;823.0;979.0;349.0;-924.0;-381.0;474.0
326.0;961.0;-133.0;903.0;1033.0;925.0;-983.0;-295.0;390.0
415.0;1090.0;-158.0;973.0;1233.0;575.0;-838.0;-241.0;567.0
322.0;1049.0;-126.0;849.0;811.0;503.0;-738.0;-395.0;59.0
302.0;981.0;-208.0;897.0;977.0;517.0;-938.0;-318.0;328.0
479.0;1089.0;-383.0;1015.0;1321.0;498.0;-730.0;-420.0;485.0
303.0;951.0;-139.0;912.0;1026.0;803.0;-953.0;-221.0;392.0
403.0;929.0;-202.0;841.0;1014.0;956.0;-955.0;-328.0;413.0
410.0;772.0;-37.0;761.0;1169.0;624.0;-870.0;-193.0;139.0
51.0;1004.0;339.0;976.0;1036.0;615.0;-1003.0;-53.0;185.0
403.0;758.0;-31.0;699.0;828.0;491.0;-970.0;-256.0;360.0
236.0;1075.0;-202.0;935.0;1234.0;528.0;-1129.0;-259.0;606.0
329.0;1001.0;-266.0;858.0;1112.0;547.0;-876.0;-394.0;424.0
218.0;1092.0;-366.0;1055.0;1128.0;410.0;-1189.0;-393.0;421.0
