Accelerometer LUA^ accY;InertialMeasurementUnit LUA magneticX;Accelerometer RKN^ accY;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit R-SHOE EuY
969.0;692.0;1002.0;394.0;-70.0;120.0;200.0;163.0;-983.0;-28
883.0;274.0;880.0;143.0;-574.0;105.0;69.0;290.0;-1210.0;-27
889.0;620.0;1048.0;89.0;-54.0;155.0;279.0;114.0;-850.0;-29
959.0;273.0;1011.0;-55.0;30.0;265.0;132.0;71.0;-944.0;-26
774.0;183.0;974.0;358.0;-99.0;210.0;80.0;-101.0;-963.0;-26
917.0;241.0;988.0;119.0;-79.0;247.0;171.0;156.0;-905.0;-25
873.0;209.0;1024.0;231.0;-152.0;395.0;268.0;64.0;-1055.0;-26
496.0;-761.0;304.0;893.0;-590.0;821.0;3.0;-344.0;-593.0;-73
141.0;-101.0;1028.0;-12.0;-82.0;874.0;335.0;-411.0;-508.0;-24
787.0;-225.0;289.0;894.0;-635.0;530.0;15.0;-507.0;-821.0;-69
913.0;294.0;1000.0;239.0;35.0;300.0;93.0;152.0;-1036.0;-26
972.0;357.0;981.0;163.0;142.0;219.0;73.0;237.0;-1022.0;-26
809.0;563.0;941.0;66.0;-377.0;305.0;305.0;59.0;-916.0;-40
929.0;592.0;1026.0;58.0;-190.0;142.0;250.0;1.0;-938.0;-29
921.0;604.0;1023.0;-36.0;-169.0;107.0;253.0;55.0;-945.0;-29
1113.0;956.0;1360.0;-418.0;-197.0;37.0;408.0;141.0;-1118.0;-61
947.0;375.0;952.0;459.0;-161.0;85.0;479.0;273.0;-946.0;-28
962.0;415.0;1031.0;64.0;376.0;178.0;300.0;1.0;-941.0;-27
905.0;513.0;985.0;-59.0;561.0;-167.0;369.0;58.0;-908.0;-26
1006.0;285.0;979.0;304.0;81.0;204.0;129.0;133.0;-967.0;-26
1017.0;287.0;994.0;310.0;91.0;235.0;44.0;243.0;-932.0;-26
842.0;253.0;997.0;207.0;112.0;493.0;241.0;-625.0;-801.0;-24
912.0;295.0;982.0;299.0;127.0;319.0;147.0;-108.0;-950.0;-26
932.0;294.0;1027.0;231.0;140.0;289.0;147.0;180.0;-954.0;-26
910.0;293.0;1032.0;89.0;177.0;336.0;185.0;108.0;-948.0;-26
904.0;297.0;1023.0;74.0;183.0;301.0;159.0;127.0;-945.0;-26
902.0;293.0;1025.0;48.0;196.0;320.0;140.0;236.0;-919.0;-26
892.0;278.0;1021.0;20.0;239.0;297.0;223.0;92.0;-910.0;-26
886.0;272.0;1023.0;24.0;248.0;348.0;225.0;169.0;-919.0;-26
873.0;223.0;917.0;52.0;68.0;269.0;340.0;18.0;-986.0;-24
773.0;571.0;1045.0;219.0;389.0;-227.0;585.0;-18.0;-738.0;-37
1066.0;619.0;422.0;1542.0;339.0;157.0;196.0;127.0;-1073.0;-21
833.0;562.0;1174.0;243.0;460.0;96.0;359.0;116.0;-1180.0;-65
1032.0;365.0;1020.0;262.0;-122.0;265.0;137.0;69.0;-990.0;-41
843.0;246.0;1015.0;8.0;-317.0;126.0;41.0;-177.0;-811.0;-68
990.0;597.0;954.0;100.0;202.0;327.0;93.0;99.0;-940.0;-31
905.0;705.0;989.0;138.0;316.0;347.0;-22.0;-78.0;-931.0;-30
831.0;544.0;943.0;312.0;1.0;327.0;290.0;153.0;-883.0;-42
835.0;513.0;984.0;216.0;-93.0;223.0;327.0;233.0;-881.0;-27
922.0;604.0;892.0;-247.0;-310.0;57.0;521.0;-10.0;-896.0;-51
758.0;322.0;894.0;538.0;-572.0;271.0;248.0;81.0;-1051.0;-29
855.0;504.0;1014.0;68.0;-121.0;295.0;302.0;215.0;-885.0;-27
853.0;504.0;1041.0;4.0;-125.0;258.0;278.0;233.0;-893.0;-27
945.0;771.0;994.0;255.0;705.0;-64.0;341.0;203.0;-946.0;-42
864.0;509.0;987.0;37.0;-131.0;294.0;237.0;198.0;-905.0;-27
1195.0;560.0;1234.0;-298.0;-251.0;399.0;325.0;314.0;-1144.0;-19
855.0;509.0;1007.0;-13.0;-148.0;304.0;261.0;207.0;-916.0;-26
765.0;532.0;887.0;-231.0;-233.0;148.0;195.0;101.0;-755.0;-32
875.0;506.0;1020.0;-19.0;-170.0;329.0;286.0;156.0;-906.0;-26
856.0;497.0;1038.0;-12.0;-199.0;320.0;270.0;87.0;-903.0;-26
861.0;498.0;1015.0;19.0;-206.0;347.0;281.0;80.0;-902.0;-26
974.0;382.0;977.0;354.0;-331.0;46.0;374.0;133.0;-877.0;-25
763.0;360.0;831.0;569.0;-613.0;203.0;343.0;-17.0;-840.0;-30
872.0;394.0;962.0;277.0;-340.0;93.0;428.0;81.0;-891.0;-25
875.0;396.0;993.0;180.0;-332.0;60.0;419.0;43.0;-907.0;-25
892.0;394.0;1013.0;186.0;-333.0;79.0;417.0;61.0;-897.0;-25
878.0;678.0;992.0;-91.0;-79.0;224.0;300.0;37.0;-976.0;-40
911.0;611.0;1021.0;-10.0;-170.0;153.0;306.0;57.0;-931.0;-28
887.0;593.0;1006.0;8.0;-221.0;224.0;294.0;46.0;-915.0;-28
775.0;728.0;1138.0;-237.0;-340.0;188.0;278.0;72.0;-828.0;-9
893.0;592.0;1003.0;20.0;-220.0;182.0;290.0;55.0;-917.0;-28
904.0;629.0;1021.0;19.0;-142.0;197.0;280.0;60.0;-939.0;-27
910.0;584.0;1030.0;-14.0;-146.0;149.0;367.0;43.0;-929.0;-27
898.0;564.0;1010.0;30.0;-169.0;143.0;375.0;33.0;-908.0;-27
881.0;553.0;1025.0;111.0;-181.0;140.0;377.0;12.0;-893.0;-27
912.0;549.0;991.0;285.0;-189.0;220.0;245.0;186.0;-955.0;-3
964.0;571.0;998.0;284.0;-164.0;212.0;210.0;89.0;-1057.0;-3
911.0;574.0;998.0;88.0;-201.0;193.0;237.0;43.0;-951.0;-3
891.0;567.0;1019.0;22.0;-182.0;141.0;322.0;63.0;-974.0;-3
886.0;558.0;1013.0;29.0;-195.0;111.0;350.0;33.0;-959.0;-3
921.0;527.0;1007.0;50.0;-244.0;134.0;387.0;42.0;-946.0;-3
913.0;513.0;991.0;103.0;-264.0;117.0;428.0;51.0;-932.0;-3
863.0;592.0;964.0;-1.0;-66.0;178.0;191.0;197.0;-998.0;-8
831.0;555.0;948.0;76.0;-91.0;135.0;168.0;213.0;-1048.0;-8
903.0;410.0;1017.0;76.0;-199.0;276.0;179.0;86.0;-1018.0;-35
1048.0;467.0;987.0;-167.0;-170.0;52.0;148.0;185.0;-1184.0;-33
1005.0;364.0;1026.0;82.0;271.0;80.0;395.0;224.0;-888.0;-54
898.0;382.0;986.0;56.0;270.0;265.0;240.0;10.0;-942.0;-34
947.0;335.0;1146.0;597.0;170.0;193.0;305.0;-71.0;-837.0;-25
885.0;380.0;979.0;-14.0;272.0;263.0;236.0;-26.0;-921.0;-38
1067.0;502.0;1066.0;114.0;33.0;192.0;207.0;125.0;-726.0;-39
