Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;Accelerometer BACK accZ;Accelerometer HIP accZ;InertialMeasurementUnit RLA accZ
-312.0;17.0;-176;-510.0;465.0;450.0
-339.0;6.0;-177;-453.0;463.0;472.0
-266.0;59.0;-177;-446.0;412.0;457.0
-186.0;86.0;-163;-654.0;530.0;432.0
-253.0;122.0;-175;-614.0;337.0;450.0
-300.0;38.0;-177;-473.0;375.0;483.0
-154.0;-21.0;-183;-558.0;377.0;477.0
-176.0;58.0;-174;-610.0;414.0;494.0
-300.0;132.0;-177;-478.0;352.0;356.0
-154.0;145.0;-168;-635.0;364.0;572.0
-308.0;26.0;-177;-447.0;435.0;467.0
-324.0;-4.0;-167;-677.0;352.0;145.0
-145.0;59.0;-174;-589.0;417.0;496.0
-430.0;-4.0;-170;-593.0;336.0;428.0
-137.0;234.0;-176;-713.0;568.0;631.0
-314.0;-2.0;-180;-616.0;384.0;421.0
-151.0;-215.0;-145;-695.0;350.0;644.0
-172.0;54.0;-174;-601.0;393.0;500.0
-344.0;4.0;-195;-619.0;328.0;403.0
-130.0;31.0;-177;-594.0;383.0;562.0
-197.0;20.0;-174;-641.0;400.0;506.0
-209.0;40.0;-176;-805.0;466.0;665.0
-122.0;186.0;-175;-779.0;575.0;627.0
-383.0;-84.0;-161;-450.0;443.0;414.0
-388.0;-42.0;-168;-603.0;421.0;465.0
-265.0;-61.0;-176;-575.0;216.0;519.0
-319.0;72.0;-176;-510.0;448.0;460.0
-73.0;6.0;-179;-769.0;192.0;501.0
-186.0;132.0;-164;-405.0;285.0;559.0
151.0;184.0;178;-851.0;71.0;374.0
33.0;118.0;-176;-742.0;394.0;565.0
-196.0;153.0;-178;-564.0;278.0;369.0
-281.0;35.0;170;-538.0;198.0;390.0
-315.0;16.0;-176;-415.0;224.0;593.0
-489.0;-198.0;-177;-647.0;469.0;904.0
-202.0;132.0;-175;-479.0;155.0;398.0
-52.0;132.0;175;-620.0;354.0;376.0
-297.0;24.0;-193;-520.0;387.0;510.0
-296.0;-26.0;-176;-461.0;219.0;386.0
-281.0;34.0;-177;-457.0;388.0;474.0
-334.0;-69.0;179;-710.0;321.0;431.0
-351.0;-88.0;-182;-510.0;391.0;484.0
-504.0;-50.0;178;-440.0;384.0;662.0
-285.0;-18.0;-174;-471.0;376.0;572.0
-19.0;140.0;-175;-578.0;359.0;888.0
-34.0;241.0;-159;-482.0;284.0;324.0
-335.0;-56.0;-220;-540.0;368.0;425.0
-650.0;-550.0;-171;-671.0;627.0;862.0
-509.0;-42.0;-98;-480.0;420.0;460.0
-401.0;175.0;-180;-499.0;342.0;355.0
-379.0;-235.0;-165;-617.0;415.0;640.0
-603.0;-274.0;-189;-611.0;434.0;656.0
-441.0;-138.0;-41;-947.0;437.0;453.0
-338.0;58.0;-179;-592.0;389.0;653.0
-183.0;251.0;-176;-530.0;230.0;562.0
-254.0;94.0;-178;-637.0;495.0;722.0
-130.0;72.0;-182;-416.0;359.0;676.0
-422.0;102.0;-170;-641.0;704.0;467.0
-349.0;-17.0;-177;-459.0;425.0;517.0
-290.0;-3.0;-177;-540.0;517.0;593.0
-373.0;10.0;-177;-442.0;407.0;453.0
-302.0;5.0;152;-478.0;351.0;263.0
-477.0;57.0;-179;-462.0;464.0;669.0
-264.0;78.0;-184;-696.0;266.0;565.0
-256.0;5.0;-176;-372.0;363.0;383.0
-329.0;125.0;-179;-434.0;362.0;501.0
-359.0;-27.0;-177;-431.0;437.0;494.0
-342.0;-27.0;-178;-521.0;416.0;500.0
-356.0;9.0;-178;-500.0;403.0;492.0
-86.0;130.0;-174;-847.0;-383.0;245.0
-118.0;57.0;-174;-599.0;399.0;496.0
-424.0;57.0;-179;-477.0;475.0;544.0
-270.0;29.0;-176;-441.0;444.0;458.0
-456.0;-201.0;-166;-564.0;513.0;465.0
-553.0;-187.0;134;-619.0;202.0;314.0
226.0;235.0;-177;-642.0;299.0;462.0
28.0;146.0;-171;-799.0;651.0;506.0
-429.0;-50.0;-178;-449.0;413.0;508.0
-290.0;39.0;-176;-411.0;436.0;452.0
83.0;119.0;-176;-580.0;397.0;207.0
33.0;255.0;-177;-511.0;425.0;545.0
-295.0;-46.0;-178;-514.0;432.0;517.0
-376.0;20.0;-179;-518.0;391.0;375.0
-489.0;-7.0;-170;-764.0;514.0;359.0
-742.0;-141.0;-175;-402.0;393.0;948.0
-380.0;-109.0;-176;-776.0;288.0;445.0
-422.0;159.0;-180;-503.0;376.0;426.0
-336.0;-61.0;-213;-428.0;406.0;413.0
-425.0;59.0;-179;-616.0;420.0;853.0
-548.0;-193.0;-178;-690.0;365.0;469.0
-174.0;102.0;-176;-763.0;451.0;671.0
-171.0;46.0;-108;-822.0;-218.0;515.0
-332.0;194.0;-177;-525.0;391.0;748.0
-760.0;-247.0;-176;-668.0;607.0;812.0
-331.0;-8.0;-192;-432.0;415.0;619.0
-323.0;13.0;-170;-359.0;316.0;524.0
-345.0;340.0;-174;-531.0;324.0;515.0
-38.0;-40.0;-175;-470.0;360.0;432.0
-336.0;118.0;-191;-450.0;255.0;299.0
-261.0;35.0;173;-429.0;310.0;587.0
