InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;Accelerometer RUA_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RUA magneticZ;Accelerometer LH accX;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA gyroZ;Accelerometer RKN_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4
1;202.0;1030.0;-1;791.0;-346.0;997.0;-7;377.0;782.0;-34.0;-181.0;119.0
-23;93.0;702.0;23;309.0;274.0;218.0;2;954.0;662.0;-110.0;383.0;-287.0
-32;892.0;674.0;32;726.0;-60.0;1073.0;10;248.0;172.0;59.0;-71.0;78.0
-200;144.0;342.0;200;294.0;-483.0;426.0;9;213.0;-393.0;-129.0;330.0;-325.0
4;825.0;602.0;-4;575.0;-52.0;590.0;29;60.0;-110.0;-149.0;-80.0;75.0
-155;660.0;511.0;155;720.0;-76.0;576.0;40;43.0;83.0;172.0;-100.0;69.0
-56;208.0;317.0;56;273.0;-462.0;292.0;12;235.0;-68.0;-171.0;302.0;-315.0
-166;237.0;235.0;166;180.0;-503.0;293.0;-49;148.0;75.0;-111.0;300.0;-336.0
199;218.0;234.0;-199;238.0;-514.0;387.0;-32;115.0;52.0;-143.0;311.0;-342.0
14;227.0;144.0;-14;296.0;-537.0;282.0;-2;18.0;71.0;-6.0;382.0;-359.0
18;213.0;909.0;-18;740.0;-649.0;488.0;2;141.0;483.0;9.0;465.0;-529.0
-9;494.0;521.0;9;265.0;-235.0;519.0;600;326.0;333.0;-628.0;216.0;-117.0
-120;235.0;231.0;120;197.0;-472.0;307.0;-53;136.0;56.0;-46.0;270.0;-275.0
-27;257.0;228.0;27;209.0;-476.0;370.0;-182;143.0;103.0;-137.0;254.0;-271.0
132;320.0;203.0;-132;215.0;-481.0;334.0;27;-125.0;81.0;-328.0;297.0;-254.0
-3;294.0;221.0;3;257.0;-433.0;474.0;-39;237.0;-44.0;-46.0;309.0;-235.0
13;59.0;319.0;-13;243.0;-461.0;755.0;-1;200.0;94.0;-172.0;362.0;-314.0
36;25.0;301.0;-36;258.0;-494.0;597.0;7;208.0;-96.0;-191.0;411.0;-339.0
7;78.0;274.0;-7;242.0;-495.0;471.0;-3;181.0;217.0;-137.0;404.0;-338.0
-36;132.0;323.0;36;318.0;-448.0;254.0;1;210.0;-300.0;-175.0;339.0;-294.0
-6;133.0;247.0;6;300.0;-463.0;176.0;-1;126.0;93.0;-189.0;345.0;-299.0
-7;64.0;300.0;7;292.0;-449.0;370.0;-6;288.0;-395.0;-137.0;336.0;-294.0
2;103.0;271.0;-2;228.0;-471.0;349.0;-9;187.0;27.0;-118.0;345.0;-300.0
-11;123.0;375.0;11;531.0;-425.0;325.0;-7;199.0;819.0;-128.0;323.0;-288.0
24;131.0;486.0;-24;571.0;-421.0;325.0;-1;244.0;-138.0;-156.0;314.0;-283.0
15;120.0;419.0;-15;468.0;-437.0;330.0;0;256.0;-701.0;-132.0;320.0;-294.0
6;122.0;265.0;-6;302.0;-467.0;233.0;1;187.0;-559.0;-127.0;337.0;-317.0
-20;115.0;260.0;20;243.0;-511.0;325.0;-2;216.0;544.0;-111.0;369.0;-348.0
-18;80.0;266.0;18;303.0;-489.0;264.0;-8;176.0;-135.0;-120.0;380.0;-334.0
-17;111.0;278.0;17;295.0;-472.0;358.0;-7;210.0;79.0;-103.0;374.0;-317.0
-7;88.0;252.0;7;282.0;-448.0;370.0;-3;206.0;112.0;-103.0;358.0;-293.0
5;113.0;291.0;-5;312.0;-394.0;322.0;-3;228.0;-226.0;-130.0;325.0;-269.0
0;115.0;282.0;0;271.0;-356.0;362.0;0;219.0;-62.0;-93.0;305.0;-246.0
24;112.0;292.0;-24;269.0;-341.0;339.0;-6;250.0;-249.0;-119.0;297.0;-238.0
24;106.0;300.0;-24;342.0;-337.0;308.0;-4;232.0;-268.0;-118.0;296.0;-236.0
-7;88.0;310.0;7;318.0;-340.0;340.0;0;251.0;-60.0;-114.0;308.0;-240.0
-35;70.0;298.0;35;310.0;-398.0;323.0;2;239.0;-27.0;-109.0;336.0;-267.0
-13;59.0;313.0;13;322.0;-396.0;359.0;0;246.0;-22.0;-89.0;337.0;-267.0
-26;68.0;319.0;26;331.0;-395.0;364.0;3;244.0;40.0;-88.0;338.0;-267.0
5;83.0;290.0;-5;304.0;-389.0;325.0;-2;220.0;76.0;-109.0;336.0;-261.0
22;110.0;244.0;-22;276.0;-403.0;380.0;-3;182.0;39.0;-105.0;331.0;-272.0
2;107.0;269.0;-2;291.0;-402.0;256.0;11;221.0;73.0;-100.0;333.0;-275.0
-26;178.0;281.0;26;347.0;-368.0;230.0;-3;186.0;-173.0;-108.0;304.0;-253.0
-15;176.0;226.0;15;244.0;-353.0;220.0;8;186.0;155.0;-134.0;290.0;-234.0
-21;177.0;252.0;21;255.0;-350.0;289.0;1;181.0;94.0;-108.0;290.0;-231.0
2;150.0;286.0;-2;304.0;-328.0;350.0;-2;226.0;-38.0;-119.0;289.0;-218.0
-14;135.0;314.0;14;329.0;-318.0;340.0;0;253.0;-52.0;-88.0;289.0;-214.0
15;140.0;255.0;-15;258.0;-336.0;351.0;-6;201.0;-6.0;-121.0;292.0;-223.0
13;127.0;300.0;-13;312.0;-325.0;367.0;-1;228.0;39.0;-126.0;292.0;-220.0
1;104.0;311.0;-1;314.0;-340.0;290.0;4;261.0;-78.0;-109.0;301.0;-236.0
1;131.0;281.0;-1;312.0;-364.0;330.0;11;180.0;-44.0;-112.0;315.0;-251.0
-8;128.0;261.0;8;315.0;-376.0;376.0;0;174.0;63.0;-120.0;319.0;-259.0
26;166.0;270.0;-26;270.0;-510.0;387.0;-2;255.0;197.0;-80.0;366.0;-372.0
8;178.0;211.0;-8;313.0;-605.0;234.0;1;79.0;571.0;-80.0;451.0;-461.0
8;519.0;542.0;-8;446.0;-148.0;326.0;839;200.0;-99.0;41.0;221.0;-94.0
-6;429.0;171.0;6;82.0;-73.0;-71.0;14;77.0;41.0;158.0;206.0;-24.0
24;490.0;467.0;-24;562.0;-134.0;281.0;821;267.0;59.0;104.0;213.0;-87.0
52;221.0;281.0;-52;202.0;-238.0;403.0;0;171.0;132.0;-16.0;206.0;-139.0
355;846.0;514.0;-355;265.0;-81.0;594.0;238;289.0;447.0;-722.0;38.0;155.0
316;838.0;536.0;-316;300.0;-75.0;668.0;218;407.0;113.0;-791.0;43.0;156.0
78;150.0;302.0;-78;208.0;-384.0;537.0;16;307.0;-548.0;29.0;278.0;-274.0
100;154.0;305.0;-100;191.0;-412.0;527.0;17;260.0;-587.0;51.0;292.0;-295.0
103;137.0;264.0;-103;159.0;-436.0;508.0;12;268.0;-422.0;32.0;307.0;-316.0
-14;557.0;540.0;14;940.0;199.0;604.0;-2;83.0;81.0;107.0;-45.0;-152.0
-14;457.0;402.0;14;1109.0;178.0;549.0;13;490.0;30.0;-291.0;-60.0;-135.0
273;175.0;390.0;-273;212.0;-327.0;215.0;19;-76.0;94.0;-23.0;-286.0;212.0
319;267.0;315.0;-319;293.0;-339.0;132.0;53;-60.0;-261.0;-17.0;-294.0;229.0
41;932.0;602.0;-41;503.0;-71.0;786.0;-9;128.0;-93.0;-59.0;-144.0;936.0
12;327.0;542.0;-12;300.0;-348.0;900.0;10;271.0;535.0;-206.0;-490.0;833.0
1;654.0;997.0;-1;250.0;187.0;404.0;-7;254.0;460.0;-395.0;237.0;138.0
-28;370.0;233.0;28;494.0;-102.0;130.0;52;324.0;86.0;-338.0;-501.0;857.0
-49;106.0;964.0;49;825.0;-628.0;89.0;-124;112.0;129.0;-89.0;-460.0;467.0
43;748.0;215.0;-43;-205.0;-42.0;-106.0;126;265.0;-150.0;3.0;-199.0;-162.0
204;304.0;696.0;-204;677.0;422.0;386.0;-70;450.0;-30.0;-70.0;-438.0;683.0
14;748.0;-136.0;-14;6.0;35.0;2.0;152;230.0;305.0;-51.0;-176.0;-163.0
-9;949.0;252.0;9;439.0;-259.0;422.0;7;-110.0;105.0;-318.0;16.0;876.0
-38;906.0;526.0;38;429.0;65.0;389.0;23;153.0;-374.0;-301.0;-67.0;888.0
26;347.0;138.0;-26;228.0;-65.0;259.0;-3;51.0;-85.0;185.0;-568.0;816.0
33;332.0;132.0;-33;231.0;-49.0;489.0;0;24.0;-113.0;28.0;-562.0;819.0
29;274.0;174.0;-29;246.0;-111.0;546.0;13;115.0;-127.0;38.0;-571.0;813.0
47;263.0;194.0;-47;248.0;-123.0;230.0;2;135.0;-225.0;28.0;-572.0;813.0
314;155.0;304.0;-314;333.0;-527.0;356.0;28;291.0;-213.0;-255.0;-564.0;682.0
78;195.0;337.0;-78;491.0;-48.0;472.0;-50;402.0;-61.0;-524.0;-571.0;799.0
42;259.0;367.0;-42;508.0;-143.0;133.0;60;209.0;186.0;-11.0;-591.0;802.0
-47;287.0;355.0;47;524.0;-172.0;379.0;3;183.0;26.0;-97.0;-593.0;801.0
