Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;Accelerometer BACK accZ;Accelerometer HIP accZ;InertialMeasurementUnit RLA accZ
-88.0;125.0;-160;-468.0;362.0;352.0
-169.0;57.0;-174;-599.0;398.0;502.0
-109.0;38.0;-174;-607.0;400.0;504.0
-176.0;58.0;-174;-610.0;414.0;494.0
-231.0;54.0;-174;-619.0;391.0;496.0
-147.0;93.0;-174;-609.0;455.0;515.0
-171.0;55.0;-174;-606.0;387.0;492.0
-167.0;57.0;-174;-618.0;409.0;500.0
-126.0;32.0;-191;-619.0;464.0;367.0
-186.0;75.0;-174;-590.0;405.0;498.0
-145.0;59.0;-174;-589.0;417.0;496.0
-119.0;94.0;-174;-579.0;398.0;514.0
-167.0;58.0;-174;-602.0;424.0;504.0
-414.0;-111.0;-177;-868.0;306.0;242.0
-185.0;90.0;-174;-611.0;397.0;519.0
-271.0;39.0;-174;-490.0;434.0;449.0
-280.0;-91.0;-177;-584.0;339.0;495.0
-172.0;54.0;-174;-601.0;393.0;500.0
-347.0;97.0;-177;-589.0;385.0;653.0
-157.0;29.0;-174;-610.0;385.0;496.0
-186.0;38.0;-174;-629.0;385.0;501.0
-197.0;20.0;-174;-641.0;400.0;506.0
-222.0;70.0;-179;-611.0;511.0;556.0
-343.0;-47.0;-142;-526.0;409.0;466.0
331.0;-51.0;-150;-545.0;495.0;698.0
-255.0;-32.0;-214;-593.0;281.0;494.0
-151.0;-215.0;-145;-695.0;350.0;644.0
-127.0;253.0;-178;-869.0;-233.0;576.0
-186.0;132.0;-164;-405.0;285.0;559.0
-294.0;182.0;-177;-905.0;141.0;602.0
-222.0;180.0;-180;-658.0;138.0;387.0
-335.0;48.0;-167;-480.0;309.0;327.0
58.0;113.0;-176;-544.0;402.0;251.0
-291.0;-29.0;-177;-471.0;329.0;526.0
-239.0;-70.0;-175;-412.0;370.0;449.0
-329.0;7.0;-176;-464.0;304.0;494.0
-359.0;57.0;-182;-481.0;359.0;486.0
-314.0;19.0;-184;-472.0;346.0;581.0
-252.0;-35.0;-161;-505.0;278.0;420.0
-108.0;-72.0;-179;-531.0;404.0;476.0
-305.0;-72.0;179;-703.0;311.0;437.0
-316.0;-60.0;-177;-522.0;370.0;505.0
-213.0;8.0;-179;-508.0;480.0;627.0
-197.0;174.0;-172;-712.0;423.0;770.0
-383.0;-66.0;-155;-534.0;306.0;453.0
-399.0;-124.0;-178;-554.0;217.0;730.0
-306.0;-4.0;-178;-531.0;363.0;428.0
-318.0;-60.0;-178;-534.0;395.0;525.0
-362.0;-27.0;35;-508.0;403.0;531.0
-281.0;-80.0;-178;-514.0;401.0;535.0
-311.0;-83.0;-176;-541.0;367.0;510.0
-382.0;-64.0;-177;-548.0;390.0;487.0
-168.0;113.0;164;-687.0;341.0;670.0
-396.0;-11.0;-153;-729.0;283.0;490.0
-231.0;479.0;-176;-603.0;179.0;595.0
-245.0;43.0;178;-354.0;452.0;626.0
-218.0;101.0;-180;-464.0;359.0;628.0
-323.0;69.0;-95;-548.0;426.0;456.0
-389.0;-88.0;-176;-557.0;479.0;577.0
