Accelerometer LUA^ accY;InertialMeasurementUnit LUA magneticX;Accelerometer RKN^ accY;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit R-SHOE EuY
940.0;742.0;1018.0;662.0;-265.0;168.0;240.0;452.0;-915.0;-46
838.0;413.0;998.0;220.0;-264.0;212.0;100.0;169.0;-1049.0;-57
889.0;620.0;1048.0;89.0;-54.0;155.0;279.0;114.0;-850.0;-29
959.0;273.0;1011.0;-55.0;30.0;265.0;132.0;71.0;-944.0;-26
886.0;269.0;1007.0;320.0;-4.0;305.0;187.0;14.0;-952.0;-26
917.0;241.0;988.0;119.0;-79.0;247.0;171.0;156.0;-905.0;-25
873.0;209.0;1024.0;231.0;-152.0;395.0;268.0;64.0;-1055.0;-26
774.0;183.0;974.0;358.0;-99.0;210.0;80.0;-101.0;-963.0;-26
141.0;-101.0;1028.0;-12.0;-82.0;874.0;335.0;-411.0;-508.0;-24
805.0;192.0;976.0;386.0;-81.0;195.0;86.0;-113.0;-957.0;-26
913.0;294.0;1000.0;239.0;35.0;300.0;93.0;152.0;-1036.0;-26
972.0;357.0;981.0;163.0;142.0;219.0;73.0;237.0;-1022.0;-26
913.0;564.0;1016.0;49.0;-272.0;211.0;276.0;-10.0;-919.0;-28
929.0;592.0;1026.0;58.0;-190.0;142.0;250.0;1.0;-938.0;-29
921.0;604.0;1023.0;-36.0;-169.0;107.0;253.0;55.0;-945.0;-29
1036.0;874.0;1056.0;-347.0;-221.0;-62.0;478.0;94.0;-1106.0;-62
947.0;375.0;952.0;459.0;-161.0;85.0;479.0;273.0;-946.0;-28
962.0;415.0;1031.0;64.0;376.0;178.0;300.0;1.0;-941.0;-27
900.0;525.0;1005.0;-52.0;566.0;-101.0;360.0;39.0;-902.0;-26
1006.0;285.0;979.0;304.0;81.0;204.0;129.0;133.0;-967.0;-26
1017.0;287.0;994.0;310.0;91.0;235.0;44.0;243.0;-932.0;-26
926.0;293.0;987.0;331.0;114.0;282.0;113.0;-169.0;-950.0;-26
912.0;295.0;982.0;299.0;127.0;319.0;147.0;-108.0;-950.0;-26
932.0;294.0;1027.0;231.0;140.0;289.0;147.0;180.0;-954.0;-26
910.0;293.0;1032.0;89.0;177.0;336.0;185.0;108.0;-948.0;-26
904.0;297.0;1023.0;74.0;183.0;301.0;159.0;127.0;-945.0;-26
902.0;293.0;1025.0;48.0;196.0;320.0;140.0;236.0;-919.0;-26
892.0;278.0;1021.0;20.0;239.0;297.0;223.0;92.0;-910.0;-26
886.0;272.0;1023.0;24.0;248.0;348.0;225.0;169.0;-919.0;-26
873.0;223.0;917.0;52.0;68.0;269.0;340.0;18.0;-986.0;-24
834.0;393.0;1005.0;322.0;179.0;81.0;553.0;7.0;-809.0;-30
1015.0;415.0;949.0;437.0;260.0;183.0;156.0;144.0;-998.0;-23
931.0;472.0;1041.0;277.0;424.0;207.0;231.0;79.0;-959.0;-23
1032.0;365.0;1020.0;262.0;-122.0;265.0;137.0;69.0;-990.0;-41
790.0;234.0;1043.0;129.0;-189.0;99.0;93.0;-50.0;-1001.0;-57
990.0;597.0;954.0;100.0;202.0;327.0;93.0;99.0;-940.0;-31
973.0;589.0;994.0;168.0;200.0;304.0;102.0;91.0;-924.0;-31
831.0;544.0;943.0;312.0;1.0;327.0;290.0;153.0;-883.0;-42
835.0;513.0;984.0;216.0;-93.0;223.0;327.0;233.0;-881.0;-27
728.0;511.0;1006.0;-209.0;-281.0;69.0;496.0;67.0;-952.0;-26
758.0;322.0;894.0;538.0;-572.0;271.0;248.0;81.0;-1051.0;-29
855.0;504.0;1014.0;68.0;-121.0;295.0;302.0;215.0;-885.0;-27
853.0;504.0;1041.0;4.0;-125.0;258.0;278.0;233.0;-893.0;-27
940.0;519.0;1027.0;131.0;421.0;161.0;281.0;30.0;-919.0;-32
864.0;509.0;987.0;37.0;-131.0;294.0;237.0;198.0;-905.0;-27
885.0;512.0;1018.0;-32.0;-142.0;281.0;269.0;225.0;-908.0;-26
855.0;509.0;1007.0;-13.0;-148.0;304.0;261.0;207.0;-916.0;-26
866.0;505.0;1008.0;-12.0;-165.0;252.0;233.0;159.0;-900.0;-26
875.0;506.0;1020.0;-19.0;-170.0;329.0;286.0;156.0;-906.0;-26
856.0;497.0;1038.0;-12.0;-199.0;320.0;270.0;87.0;-903.0;-26
861.0;498.0;1015.0;19.0;-206.0;347.0;281.0;80.0;-902.0;-26
974.0;382.0;977.0;354.0;-331.0;46.0;374.0;133.0;-877.0;-25
763.0;360.0;831.0;569.0;-613.0;203.0;343.0;-17.0;-840.0;-30
872.0;394.0;962.0;277.0;-340.0;93.0;428.0;81.0;-891.0;-25
875.0;396.0;993.0;180.0;-332.0;60.0;419.0;43.0;-907.0;-25
892.0;394.0;1013.0;186.0;-333.0;79.0;417.0;61.0;-897.0;-25
901.0;642.0;1004.0;16.0;-111.0;153.0;319.0;16.0;-950.0;-29
911.0;611.0;1021.0;-10.0;-170.0;153.0;306.0;57.0;-931.0;-28
864.0;555.0;1018.0;-47.0;-344.0;238.0;258.0;174.0;-978.0;-30
880.0;592.0;1005.0;-15.0;-227.0;212.0;290.0;-5.0;-921.0;-28
893.0;592.0;1003.0;20.0;-220.0;182.0;290.0;55.0;-917.0;-28
904.0;629.0;1021.0;19.0;-142.0;197.0;280.0;60.0;-939.0;-27
910.0;584.0;1030.0;-14.0;-146.0;149.0;367.0;43.0;-929.0;-27
