InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK accZ;Accelerometer RUA_ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RUA magneticZ;Accelerometer LH accX;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA gyroZ;Accelerometer RKN_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4
-7;88.0;310.0;7;318.0;-340.0;340.0;0;251.0;-60.0;-114.0;308.0;-240.0
17;351.0;956.0;-17;545.0;114.0;585.0;-1;491.0;-29.0;-351.0;-11.0;-46.0
-30;353.0;444.0;30;586.0;-93.0;744.0;7;500.0;0.0;-334.0;-14.0;9.0
2183;174.0;618.0;-2183;364.0;-504.0;-32.0;2041;246.0;240.0;52.0;391.0;-436.0
9;326.0;932.0;-9;534.0;94.0;568.0;9;512.0;-32.0;-346.0;-40.0;-44.0
1;399.0;948.0;-1;557.0;87.0;640.0;0;481.0;39.0;-356.0;-27.0;-25.0
-18;251.0;442.0;18;-303.0;272.0;885.0;4;913.0;-130.0;-348.0;2.0;-30.0
2;142.0;914.0;-2;812.0;96.0;887.0;1;172.0;52.0;22.0;538.0;-721.0
-11;175.0;711.0;11;818.0;-133.0;391.0;4;322.0;114.0;1.0;-40.0;122.0
23;325.0;502.0;-23;384.0;-54.0;875.0;-2;599.0;-123.0;-354.0;-23.0;-7.0
-23;398.0;941.0;23;540.0;92.0;653.0;2;489.0;-36.0;-353.0;-28.0;-23.0
23;409.0;930.0;-23;523.0;115.0;613.0;-2;500.0;-18.0;-354.0;-24.0;-32.0
-18;222.0;290.0;18;243.0;563.0;269.0;-8;229.0;153.0;-106.0;223.0;-357.0
11;401.0;929.0;-11;545.0;92.0;638.0;1;496.0;31.0;-376.0;-28.0;-23.0
-1;74.0;400.0;1;-11.0;-17.0;404.0;-1;963.0;94.0;-78.0;-223.0;98.0
14;400.0;921.0;-14;529.0;96.0;642.0;4;494.0;34.0;-353.0;-27.0;-24.0
1;1.0;527.0;-1;102.0;-190.0;299.0;2;953.0;74.0;-186.0;283.0;-196.0
-26;326.0;736.0;26;311.0;-133.0;742.0;0;587.0;-114.0;-345.0;-7.0;46.0
34;221.0;310.0;-34;304.0;621.0;467.0;-30;251.0;-500.0;-149.0;255.0;-399.0
355;846.0;514.0;-355;265.0;-81.0;594.0;238;289.0;447.0;-722.0;38.0;155.0
14;-4.0;496.0;-14;-285.0;-335.0;300.0;5;931.0;-256.0;-84.0;-381.0;268.0
-1975;197.0;682.0;1975;456.0;-419.0;456.0;124;609.0;-497.0;-339.0;258.0;-142.0
-6;405.0;936.0;6;525.0;108.0;492.0;2;495.0;-43.0;-369.0;-22.0;-35.0
774;159.0;219.0;-774;264.0;115.0;494.0;26;198.0;953.0;1.0;492.0;-730.0
-9;148.0;839.0;9;518.0;-181.0;209.0;77;746.0;1319.0;-427.0;415.0;-570.0
13;127.0;300.0;-13;312.0;-325.0;367.0;-1;228.0;39.0;-126.0;292.0;-220.0
15;140.0;255.0;-15;258.0;-336.0;351.0;-6;201.0;-6.0;-121.0;292.0;-223.0
-14;135.0;314.0;14;329.0;-318.0;340.0;0;253.0;-52.0;-88.0;289.0;-214.0
1718;249.0;225.0;-1718;226.0;-281.0;495.0;-401;82.0;205.0;39.0;206.0;-87.0
-8;396.0;940.0;8;541.0;92.0;651.0;5;485.0;35.0;-355.0;-23.0;-33.0
2;150.0;286.0;-2;304.0;-328.0;350.0;-2;226.0;-38.0;-119.0;289.0;-218.0
6;346.0;953.0;-6;556.0;115.0;461.0;-2;501.0;-24.0;-355.0;-12.0;-47.0
23;367.0;347.0;-23;482.0;62.0;223.0;-2;196.0;-34.0;-11.0;509.0;-824.0
0;115.0;282.0;0;271.0;-356.0;362.0;0;219.0;-62.0;-93.0;305.0;-246.0
6;337.0;949.0;-6;558.0;93.0;601.0;2;549.0;44.0;-348.0;-33.0;-44.0
22;873.0;596.0;-22;646.0;615.0;271.0;9;181.0;-26.0;-208.0;37.0;-820.0
15;397.0;941.0;-15;543.0;97.0;649.0;5;486.0;83.0;-363.0;-27.0;-25.0
-25;148.0;902.0;25;703.0;-302.0;778.0;5;428.0;-1981.0;7.0;-262.0;166.0
14;142.0;967.0;-14;958.0;-321.0;1046.0;-6;411.0;950.0;-398.0;-194.0;104.0
-8;276.0;797.0;8;833.0;-390.0;319.0;3;141.0;423.0;21.0;-334.0;236.0
1;104.0;311.0;-1;314.0;-340.0;290.0;4;261.0;-78.0;-109.0;301.0;-236.0
1;131.0;281.0;-1;312.0;-364.0;330.0;11;180.0;-44.0;-112.0;315.0;-251.0
78;150.0;302.0;-78;208.0;-384.0;537.0;16;307.0;-548.0;29.0;278.0;-274.0
-3;294.0;221.0;3;257.0;-433.0;474.0;-39;237.0;-44.0;-46.0;309.0;-235.0
21;380.0;957.0;-21;546.0;96.0;351.0;4;516.0;152.0;-354.0;-10.0;-34.0
24;131.0;947.0;-24;435.0;-40.0;1004.0;2;553.0;-318.0;-363.0;-21.0;-78.0
59;280.0;142.0;-59;226.0;-225.0;302.0;29;55.0;1198.0;-93.0;-157.0;42.0
-69;33.0;1065.0;69;375.0;47.0;599.0;1;626.0;-559.0;-173.0;-19.0;-115.0
-1;185.0;962.0;1;467.0;9.0;678.0;0;606.0;6.0;-324.0;-31.0;-98.0
-1;195.0;963.0;1;558.0;-71.0;732.0;-3;333.0;184.0;-330.0;-35.0;-44.0
35;121.0;799.0;-35;84.0;-618.0;510.0;-47;539.0;-961.0;-37.0;-442.0;475.0
22;110.0;244.0;-22;276.0;-403.0;380.0;-3;182.0;39.0;-105.0;331.0;-272.0
-14;206.0;586.0;14;775.0;-407.0;302.0;-16;310.0;68.0;-1.0;-238.0;188.0
-10;379.0;952.0;10;580.0;88.0;686.0;6;498.0;57.0;-356.0;-10.0;-30.0
-7;88.0;252.0;7;282.0;-448.0;370.0;-3;206.0;112.0;-103.0;358.0;-293.0
-7;142.0;815.0;7;814.0;93.0;735.0;-3;172.0;-20.0;17.0;539.0;-720.0
-26;68.0;319.0;26;331.0;-395.0;364.0;3;244.0;40.0;-88.0;338.0;-267.0
7;405.0;928.0;-7;539.0;113.0;890.0;0;496.0;14.0;-363.0;-24.0;-32.0
-13;59.0;313.0;13;322.0;-396.0;359.0;0;246.0;-22.0;-89.0;337.0;-267.0
-25;316.0;581.0;25;421.0;-284.0;845.0;230;465.0;296.0;-104.0;-178.0;134.0
-5;229.0;698.0;5;360.0;-209.0;447.0;-169;492.0;383.0;-277.0;-276.0;220.0
21;404.0;920.0;-21;645.0;420.0;668.0;-5;607.0;11.0;-358.0;-27.0;-69.0
-7;187.0;646.0;7;806.0;-393.0;299.0;2;314.0;-20.0;-261.0;-236.0;171.0
113;41.0;225.0;-113;155.0;-63.0;324.0;-125;89.0;382.0;-822.0;159.0;-329.0
-33;589.0;451.0;33;578.0;47.0;355.0;6;148.0;-202.0;29.0;-311.0;-1.0
-35;70.0;298.0;35;310.0;-398.0;323.0;2;239.0;-27.0;-109.0;336.0;-267.0
25;264.0;-28.0;-25;258.0;165.0;37.0;-130;-49.0;-343.0;18.0;572.0;-760.0
-1923;369.0;7.0;1923;116.0;-27.0;291.0;138;89.0;-163.0;-293.0;485.0;-674.0
-7;83.0;919.0;7;736.0;-55.0;777.0;6;504.0;365.0;19.0;555.0;-680.0
2;186.0;937.0;-2;406.0;6.0;491.0;3;741.0;12.0;-317.0;-55.0;-45.0
199;218.0;234.0;-199;238.0;-514.0;387.0;-32;115.0;52.0;-143.0;311.0;-342.0
12;218.0;306.0;-12;145.0;-70.0;211.0;8;193.0;897.0;-8.0;588.0;-790.0
6;962.0;399.0;-6;635.0;228.0;738.0;13;-147.0;-57.0;-119.0;-163.0;889.0
