Accelerometer RKN_ accY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit BACK accX;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;Accelerometer HIP accX;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
978.0;-1604.0;-9;?;47.0;?;-1092.0;-58.0;-422.0;?;?;393.0;?
985.0;-1284.0;-20;?;27.0;306;-901.0;-52.0;?;-43.0;76.0;?;-20
996.0;-917.0;-22;960.0;19.0;307;-758.0;-51.0;-394.0;?;68.0;447.0;-22
959.0;?;?;1017.0;-18.0;309;-896.0;-53.0;-394.0;3.0;?;460.0;-25
1006.0;?;2;992.0;?;317;-946.0;-53.0;-398.0;-9.0;72.0;455.0;2
968.0;709.0;4;969.0;28.0;?;-1018.0;-52.0;-405.0;-4.0;81.0;441.0;?
996.0;901.0;-16;971.0;-15.0;308;-976.0;?;-412.0;3.0;94.0;427.0;-16
979.0;?;-9;1002.0;-5.0;312;-973.0;-47.0;?;-42.0;110.0;414.0;-9
975.0;1281.0;-11;1005.0;19.0;305;-1017.0;-44.0;-430.0;-105.0;127.0;?;?
965.0;-71.0;11;932.0;30.0;?;-983.0;458.0;?;?;700.0;-357.0;11
972.0;-67.0;?;931.0;29.0;?;-980.0;455.0;-216.0;63.0;?;-353.0;?
966.0;-174.0;6;961.0;34.0;316;?;448.0;?;76.0;705.0;-345.0;?
977.0;-442.0;?;958.0;8.0;311;-957.0;434.0;-220.0;66.0;710.0;-333.0;5
976.0;-796.0;-14;957.0;-20.0;313;-995.0;?;-228.0;29.0;?;-315.0;-14
993.0;-1451.0;?;941.0;-31.0;?;-994.0;389.0;-238.0;?;717.0;-291.0;1
991.0;-2131.0;29;937.0;-46.0;?;-958.0;362.0;-250.0;?;711.0;?;29
994.0;-2665.0;?;920.0;-6.0;?;-995.0;331.0;-268.0;77.0;696.0;?;?
999.0;-3173.0;-5;933.0;10.0;314;-964.0;297.0;-288.0;61.0;674.0;-170.0;?
980.0;-3516.0;20;?;10.0;?;-996.0;264.0;-307.0;?;641.0;-112.0;20
979.0;-3548.0;-1;976.0;20.0;310;?;227.0;-327.0;58.0;600.0;-53.0;-1
978.0;?;-21;955.0;30.0;313;-1059.0;187.0;-342.0;28.0;554.0;0.0;?
972.0;?;16;972.0;32.0;?;-1011.0;150.0;-354.0;19.0;503.0;51.0;16
?;-3795.0;?;?;50.0;310;-999.0;112.0;-365.0;25.0;451.0;?;11
?;-3895.0;27;922.0;20.0;308;-967.0;77.0;-376.0;53.0;?;?;?
988.0;-3784.0;32;963.0;-4.0;308;?;?;-387.0;22.0;349.0;219.0;32
975.0;-3552.0;-19;972.0;-9.0;304;?;?;-401.0;-19.0;296.0;273.0;-19
1002.0;?;-32;?;?;307;-1016.0;-12.0;-415.0;?;243.0;318.0;-32
992.0;?;-33;968.0;6.0;309;-1006.0;?;-427.0;-47.0;193.0;358.0;?
985.0;-2872.0;-10;995.0;24.0;307;-967.0;-50.0;-433.0;?;153.0;395.0;?
995.0;-2670.0;-11;1019.0;?;?;-935.0;-62.0;-433.0;?;124.0;430.0;?
967.0;?;?;?;29.0;310;-970.0;-68.0;?;11.0;?;?;?
1002.0;-1638.0;-10;964.0;2.0;310;-878.0;-65.0;?;-37.0;93.0;479.0;-10
976.0;-798.0;20;987.0;-15.0;311;?;-62.0;-411.0;-29.0;?;?;20
993.0;-142.0;-12;?;25.0;313;?;-62.0;-411.0;-10.0;88.0;507.0;-12
981.0;265.0;16;1004.0;?;309;-965.0;-59.0;?;?;?;507.0;16
989.0;722.0;-4;976.0;20.0;310;-1006.0;?;-421.0;10.0;99.0;?;-4
?;802.0;-31;?;-10.0;316;-996.0;-48.0;-420.0;31.0;110.0;487.0;-31
?;678.0;?;916.0;-12.0;314;-1000.0;-40.0;?;34.0;121.0;473.0;-24
985.0;576.0;-33;936.0;-16.0;309;-992.0;-35.0;-415.0;-5.0;?;?;-33
968.0;?;33;996.0;-2.0;307;-961.0;-33.0;-415.0;?;141.0;448.0;?
973.0;1223.0;3;?;-5.0;304;-948.0;-30.0;-418.0;-51.0;153.0;?;3
1014.0;-204.0;-1;?;-10.0;312;-976.0;?;-252.0;65.0;685.0;-405.0;-1
993.0;-111.0;?;928.0;16.0;311;-977.0;423.0;?;25.0;690.0;-400.0;-5
979.0;-139.0;?;926.0;?;308;-977.0;420.0;-246.0;10.0;?;-395.0;22
979.0;-328.0;-1;946.0;-11.0;307;-970.0;416.0;?;37.0;?;?;?
989.0;-540.0;?;956.0;-1.0;313;-963.0;?;-247.0;59.0;?;-374.0;-21
979.0;-890.0;?;955.0;?;314;-980.0;392.0;-252.0;?;?;-355.0;?
