PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT)
752.0;43.0;9.8;25.4;1.37;1078.0;971.0;1694.0;1065.0;1.9;107.0;105.0;-200.0
896.0;14.2;11.1;40.3;1.0494;1052.0;1019.0;1610.0;836.0;2.0;140.0;125.0;-200.0
980.0;50.8;6.7;21.7;1.3019;942.0;846.0;1615.0;905.0;1.3;78.0;92.0;-200.0
919.0;44.5;8.9;23.3;1.2566;979.0;937.0;1683.0;858.0;1.8;94.0;101.0;-200.0
867.0;41.9;10.9;24.6;1.2752;1004.0;1011.0;1754.0;893.0;2.0;108.0;116.0;-200.0
991.0;45.6;8.4;20.0;1.0555;930.0;914.0;1631.0;862.0;1.7;131.0;98.0;-200.0
917.0;31.3;9.0;30.4;1.3331;1042.0;939.0;1744.0;860.0;1.7;108.0;89.0;-200.0
985.0;47.9;7.6;22.4;1.2817;990.0;881.0;1685.0;874.0;1.6;133.0;81.0;-200.0
927.0;68.0;9.2;19.5;1.5269;1021.0;949.0;1764.0;977.0;0.8;95.0;57.0;-200.0
957.0;32.7;6.6;23.5;0.9349;924.0;839.0;1453.0;849.0;0.9;57.0;68.0;-200.0
936.0;46.6;6.0;18.8;1.0027;918.0;810.0;1524.0;939.0;0.9;87.0;78.0;-200.0
907.0;39.4;6.8;23.4;1.1172;942.0;849.0;1496.0;894.0;1.5;177.0;107.0;-200.0
904.0;46.9;10.7;21.7;1.2044;1020.0;1003.0;1716.0;916.0;1.1;97.0;96.0;-200.0
1044.0;33.6;8.4;22.3;0.8913;976.0;916.0;1515.0;880.0;1.2;117.0;117.0;-200.0
820.0;46.3;8.5;21.7;1.1867;986.0;922.0;1586.0;971.0;1.7;178.0;104.0;-200.0
986.0;26.9;10.1;25.0;0.8408;1025.0;980.0;1591.0;891.0;1.3;114.0;113.0;-200.0
897.0;38.2;13.7;19.0;0.8327;1065.0;1106.0;1707.0;929.0;2.7;142.0;112.0;-200.0
850.0;41.8;8.9;21.3;1.0449;1003.0;937.0;1622.0;1005.0;1.3;125.0;81.0;-200.0
1009.0;46.3;9.2;19.3;1.0279;1044.0;946.0;1594.0;886.0;1.8;138.0;119.0;-200.0
900.0;44.1;11.4;22.1;1.1573;1100.0;1028.0;1710.0;994.0;1.8;112.0;103.0;-200.0
860.0;21.8;9.6;35.1;1.2093;1067.0;962.0;1658.0;802.0;1.6;95.0;91.0;-200.0
847.0;45.2;9.2;25.2;1.4262;1086.0;946.0;1729.0;945.0;2.0;126.0;89.0;-200.0
941.0;39.1;7.0;24.8;1.2039;962.0;858.0;1613.0;779.0;1.5;118.0;84.0;-200.0
795.0;52.9;9.2;17.2;1.0276;1153.0;947.0;1643.0;1076.0;1.2;107.0;80.0;-200.0
900.0;53.0;5.8;18.0;1.0832;1046.0;803.0;1490.0;823.0;0.8;48.0;73.0;-200.0
821.0;50.1;8.2;18.5;1.0539;1164.0;908.0;1574.0;1019.0;1.5;90.0;102.0;-200.0
