PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT)
685.0;37.8;15.1;26.1;1.2575;1199.0;1152.0;1897.0;1242.0;2.8;176.0;125.0;-200.0
896.0;14.2;11.1;40.3;1.0494;1052.0;1019.0;1610.0;836.0;2.0;140.0;125.0;-200.0
980.0;50.8;6.7;21.7;1.3019;942.0;846.0;1615.0;905.0;1.3;78.0;92.0;-200.0
919.0;44.5;8.9;23.3;1.2566;979.0;937.0;1683.0;858.0;1.8;94.0;101.0;-200.0
867.0;41.9;10.9;24.6;1.2752;1004.0;1011.0;1754.0;893.0;2.0;108.0;116.0;-200.0
991.0;45.6;8.4;20.0;1.0555;930.0;914.0;1631.0;862.0;1.7;131.0;98.0;-200.0
917.0;31.3;9.0;30.4;1.3331;1042.0;939.0;1744.0;860.0;1.7;108.0;89.0;-200.0
985.0;47.9;7.6;22.4;1.2817;990.0;881.0;1685.0;874.0;1.6;133.0;81.0;-200.0
925.0;56.6;8.5;22.2;1.4973;1043.0;920.0;1777.0;955.0;-200.0;95.0;53.0;-200.0
1052.0;43.4;4.6;16.7;0.8193;911.0;743.0;1370.0;739.0;0.9;41.0;54.0;-200.0
950.0;46.0;5.6;19.8;1.0524;890.0;791.0;1489.0;886.0;0.7;62.0;61.0;-200.0
907.0;39.4;6.8;23.4;1.1172;942.0;849.0;1496.0;894.0;1.5;177.0;107.0;-200.0
904.0;46.9;10.7;21.7;1.2044;1020.0;1003.0;1716.0;916.0;1.1;97.0;96.0;-200.0
997.0;23.5;9.4;25.6;0.7611;1025.0;955.0;1457.0;834.0;1.7;111.0;94.0;-200.0
820.0;46.3;8.5;21.7;1.1867;986.0;922.0;1586.0;971.0;1.7;178.0;104.0;-200.0
986.0;26.9;10.1;25.0;0.8408;1025.0;980.0;1591.0;891.0;1.3;114.0;113.0;-200.0
863.0;24.4;14.2;30.9;1.0724;1060.0;1122.0;1721.0;836.0;1.5;116.0;119.0;-200.0
850.0;41.8;8.9;21.3;1.0449;1003.0;937.0;1622.0;1005.0;1.3;125.0;81.0;-200.0
1009.0;46.3;9.2;19.3;1.0279;1044.0;946.0;1594.0;886.0;1.8;138.0;119.0;-200.0
900.0;44.1;11.4;22.1;1.1573;1100.0;1028.0;1710.0;994.0;1.8;112.0;103.0;-200.0
860.0;21.8;9.6;35.1;1.2093;1067.0;962.0;1658.0;802.0;1.6;95.0;91.0;-200.0
847.0;45.2;9.2;25.2;1.4262;1086.0;946.0;1729.0;945.0;2.0;126.0;89.0;-200.0
941.0;39.1;7.0;24.8;1.2039;962.0;858.0;1613.0;779.0;1.5;118.0;84.0;-200.0
790.0;27.3;12.9;21.3;0.6856;1188.0;1082.0;1653.0;1077.0;-200.0;-200.0;-200.0;-200.0
1213.0;63.8;2.6;14.0;1.0167;867.0;625.0;1385.0;652.0;-200.0;-200.0;-200.0;-200.0
914.0;59.0;7.1;16.3;1.0868;1301.0;862.0;1633.0;1114.0;1.7;123.0;93.0;-200.0
960.0;74.0;6.7;9.9;0.9009;989.0;846.0;1476.0;846.0;-200.0;-200.0;-200.0;-200.0
781.0;44.2;10.4;23.1;1.2317;1075.0;993.0;1682.0;946.0;1.9;139.0;110.0;-200.0
897.0;51.8;7.5;19.9;1.1911;915.0;877.0;1651.0;937.0;1.0;92.0;69.0;-200.0
1012.0;40.6;6.7;15.6;0.7146;1098.0;842.0;1440.0;828.0;1.5;117.0;85.0;118.0
810.0;52.9;11.3;15.2;0.9087;1253.0;1026.0;1681.0;1048.0;2.4;128.0;103.0;263.0
868.0;45.6;11.6;12.1;0.6403;1168.0;1037.0;1580.0;990.0;2.4;125.0;105.0;239.0
1034.0;32.7;6.4;20.0;0.7545;984.0;832.0;1410.0;636.0;1.5;91.0;81.0;133.0
869.0;21.6;12.5;27.1;0.7618;1048.0;1068.0;1573.0;993.0;2.1;147.0;110.0;-200.0
776.0;49.5;9.6;22.2;1.3081;1016.0;963.0;1661.0;811.0;1.5;91.0;95.0;-200.0
794.0;43.4;9.5;23.7;1.2495;1049.0;958.0;1648.0;861.0;1.5;98.0;104.0;-200.0
905.0;23.6;10.5;25.9;0.7771;984.0;998.0;1523.0;862.0;2.0;134.0;97.0;-200.0
883.0;57.0;6.9;16.3;1.0484;1014.0;853.0;1538.0;975.0;1.3;75.0;91.0;-200.0
865.0;59.8;6.9;20.9;1.4659;986.0;853.0;1645.0;794.0;1.4;61.0;81.0;-200.0
891.0;45.0;7.9;19.5;1.0114;1056.0;894.0;1576.0;771.0;1.7;131.0;93.0;-200.0
772.0;28.1;12.9;27.2;0.9989;1259.0;1080.0;1736.0;1072.0;2.2;138.0;104.0;-200.0
846.0;52.8;8.7;17.2;1.0236;1066.0;927.0;1608.0;804.0;1.9;138.0;97.0;-200.0
975.0;37.0;7.0;22.9;1.0197;1093.0;858.0;1495.0;816.0;1.6;96.0;95.0;-200.0
873.0;47.8;6.4;25.2;1.5076;948.0;829.0;1638.0;937.0;1.0;40.0;53.0;-200.0
589.0;48.5;23.4;15.9;0.8704;1518.0;1389.0;2101.0;1703.0;4.1;314.0;122.0;584.0
819.0;15.0;9.9;41.8;1.1989;1076.0;972.0;1525.0;923.0;1.3;111.0;109.0;-200.0
767.0;44.1;11.7;20.3;1.0392;1108.0;1040.0;1748.0;1051.0;2.1;145.0;95.0;-200.0
867.0;38.3;8.9;27.1;1.3548;1027.0;936.0;1696.0;931.0;1.7;152.0;117.0;-200.0
881.0;28.7;9.5;31.5;1.3058;998.0;958.0;1657.0;778.0;1.8;125.0;107.0;-200.0
922.0;65.2;8.0;13.4;0.9996;1041.0;898.0;1595.0;891.0;2.0;130.0;97.0;-200.0
1105.0;61.4;5.4;11.0;0.8057;1041.0;782.0;1425.0;911.0;1.3;78.0;86.0;74.0
857.0;62.7;10.5;13.9;0.9905;1016.0;995.0;1642.0;854.0;2.2;117.0;96.0;-200.0
879.0;64.7;8.2;13.8;1.0168;1059.0;907.0;1579.0;970.0;2.3;145.0;102.0;-200.0
918.0;75.1;6.9;15.1;1.2799;1023.0;854.0;1637.0;744.0;1.8;111.0;89.0;-200.0
850.0;70.7;9.2;15.9;1.2672;1110.0;949.0;1733.0;842.0;2.1;96.0;79.0;-200.0
857.0;56.9;10.0;17.7;1.1392;981.0;978.0;1682.0;835.0;1.6;79.0;72.0;-200.0
806.0;44.9;9.1;24.6;1.3661;1031.0;945.0;1697.0;964.0;1.4;100.0;86.0;-200.0
1005.0;63.3;7.7;10.6;0.8067;1166.0;885.0;1551.0;1075.0;1.5;139.0;85.0;78.0
905.0;79.6;8.1;12.5;1.1538;1141.0;902.0;1672.0;965.0;-200.0;-200.0;-200.0;-200.0
949.0;23.7;12.1;28.9;0.9285;1052.0;1053.0;1641.0;831.0;-200.0;-200.0;-200.0;-200.0
886.0;25.2;11.0;26.8;0.8721;1048.0;1013.0;1584.0;940.0;1.9;127.0;96.0;-200.0
923.0;44.1;8.3;19.1;0.966;1080.0;910.0;1548.0;929.0;2.0;153.0;121.0;-200.0
884.0;36.0;9.0;25.6;1.1629;1223.0;938.0;1610.0;880.0;1.7;91.0;89.0;192.0
866.0;55.5;9.4;17.8;1.1174;1085.0;954.0;1656.0;871.0;2.0;109.0;100.0;-200.0
795.0;52.9;9.2;17.2;1.0276;1153.0;947.0;1643.0;1076.0;1.2;107.0;80.0;-200.0
926.0;62.0;6.5;17.7;1.2458;1049.0;836.0;1615.0;901.0;1.5;79.0;73.0;-200.0
916.0;66.5;6.5;16.9;1.2688;1012.0;833.0;1632.0;862.0;1.2;75.0;67.0;-200.0
967.0;52.8;5.9;22.0;1.3752;919.0;807.0;1598.0;775.0;1.0;48.0;66.0;-200.0
813.0;15.5;14.4;32.9;0.7649;973.0;1128.0;1642.0;894.0;2.8;170.0;127.0;-200.0
1499.0;59.9;1.3;10.5;0.7624;844.0;532.0;1176.0;376.0;0.5;25.0;36.0;27.0
955.0;28.1;10.4;21.3;0.7067;1102.0;994.0;1599.0;783.0;2.0;107.0;87.0;-200.0
958.0;48.4;8.9;14.2;0.778;1106.0;935.0;1570.0;819.0;2.0;132.0;96.0;211.0
827.0;33.9;9.2;30.5;1.4564;1100.0;946.0;1726.0;932.0;1.9;111.0;98.0;-200.0
811.0;46.7;10.9;18.0;0.9569;1105.0;1010.0;1709.0;947.0;-200.0;-200.0;-200.0;-200.0
884.0;66.1;7.7;13.6;1.0236;1079.0;885.0;1588.0;974.0;-200.0;-200.0;-200.0;-200.0
823.0;41.1;7.9;27.2;1.4611;1063.0;894.0;1688.0;1025.0;1.6;104.0;100.0;-200.0
835.0;54.3;6.1;23.7;1.5731;1022.0;817.0;1669.0;821.0;1.1;64.0;69.0;-200.0
910.0;16.0;8.2;37.7;1.0231;960.0;909.0;1523.0;675.0;1.4;70.0;86.0;-200.0
