PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT)
1056.0;48.9;11.9;13.6;0.7578;?;1046.0;?;1268.0;2.6;166.0;113.0;150.0
1174.0;47.7;9.4;13.3;0.7255;?;955.0;1559.0;972.0;2.0;103.0;92.0;112.0
1140.0;54.0;9.0;11.9;0.7502;?;939.0;1555.0;1074.0;?;131.0;114.0;88.0
1092.0;60.0;9.2;11.0;0.7867;1376.0;948.0;1584.0;1203.0;2.2;172.0;122.0;?
1205.0;?;?;11.2;0.7888;1272.0;836.0;1490.0;?;?;131.0;116.0;51.0
1337.0;59.2;?;11.2;?;1197.0;750.0;1393.0;949.0;1.2;?;96.0;38.0
1462.0;56.8;3.6;11.3;0.7603;1185.0;690.0;1333.0;733.0;1.2;62.0;77.0;31.0
1453.0;60.0;3.3;10.7;0.7702;1136.0;672.0;1333.0;730.0;1.0;62.0;76.0;31.0
1579.0;59.7;2.3;10.7;0.7648;?;609.0;1276.0;620.0;0.9;45.0;60.0;24.0
1705.0;60.2;1.7;?;0.7517;1010.0;561.0;?;501.0;0.6;-200.0;-200.0;19.0
1818.0;60.5;1.3;?;0.7465;1011.0;527.0;1197.0;?;-200.0;21.0;34.0;14.0
1918.0;56.2;1.1;11.0;0.7366;1066.0;512.0;1182.0;422.0;0.7;16.0;28.0;?
1738.0;58.1;1.6;10.5;?;1052.0;553.0;1221.0;472.0;0.7;?;48.0;?
?;59.6;3.2;10.2;0.7417;1144.0;667.0;1339.0;730.0;1.1;98.0;82.0;29.0
1136.0;57.4;8.0;10.8;0.7408;1333.0;900.0;1517.0;1102.0;2.0;174.0;112.0;64.0
1079.0;60.6;9.5;10.5;?;1351.0;960.0;1583.0;1028.0;2.2;129.0;101.0;87.0
1218.0;58.4;6.3;10.8;0.7552;1233.0;827.0;1446.0;860.0;1.7;112.0;98.0;77.0
1328.0;57.9;?;10.5;0.7352;1179.0;762.0;1362.0;671.0;?;?;92.0;43.0
?;66.8;5.2;9.5;0.7951;1236.0;?;1401.0;664.0;?;104.0;95.0;61.0
1162.0;76.4;7.3;8.3;0.8393;1286.0;869.0;1537.0;799.0;1.9;146.0;112.0;63.0
