PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT)
1462.0;56.8;3.6;11.3;0.7603;1185.0;690.0;1333.0;733.0;1.2;62.0;77.0;31.0
1453.0;60.0;3.3;10.7;0.7702;1136.0;672.0;1333.0;730.0;1.0;62.0;76.0;31.0
1136.0;57.4;8.0;10.8;0.7408;1333.0;900.0;1517.0;1102.0;2.0;174.0;112.0;64.0
1218.0;58.4;6.3;10.8;0.7552;1233.0;827.0;1446.0;860.0;1.7;112.0;98.0;77.0
1162.0;76.4;7.3;8.3;0.8393;1286.0;869.0;1537.0;799.0;1.9;146.0;112.0;63.0
799.0;64.2;20.8;10.3;0.8065;1581.0;1319.0;2083.0;1409.0;4.8;281.0;151.0;307.0
702.0;69.3;27.4;9.7;0.8319;1776.0;1488.0;2333.0;1704.0;6.9;383.0;172.0;461.0
957.0;64.0;12.8;9.1;0.7419;1313.0;1076.0;1707.0;1285.0;3.9;240.0;136.0;197.0
1565.0;60.8;2.6;8.2;0.6657;913.0;629.0;1252.0;552.0;1.0;47.0;53.0;26.0
1893.0;65.9;1.1;6.1;0.6248;831.0;506.0;1134.0;384.0;-200.0;21.0;32.0;10.0
969.0;38.4;11.6;14.3;0.6243;1263.0;1037.0;1598.0;1167.0;2.7;216.0;143.0;166.0
821.0;43.4;18.2;14.4;0.7084;1525.0;1246.0;1847.0;1448.0;3.7;202.0;145.0;242.0
1176.0;63.9;5.4;8.8;0.7256;1184.0;782.0;1365.0;1043.0;1.6;83.0;82.0;43.0
1406.0;67.5;2.9;7.2;0.6887;1100.0;646.0;1268.0;835.0;1.2;53.0;60.0;27.0
830.0;59.7;15.1;9.6;0.7124;1408.0;1153.0;1777.0;1411.0;3.7;295.0;119.0;239.0
808.0;42.2;16.1;15.6;0.7451;1542.0;1184.0;1780.0;1583.0;4.1;296.0;158.0;283.0
987.0;31.3;12.3;19.4;0.695;1328.0;1059.0;1600.0;1101.0;2.8;153.0;124.0;154.0
1088.0;34.8;8.6;18.0;0.7127;1207.0;924.0;1488.0;850.0;2.0;118.0;102.0;112.0
754.0;44.1;19.2;15.7;0.7786;1611.0;1274.0;1915.0;1697.0;4.2;279.0;161.0;284.0
762.0;46.8;18.3;15.3;0.8091;1621.0;1247.0;1860.0;1886.0;4.2;283.0;159.0;269.0
1384.0;67.6;2.4;10.4;0.853;1028.0;615.0;1340.0;853.0;0.9;74.0;67.0;27.0
878.0;46.1;10.9;16.9;0.8789;1445.0;1009.0;1696.0;1355.0;2.8;176.0;114.0;148.0
1104.0;30.2;7.5;21.4;0.7616;1207.0;879.0;1490.0;872.0;1.8;103.0;102.0;84.0
1156.0;67.4;3.9;11.9;0.9375;1075.0;703.0;1464.0;1010.0;1.0;88.0;74.0;39.0
652.0;63.9;25.9;12.4;0.917;1797.0;1451.0;2323.0;1680.0;5.5;360.0;114.0;336.0
831.0;34.1;14.1;22.0;0.8904;1430.0;1120.0;1783.0;1522.0;3.1;201.0;134.0;221.0
542.0;42.5;39.2;20.4;1.0086;2040.0;1754.0;2679.0;2122.0;8.0;404.0;187.0;685.0
565.0;52.6;31.0;18.3;1.0945;1895.0;1573.0;2443.0;1992.0;6.5;320.0;165.0;538.0
764.0;60.2;15.3;15.7;1.0654;1439.0;1159.0;1856.0;1494.0;3.2;193.0;125.0;224.0
1008.0;61.4;6.9;15.3;1.058;1142.0;852.0;1547.0;1164.0;1.4;89.0;101.0;67.0
1098.0;60.6;5.4;14.8;1.0148;1074.0;784.0;1483.0;1040.0;1.2;79.0;88.0;49.0
1320.0;59.2;2.8;14.8;0.9879;968.0;640.0;1386.0;867.0;0.8;43.0;61.0;29.0
698.0;56.3;19.7;13.6;0.8743;1539.0;1287.0;2055.0;1507.0;3.7;229.0;95.0;285.0
724.0;26.1;22.3;25.3;0.8264;1579.0;1359.0;1998.0;1671.0;4.0;252.0;161.0;366.0
800.0;34.8;19.1;21.3;0.873;1551.0;1271.0;1875.0;1432.0;3.9;181.0;137.0;261.0
700.0;41.3;24.9;19.0;0.9007;1800.0;1426.0;2106.0;2034.0;5.1;317.0;177.0;349.0
922.0;52.9;8.6;15.5;0.9271;1205.0;925.0;1547.0;1314.0;1.7;132.0;107.0;85.0
1417.0;57.4;1.9;11.9;0.7978;891.0;576.0;1289.0;733.0;0.5;46.0;53.0;18.0
553.0;50.0;36.4;14.1;0.802;1852.0;1696.0;2535.0;1931.0;6.6;377.0;127.0;534.0
703.0;40.1;21.3;17.7;0.8048;1522.0;1331.0;2026.0;1734.0;4.3;280.0;134.0;368.0
887.0;25.9;13.7;25.9;0.8503;1389.0;1108.0;1712.0;1334.0;2.6;161.0;123.0;152.0
793.0;16.0;27.0;25.9;0.5237;1557.0;1478.0;1981.0;1569.0;5.0;299.0;158.0;386.0
653.0;42.6;27.2;19.1;0.9294;1795.0;1485.0;2174.0;2050.0;5.7;336.0;180.0;472.0
1251.0;62.1;3.0;10.9;0.8113;938.0;650.0;1333.0;893.0;0.7;68.0;71.0;26.0
1005.0;63.3;7.7;10.6;0.8067;1166.0;885.0;1551.0;1075.0;1.5;139.0;85.0;78.0
541.0;50.6;35.8;14.3;0.8186;1934.0;1682.0;2468.0;2051.0;6.6;421.0;151.0;506.0
899.0;28.2;12.5;23.8;0.8219;1379.0;1068.0;1663.0;1374.0;2.2;171.0;139.0;-200.0
891.0;28.7;12.2;24.2;0.8515;1385.0;1056.0;1648.0;1268.0;2.2;149.0;133.0;-200.0
901.0;24.9;13.1;25.2;0.7829;1379.0;1087.0;1660.0;1144.0;2.3;137.0;126.0;-200.0
822.0;23.1;16.8;27.1;0.818;1496.0;1205.0;1767.0;1347.0;2.8;172.0;169.0;-200.0
1021.0;71.1;6.6;11.9;0.9915;1134.0;840.0;1501.0;917.0;1.6;103.0;96.0;-200.0
1054.0;64.9;6.7;12.4;0.9332;1182.0;845.0;1539.0;704.0;1.5;115.0;99.0;-200.0
759.0;54.4;16.4;14.5;0.8917;1390.0;1191.0;1879.0;1268.0;3.3;218.0;135.0;-200.0
793.0;47.6;15.3;16.1;0.8655;1304.0;1157.0;1801.0;1171.0;3.0;176.0;122.0;-200.0
771.0;47.1;16.7;16.3;0.864;1364.0;1202.0;1875.0;1250.0;3.3;198.0;135.0;-200.0
