NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;MotorData.ActPosition;MotorData.Motor_Pos1reached
1;0;0;0;244905;0
1;0;0;0;239453;0
1;0;0;0;250096;0
1;0;0;0;244470;0
1;0;0;0;243078;0
1;0;0;0;246036;0
1;0;0;0;229013;0
1;0;0;0;233537;0
1;0;0;0;239308;0
1;0;0;0;243078;0
1;0;0;0;246674;0
1;0;0;0;247109;0
1;0;0;0;245224;0
1;0;0;0;245630;0
1;0;0;0;241947;0
1;0;0;0;241947;0
1;0;0;0;243223;0
1;0;0;0;245079;0
1;0;0;0;224431;0
1;0;0;0;241715;0
1;0;0;0;248994;0
1;0;0;0;248356;0
1;0;0;0;245775;0
1;0;0;0;242817;0
1;0;0;0;239308;0
1;0;0;0;239308;0
1;0;0;0;240903;0
1;0;0;0;247718;0
1;0;0;0;241396;0
1;0;0;0;241396;0
1;0;0;0;239453;0
1;0;0;0;246761;0
1;0;0;0;240903;0
1;0;0;0;246674;0
1;0;0;0;243310;0
1;0;0;0;243310;0
1;0;0;0;240903;0
1;0;0;0;245224;0
1;0;0;0;247631;0
1;0;0;0;240381;0
1;0;0;0;240381;0
1;0;0;0;243600;0
1;0;0;0;237800;0
1;0;0;0;245137;0
1;0;0;0;238757;0
1;0;0;0;247312;0
1;0;0;0;244093;0
1;0;0;0;245456;0
1;0;0;0;246384;0
1;0;0;0;242556;0
1;0;0;0;245746;0
1;0;0;0;242121;0
1;0;0;0;248095;0
1;0;0;0;248095;0
1;0;0;0;246355;0
1;0;0;0;243136;0
1;0;0;0;236031;0
1;0;0;0;245862;0
1;0;0;0;242701;0
1;0;0;0;246384;0
1;0;0;0;241309;0
1;0;0;0;240671;0
1;0;0;0;240671;0
1;0;0;0;247225;0
1;0;0;0;247225;0
1;0;0;0;245079;0
1;0;0;0;245079;0
1;0;0;0;244412;0
1;0;0;0;243716;0
1;0;0;0;244412;0
1;0;0;0;243716;0
1;0;0;0;247399;0
1;0;0;0;247399;0
1;0;0;0;247399;0
1;0;0;0;247921;0
1;0;0;0;244789;0
1;0;0;0;241541;0
1;0;0;0;241541;0
1;0;0;0;242933;0
1;0;0;0;242933;0
1;0;0;0;246703;0
1;0;0;0;246703;0
1;0;0;0;240468;0
1;0;0;0;245717;0
1;0;0;0;244586;0
1;0;0;0;242991;0
1;0;0;0;246993;0
1;0;0;0;246877;0
1;0;0;0;244586;0
1;0;0;0;247718;0
1;0;0;0;216949;0
1;0;0;0;22098;0
1;0;0;0;164256;0
1;0;0;0;184498;0
1;0;0;0;203870;0
1;0;0;0;140012;0
1;0;0;0;255577;0
1;0;0;0;251546;0
1;0;0;0;260014;0
1;0;0;0;376797;0
