PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);NMHC(GT);CO(GT);NOx(GT);NO2(GT)
853.0;35.7;7.4;26.0;1.1842;1012.0;876.0;1580.0;967.0;-200.0;1.3;89.0;87.0
1031.0;63.9;5.1;11.5;0.8652;1044.0;770.0;1425.0;944.0;100.0;1.2;85.0;70.0
906.0;37.1;8.1;23.3;1.0457;1268.0;902.0;1589.0;932.0;-200.0;-200.0;-200.0;-200.0
866.0;59.8;8.9;13.8;0.9398;1123.0;937.0;1606.0;941.0;-200.0;-200.0;-200.0;-200.0
1049.0;33.6;9.2;18.4;0.7042;1240.0;947.0;1532.0;947.0;108.0;2.0;119.0;116.0
986.0;26.9;10.1;25.0;0.8408;1025.0;980.0;1591.0;891.0;-200.0;1.3;114.0;113.0
993.0;30.1;9.8;23.6;0.8663;997.0;971.0;1573.0;930.0;-200.0;1.5;127.0;128.0
889.0;26.0;12.6;28.9;1.0188;1044.0;1069.0;1683.0;942.0;-200.0;1.4;144.0;123.0
987.0;78.6;6.1;17.3;1.5412;985.0;816.0;1677.0;799.0;-200.0;0.3;107.0;65.0
985.0;47.9;7.6;22.4;1.2817;990.0;881.0;1685.0;874.0;-200.0;1.6;133.0;81.0
973.0;30.0;7.8;20.6;0.7213;1032.0;892.0;1457.0;756.0;166.0;1.8;101.0;87.0
1016.0;43.9;7.8;22.1;1.1521;944.0;891.0;1593.0;844.0;-200.0;-200.0;-200.0;-200.0
727.0;43.3;13.6;17.6;0.8647;1187.0;1104.0;1721.0;1391.0;-200.0;2.6;208.0;108.0
846.0;43.2;8.0;23.4;1.229;1022.0;899.0;1588.0;820.0;-200.0;1.4;100.0;97.0
919.0;44.5;8.9;23.3;1.2566;979.0;937.0;1683.0;858.0;-200.0;1.8;94.0;101.0
1093.0;47.3;3.2;21.8;1.2189;809.0;666.0;1455.0;714.0;-200.0;0.5;38.0;55.0
938.0;35.9;7.9;19.6;0.81;1075.0;896.0;1487.0;936.0;145.0;1.9;128.0;94.0
917.0;40.1;8.7;25.4;1.2822;984.0;929.0;1654.0;817.0;-200.0;1.5;83.0;84.0
882.0;52.3;8.4;17.2;1.0169;1033.0;917.0;1617.0;905.0;-200.0;1.5;118.0;95.0
913.0;47.6;6.2;24.7;1.4597;966.0;820.0;1634.0;807.0;-200.0;1.0;56.0;60.0
920.0;55.1;7.9;16.4;1.0198;1211.0;896.0;1624.0;1066.0;-200.0;1.9;112.0;93.0
808.0;25.6;10.0;34.0;1.3363;1070.0;976.0;1688.0;819.0;-200.0;2.1;130.0;108.0
856.0;33.5;9.9;26.8;1.1602;1242.0;973.0;1632.0;819.0;-200.0;1.8;99.0;106.0
846.0;52.8;8.7;17.2;1.0236;1066.0;927.0;1608.0;804.0;-200.0;1.9;138.0;97.0
894.0;32.2;8.9;23.5;0.922;988.0;937.0;1543.0;1008.0;-200.0;1.3;98.0;91.0
