PT08.S3(NOx);PT08.S1(CO);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT);PT08.S2(NMHC);PT08.S4(NO2);RH;C6H6(GT);T;AH
931.0;1021.0;1019.0;0.9;75.0;64.0;119.0;800.0;1483.0;59.7;5.7;14.0;0.9499
907.0;1020.0;799.0;1.6;139.0;90.0;-200.0;866.0;1554.0;49.7;7.2;17.6;0.9944
794.0;1049.0;861.0;1.5;98.0;104.0;-200.0;958.0;1648.0;43.4;9.5;23.7;1.2495
845.0;1008.0;742.0;1.7;145.0;129.0;-200.0;962.0;1545.0;19.3;9.6;34.4;1.0325
828.0;1002.0;786.0;1.7;149.0;137.0;-200.0;964.0;1546.0;20.1;9.6;32.9;0.9902
776.0;1058.0;947.0;1.8;92.0;98.0;-200.0;1004.0;1684.0;32.8;10.7;28.8;1.2776
877.0;1025.0;690.0;1.0;56.0;68.0;-200.0;809.0;1606.0;37.7;5.9;29.6;1.544
781.0;1079.0;999.0;1.7;139.0;113.0;-200.0;976.0;1669.0;31.1;9.9;29.9;1.2883
888.0;993.0;770.0;0.8;60.0;63.0;-200.0;795.0;1629.0;50.6;5.6;24.8;1.5654
948.0;1215.0;993.0;2.1;127.0;109.0;-200.0;912.0;1547.0;58.3;8.3;14.2;0.938
736.0;1065.0;1103.0;1.7;83.0;90.0;-200.0;977.0;1733.0;46.1;10.0;25.9;1.5174
770.0;1103.0;940.0;1.9;126.0;118.0;-200.0;1060.0;1748.0;21.5;12.3;37.5;1.3673
861.0;1079.0;928.0;1.8;107.0;99.0;-200.0;909.0;1686.0;37.8;8.2;29.2;1.5098
796.0;1023.0;910.0;2.1;132.0;101.0;-200.0;1042.0;1711.0;19.9;11.8;35.4;1.1222
857.0;934.0;863.0;1.3;85.0;64.0;-200.0;911.0;1639.0;56.0;8.3;18.6;1.1865
801.0;1092.0;910.0;1.6;104.0;99.0;-200.0;967.0;1774.0;39.9;9.7;27.0;1.402
841.0;1037.0;865.0;1.9;127.0;105.0;-200.0;969.0;1728.0;37.0;9.8;27.4;1.3319
838.0;1037.0;1004.0;2.1;177.0;109.0;-200.0;1046.0;1763.0;29.1;11.9;28.8;1.1349
846.0;1000.0;879.0;2.3;157.0;103.0;-200.0;985.0;1726.0;41.2;10.2;23.5;1.1759
886.0;993.0;842.0;1.8;151.0;96.0;-200.0;927.0;1665.0;44.5;8.7;21.5;1.129
