PT08.S3(NOx);PT08.S1(CO);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT);PT08.S2(NMHC);PT08.S4(NO2);RH;C6H6(GT);T;AH
1079.0;1351.0;1028.0;2.2;129.0;101.0;87.0;960.0;1583.0;60.6;9.5;10.5;0.7691
963.0;1280.0;1285.0;2.7;193.0;113.0;122.0;964.0;1544.0;64.1;9.6;9.5;0.7597
875.0;1451.0;1387.0;3.6;239.0;161.0;210.0;1117.0;1679.0;33.8;14.0;18.4;0.709
889.0;1534.0;1535.0;2.9;190.0;129.0;93.0;1013.0;1611.0;53.6;11.0;13.9;0.8498
974.0;1458.0;1099.0;3.0;170.0;129.0;150.0;1045.0;1646.0;28.4;11.9;22.2;0.7516
1246.0;1017.0;870.0;0.9;82.0;64.0;27.0;681.0;1418.0;68.5;3.5;11.2;0.9081
776.0;1452.0;1583.0;3.3;217.0;154.0;283.0;1250.0;1868.0;27.4;18.3;24.4;0.8231
1169.0;998.0;992.0;0.9;70.0;79.0;34.0;714.0;1383.0;55.6;4.1;14.1;0.891
667.0;1643.0;1610.0;4.7;339.0;124.0;319.0;1384.0;2094.0;60.0;23.3;11.5;0.8117
948.0;1215.0;993.0;2.1;127.0;109.0;-200.0;912.0;1547.0;58.3;8.3;14.2;0.938
1417.0;897.0;472.0;0.6;23.0;33.0;-200.0;563.0;1355.0;57.0;1.7;16.3;1.0491
678.0;1438.0;1401.0;4.4;232.0;143.0;672.0;1325.0;1993.0;47.4;21.0;15.6;0.8347
1271.0;969.0;684.0;0.8;47.0;64.0;48.0;636.0;1309.0;51.3;2.7;14.0;0.8163
1137.0;1045.0;902.0;1.2;70.0;85.0;55.0;756.0;1411.0;62.2;4.9;11.1;0.8199
1493.0;878.0;683.0;0.6;-200.0;-200.0;29.0;551.0;1272.0;61.6;1.6;10.6;0.7856
1186.0;1045.0;800.0;1.2;79.0;75.0;84.0;751.0;1403.0;59.2;4.8;10.4;0.7455
1450.0;902.0;479.0;0.7;38.0;54.0;38.0;568.0;1253.0;68.1;1.8;9.1;0.789
740.0;1353.0;1175.0;3.5;202.0;119.0;434.0;1235.0;1937.0;75.1;17.8;8.6;0.8415
836.0;1240.0;991.0;2.9;158.0;103.0;374.0;1137.0;1748.0;40.5;14.6;14.9;0.6835
1130.0;1005.0;924.0;0.9;103.0;78.0;64.0;713.0;1363.0;71.8;4.0;8.0;0.7711
841.0;1258.0;1244.0;2.8;174.0;119.0;270.0;1057.0;1633.0;44.9;12.2;13.6;0.6991
939.0;1274.0;1188.0;2.3;111.0;97.0;101.0;912.0;1451.0;58.1;8.3;10.3;0.7278
